comment,rating
"整體份量蠻多的～料也豐富
不過排骨飯吃到後面會有點乾
湯好喝、燙青菜不錯！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：5
氣氛：5
建議的餐點
Pork Chop Rice",4
"沒吃過這間，只覺得每次經過怎麼都是人在排隊好奇進去嚐鮮。

停車：地段不好停車，附近有付費停車場，如果運氣好就看看晚上路上哪裡可以路邊臨停。

環境：比較傾向現在這年代年輕人喜歡的風格，文青風吧！而且也維持的還不錯！

廁所環境：是乾淨的，不會有很噁心的異味，廁所環境也是有稍微佈置過。

豬腳飯（$80）：不知道是幸運還是怎樣，比較沒有骨頭，對現代懶人來說可以接受！豬腳配酸菜、炸豆干絲（應該吧？）是不錯吃但吃到最後會覺得很膩口。份量小碗女生可以會有飽的感覺，如果是食量偏大的女生建議點大碗的。我個人覺得價格上稍偏貴，希望不要漲價！漲了有點超乎這碗的價值。另外，鹹甜度上還可以接受。只不過，上面一開始好吃，吃到下面就會開吃油膩感出來了。

排骨飯（$85）：排骨炸得算酥，肉質口感沒有到很柴，要說有juicy是沒有的。配菜一樣酸菜、炸豆干絲。份量男生真的可能要點大碗才會覺得有飽～

紫菜蛋花湯（$20）：這樣一碗的份量，很可以。口味就一般正常，沒有失常的調味。

出餐速度：正常點完餐，10-15分鐘內上完。我遇到的，如果單在更多就不知道了。

白飯：偏軟，建議可以調整，不然淋汁上去再吃的口感有點打折扣

整體來說，要說到很好吃嗎？我覺得沒有，頂多在虎尾算是環境乾淨、食物算美味，價格上偏貴一點。服務態度是還可以，還沒有遇到很差。如果有會在重新補評論，希望是不要啦～因為看其他評論有提到服務態度口氣差的問題，希望自己不要遇到。
服務
內用
餐點類型
晚餐",3
"排骨飯 肉還不錯
店內環境舒適
用餐時間客人多，停車不便",4
虎尾道地的小餐館，從小到大開了不知道多少年，記得以前都是在虎尾華南銀行前以餐車形式擺攤，也是最近這三四年才開始有了自己的店面，店裡環境乾淨明亮，生意太好總是被大學生客滿，今天點了滷肉飯加上荷包蛋還有鍋燒意麵，排骨跟滷肉真的是他們的招牌，獨特的滷汁配上他們精巧的廚藝，吃起來真的超入味，還有鍋燒意麵也是用一點滷汁配上高湯熬煮出來，還有他們半熟的荷包蛋淋上醬油，吃完只能說是戀愛的感覺啦,5
"用餐環境整潔，人還滿多的，有時候需要排隊，這次點了豬腳飯、排骨飯、豬頭皮、豬耳朵、粉腸，豬腳飯與排骨飯裡都有酸菜與一種像豆棗的東西，與飯滿相配的，而小菜之中粉腸最好吃，可以點點看，豬耳朵則滿普通的，整體來說我會推薦大家來吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
建議的餐點
排骨飯 小",4
"點了一份排骨麵。
三色蛋，我的最愛。
貢丸湯。
老宋是老字號了，價格坦白講會偏高一點。不過他是老宋，貴一點也很正常。
出餐速度很快，附近停車比較不方便。
餐點味道我想大部分人都能接受，好是好在品質。不太有什麼太大的問題。
不過有時候人多，要等就是了。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
停車場
附近有付費停車場",4
"豬腳飯肉QQ的不油膩好吃
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4
建議的餐點
排骨飯與豬腳飯與小菜",5
"排骨飯$80（小）：女生這份量可以吃飽，排骨不柴有嚼勁，味道還不錯，和配菜的豆支和酸菜拌在一起剛開始不錯吃，可惜口味鹹甜偏甜，連酸菜和豆支都偏甜，吃到後面愈來愈覺得甜膩，不合胃口。
服務
外帶
餐點類型
晚餐",3
營業時間到凌晨  排骨單吃很鹹  屬於下飯類的  荷包蛋可以半熟  蚵仔湯很新鮮  蚵仔大顆 豬腳滷的很入味鹹淡適中,3
"古早味的排骨飯，排骨是有一點濕潤的外皮，甜甜的醬，一口咬下排骨可以吃到排骨有醃漬過的味道！！很特別，裡面搭配的酸菜和豆類小菜也好下飯！！！

豬耳朵好吃，有口感，醬料區的辣椒醬好對味～～",5
"環境乾淨舒適，餐點好吃，排骨飯與小菜搭配表現非常古早味，值得仔細品嚐。
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
滷肉飯 招牌香腸 荷包蛋 紫菜蛋花湯, 排骨飯與豬腳飯與小菜",5
"餐點普通CP值低 優點是裝璜的不錯 簡約風蠻舒服的
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：3
服務：3
氣氛：4
停車位
停車不方便
附近的停車場
免費路邊停車, 不提供停車位",3
"用餐環境舒適 價格合理
味道不錯 份量也足夠 個人大推辣油 有夠辣 超香
營業時間大加分",5
全部東西真的是有夠難吃的、豬腳飯又貴沒什麼豬腳全部都是酸菜多、吃沒幾口就想吐也倒掉了、簡直是剩隔夜飯一樣、下次不會再買這家了！,1
"排骨需要改進….有點乾😂
其他餐點小菜好吃 …",4
就是好吃，在搭上現代式的裝潢風格，傳統的滋味有全新的感受，非常值得一試,5
排骨飯、小菜份量十足很有誠意，來這裡用餐價格非常划算，一定要來品嘗他們的排骨飯。,5
排骨炸過再滷，很嫩又有味道，鍋燒意麵湯頭好喝，小菜還不錯。,5
