comment,rating
"我已吃過各地各家老牌石頭火鍋了，但就虎尾店的這家點菜方式較不一樣，它比較趨向個人小火鍋，但吃起來口味是一樣的。
那次去正好遇到我的壽星月，但因為是共鍋，所以無法享有壽星禮，但老闆娘人不錯，還是給了我們小小的優惠。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：3",4
"整體下來是好吃的，白飯、飲料、冰淇淋都可無限續，唯一缺點沾醬的醬油太鹹了，建議更換一下會比較好，否則吃完覺得嘴巴都是醬油味，有點可惜🥺
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
"看評論不錯就進去吃，只能說超級後悔，沙茶醬超奇怪，吃起來一點都不像沙茶醬就算了，飲料也只有檸檬紅茶、檸檬水、綠茶，都不好喝，然後肉片很明顯是跟百元火鍋店一樣的肉片，不懂為什麼很多人說平價好吃？重點是我吃到一半發現旁邊有一隻翻肚的蟑螂🪳，吃完回家肚子超痛，真的覺得這家很不行。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：1
服務：5
氣氛：2",1
"石頭火鍋炒過好吃又便宜，白飯跟飲料免費吃喝到飽，還有杜老爺冰淇淋，再加上服務好。蒜頭蛤仔鍋超推👍🏾
服務
內用
餐點：5
服務：5
氣氛：5",5
"送兒子回宿舍，順道來此用晚餐。我們點的是石頭鍋，鍋裡有些洋蔥和芝麻，服務生會過來先將洋蔥炒軟，再將肉片略炒過後盛盤，此時才加高湯煮食材。白飯、飲料、冰淇淋都免費。用餐空間寬敞，服務人員親切、客氣，湯頭清甜、好喝；小缺點是地面是磁磚，走快一點怕滑倒，服務人員太少，只看到一個年輕的女服務生要顧櫃台又要跑全場去炒料，我們的食材都到了，稍稍等了一會兒她才有空過來幫我們炒，因為她很忙又很客氣，我都不好意思麻煩她了，只是這樣等得我兒子火氣都要上來了，真的要請老闆再多請人手來幫忙啦！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",4
"虎尾少數兩百出頭就能吃到的石頭炒鍋火鍋
重點是還不用加服務費真的很讚！

今天點了石頭炒鍋和酸菜白肉鍋
湯頭本身都很厲害👍🏻
酸菜鍋很夠味煮蔬菜跟肉都超級好吃
石頭過的湯底很清甜 少一種爆炒的味道
但湯頭真的很好喝！

肉的份量也給的很大方
菜盤也很豐富 新鮮！
但本身不愛吃火鍋料有點可惜🥺

白飯飲料冰淇淋 吃到飽
飲料熱飲機巧克力可可+牛奶很濃郁！
冰淇淋是杜老爺的 四種口味任選
要特別提到的是沙茶醬很特別
單配飯就很好吃😋

老闆跟員工服務態度都很親切
有機會會再回訪ჱ̒⸝⸝•̀֊•́⸝⸝)‪♡",5
"跟在嘉義總店湯頭一樣好喝，白飯飲料免費，肉吃起來比較好，一盤$100, 火鍋料好吃，重點還有杜老爺四款冰淇淋可以吃誒，巧克力的冰淇淋好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"蠻實惠的，食材用料上也是實在又新鮮，店內空間大，用餐環境也屬於舒適，會到店享用。
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",4
"好吃 現在有這種在客人面前炒料的已經很少了 外帶60塊一包湯底也超大包
餐點：5
服務：5
氣氛：5",5
"好吃又乾淨衛生，份量也很多，價格也便宜
（來這邊一日打工後吃火鍋的人路過）
餐點：5
服務：4
氣氛：5",5
"110/11/16沒有刷卡及多元支付。
中午11:35-12:50，只有我們一桌客戶。但12:00才吃到火鍋🍲。
自助吧：冰、熱飲、冷飲。
醬料：蔥、蒜、辣椒、黑白醋、花生粉、沙茶醬、還有很「死鹹」的醬油。
麻辣鍋一定不是他們的專業，吃完了會咬嘴，苦苦的",2
"外帶生食回家自己煮，份量也很多！
湯頭也不錯喝，一份的湯可以煮出一大鍋！",5
"點了牛肉鍋 我覺得湯底很好喝 不知道是不是因為前面先用肉跟洋蔥炒過再加水的關係
蠻喜歡這種清湯的感覺
冰品區蠻乾淨的 好吃😋
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：4",5
很喜歡的一家店，價格親民，白飯又吃到飽，吃小火鍋倒不如吃這個，來這一點要點他們的招牌石頭鍋唷,5
"7/9 19:15 五大四小用餐，從電話詢問有沒有位子時就可以感受到店家的親切，用餐環境相當寬敞，餐點也好吃，菜盤相當有誠意給的很足，肉片的肉量也不錯，可以感受到女員工想要把服務做好的感覺，沒有拍到照片下次再來消費，虎尾火鍋店也算一級戰區，支持好的店家，一定再來消費。
餐點：5
服務：5
氣氛：5",5
"後續店家處理態度良好！
————————-
我點外帶小火鍋
結果我的肉片上卡了頭髮
以觀感和衛生來說實在不是很好
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
服務：5",4
"泡菜鍋超好吃
兩種泡菜加一起的湯底超讚
蔬菜也份量也都給很足
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：4
氣氛：4",5
"蒜頭蛤蠣湯蒜味很足湯頭很棒👏🏻
還有飲料白飯冰淇淋免費提供🥰 …",5
"今日帶朋友來吃。包場…呵呵
麻辣鍋好吃…
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"本人感覺不用多加點什麼菜，因為光一份火鍋就可以讓你超飽
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"強力推薦蛤蜊鍋！！湯頭超讚的
餐點：5
服務：5
氣氛：5",5
"石頭火鍋清甜好吃，炒過的雞肉很讚！！！
餐點：5
服務：4
氣氛：5",5
"友善。
石頭火鍋湯底很香，一鍋份量剛剛好。
服務
內用
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4",4
"湯頭跟肉品真的都不錯♡
人員服務也很棒👍

人員可能要多注意點 客人小孩的一些行為
才不會造成～ 衛生習慣上的問題哦！
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",4
"火鍋便宜好吃😋服務態度很好🫶🏻
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
連續假日，建議加派人力，內場只有1個，外場2個，小姐們都很好忙好累，我們客人也一直空等，建議加人力，提升用餐品質。,5
"態度極為差勁👎！ 永遠一顆星
餐點：1
服務：1
氣氛：1",1
