comment,rating
"偶爾想吃素的 看到評論
炒飯 炒米粉很好吃 調味的很好
份量吃很飽 高麗菜很脆 也都不會很油膩
有驚豔到",5
"好吃！
附的清湯簡單也很好喝＼( ^▽^ )／
今天點了大份的原味炒飯，炒麵，滷飯，燙青菜，水餃...直接吃撐了🤣
老闆人很好，炒飯炒麵附贈的清湯還可以續碗😘
這裡客人挺多的，不管是內用還外帶，所以點餐時候是用餐高峰期的話，可能要稍稍等一下喔！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"鳳梨炒飯超好吃，飯粒粒分明，配上甜甜的鳳梨味道不會突兀，反而意外的搭，很清爽，越吃越涮嘴，點炒類的還會送一碗清湯。
鍋燒意麵麵條不軟爛，反而Q彈有嚼勁，湯頭相當清甜好喝，推薦給大家。
餐點：5
服務：4
氣氛：3",5
"這裏本來是如來素食，現在改為老街素食。當然，老闆也換人了。新老闆以前在虎尾曾經開過二次素食店，每次生意都很好，但是不知道是不是生意好，太累了，最後都頂讓給別人。現在的老街素食是第三次再開張…
今天特地去請問老闆：「為何搬來搬去？」老闆說：「太累了啦！想退休。但是老顧客一直說：『為什麼不出來營業？』考量身體還可以，就又開店了。」
素食業者晚上營業的比較少，這家營業時間是下午3：30至8：30，可應乎素食者晚上的需求。
老闆的炒飯是少數被我先生跨讚過的店家之一，粒粒分明，讚！

今天五點去，老闆坐在門外納涼，讓我好擔心他的生意。結果，點完餐後，客人陸續上門，好像多是熟客，當我拿走外帶餐點，裡面已趨近客滿，還有外帶，老闆又開始忙了！",5
好吃,5
"非常好吃，榨醬麵 炒麵飯類的 湯也很清甜🤤
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
素食餐點
清中帶香~神清氣爽",5
"接待顧客熱情
食物很好吃
店面待起來很舒適",5
鳳梨炒飯超讚 鍋燒意麵湯很好喝,5
"好吃的素食，晚上去好像看到廣銘老闆的身影
茄汁炒飯厚甲，還有附蘿蔔湯",5
"東西好吃～阿伯阿姨都很親切
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"老闆熱情招待餐點又可口
餐點：5
服務：5",5
"永遠生意爆棚，外帶電話接不完的老素食字號，不知換過幾次招牌與店面，但味道始終是不會騙人的，跟著美味尋找就是了。
餐點：5
服務：5
氣氛：5",5
店家很親切，氛圍也很喜歡，東西都很好吃！也很喜歡清湯♡有時候比較晚到店，快打烊了但還是會讓人內用，真的很感謝。感恩的心。,5
"東西個人覺得真的非常好吃！
服務
內用
餐點類型
晚餐
餐點：5
服務：4
氣氛：4
建議的餐點",5
"用餐時間，生意很好！要等待一下
鍋燒意麵，麵超厲害！開始吃到完食，麵的口感都一樣Q,不會被泡爛!湯頭也很棒👍🏻

炒飯粒粒分明，燙青菜的醬稍稍鹹了一點點
老闆還會附清湯，清湯也是簡單美味

可愛的老闆很爽朗😆",5
"老闆親切餐點美味，湯頭很棒☺️
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"我兒子喜歡吃他們的炒飯，鍋燒意麵，生意很好都要等一會
餐點：5",5
"都好吃，內用有 超夠勁辣油
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"鍋燒意麵麵條很彈，湯頭清爽，菜很多
真心推薦好吃",5
"炒飯及豆腐湯必點
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4",5
"喜歡老闆的熱忱！
生意非常好、忙碌中還不忘露著熱情的笑容！",5
價格合理餐點非常不錯，且少數素食我還會來，關顧十幾次以上。,5
"很好吃!!!炒飯粒粒分明，鍋燒意麵湯頭讚 地瓜葉好吃
重點是  好吃又便宜!!值得推薦",5
以素食店來說 品項比較豐富 咖喱炒麵、蔬菜芋頭粥、炒飯都很好吃 鍋燒的湯頭也很清爽👍🏻 …,5
"大推炒飯粒粒分明超好吃！而且阿姨很親切！
生意好不是沒有原因的",5
"味道好
餐點：5
服務：5
氣氛：4",5
最好吃的素食料理在虎尾,5
好吃！老闆態度客氣又乾淨👍 …,5
平價餐點，風味佳，用餐時間顧客很多,5
聽到老板的笑聲，煩惱就消了！,5
週二也休息唷~~,4
地瓜葉好吃 清湯好喝,4
素食炒飯好吃 大推,5
好吃古早味,5
便宜好吃,5
好,4
,5
,5
,5
,5
,5
,5
,5
,5
,4
,3
,4
,3
,5
