comment,rating
"東西就是肯德基，美味好吃，但點餐櫃檯變成一個後，要花更多時間在點餐跟等餐，二樓冷氣非常涼爽，夏日午餐好去處
服務
內用…
全文",5
拿著優惠券要點餐，排隊約5分鐘之後，櫃檯「王雲X先生」說要此張優惠券要網路預訂才行，因為是第一次使用，我請他幫忙教我如何使用手機點餐，他說他也不會用，就把我打發到一旁，因為他要幫下一個客人點餐。 … 全文,1
非常糟糕！沒有來過這家肯德基，想說肚子餓，進來內用，結果餐點點完，上二樓要準備進食，工作人員說二樓只開放到晚上10：00！點餐的時候都沒告知，現在要我去哪裡吃？坐在外面騎樓地板吃嗎？裡面也不放紙巾....沒有遇到過這麼遭的肯德基店 全文,1
"第一次來肯德基虎尾店是在2023年的農曆七月半，那時候逛虎尾特有的普渡拜拜，進來看根本沒位置坐所以沒點餐，借個廁所就走了。
今天2023／11／30特地騎摩托車來，因為附近根本無法停車。用自助點餐方式點餐之後等了一會就拿到餐了。今天吃花生咔拉雞堡+蛋塔+中杯檸檬紅茶，漢堡看起來很大，打開來看才知道原來還有一層薄薄的蛋皮+炸雞+一片薯餅，西生菜加的太少感覺沒吃到什麼菜，來肯德基必吃蛋塔，檸檬紅茶竟然有[陳皮梅〕的味道，有點奇怪。 全文",4
"店員人手不足 感覺都為了趕訂單隨便給 餐點點比較多自主結帳有多收3快袋子沒給想說算了 結果回到家想要的飲料要去冰結果冰塊超多…
店長應該要解決人手不足的問題
餐點：1…
全文",3
"第一次用app訂餐，取餐時這間態度不太好，發現少給飲料，又跑回去拿，又發現加購購物袋也沒給，因為趕時間就算了。
餐點類型
午餐…
全文",2
"不是一個讓人上班的好地方。
做事對人，不對事。反正覺得事情沒做好就開罵，罵就能解決問題了！有些時候
被罵的很冤枉，解釋也不聽，不會覺得自己一點問題都沒有。 … 全文",1
一樓點餐區，點餐如果排隊的話，可能會排到門口外，希望視情況可以再開另一個點餐台，不要讓客人等很久，紙包雞需要等30分鐘有點久，尖峰時段可以提前備料，二樓用餐區，廁所很乾淨，洗手台有點髒亂，落地窗讓用餐視野更加遼闊，這點室內裝潢還不錯，桌子稍微有點油，餐點的部分，辣味炸雞剛炸好非常鮮嫩多汁，蛋塔水準也很高，綠茶的部分本身無糖，但是又外加了太多的冰塊，綠茶完全沒味道，希望多多改善。,4
"點餐機跑不動一直當機  好不容易點完餐結帳結果刷卡機根本沒開 而且速食店連漢堡都沒有還要強制被換成炸雞真是傻眼炸雞還有夠難吃
服務
外帶…
全文",1
營業到23點 22：30前只剩蛋塔、炸雞其他都沒了,1
8/5-13：16訂單完成後，人就站在櫃台前等到13：38都還沒等到叫號，其間也沒有任何員工詢問。等到我們主動向員工詢問時，很明顯就是被忽略掉，個人也感受不到任何歉意。因小孩肚子餓到車上就把薯條吃光後才反應其沒有熟...真是謝謝給這樣的用餐體驗 全文,1
沒有的餐點應該要事先告知吧？都等了快20分鐘蔡說玉米還要等～比我晚去的都拿到餐點了！我還自助點餐幹嘛？餐點裡面的薯條為什麼沒給番茄醬？到家才發現沒番茄醬～,1
"環境整潔舒適
餐點美味
服務
內用…
全文",5
出餐速度稍慢，餐點中規中矩,4
"青花椒漢堡 醬是另外加上去的嗎？
昨晚買了一顆 一咬下去 整坨的青花椒醬 跟什麼一樣……
品管控制一下好嗎～
餐點：2…
全文",3
"寫著11點打烊，10點10分左右抵達
只剩蛋撻，也沒有要炸的意思。 … 全文",1
點餐結帳速度不快，出餐速度也不快，建議線上Line先預訂再去現場取餐，會稍微節省時間，內用座位數多，環境乾淨，冷氣也涼快，缺點是附近度不好停車，有時候內用學生多聚集起來聲音會大聲一些。,3
"人多等超久就算了，外帶餐點還給錯
點了兩塊炸雞一塊蛋撻，拿到一塊炸雞兩個蛋撻
員工訓練有待加強
服務
外帶…
全文",1
"在沒有什麼客戶的狀況下，點餐等6分鐘，完全沒有人要理，拿到餐只要1分鐘喔！
這是什麼服務態度？
餐點：1…
全文",1
"加買一包5元的醬，薯條都還沒吃完一半就沒有醬了。當消費者白癡是不是？
餐點：1…
全文",1
"雖然人潮很多 需要等候
但店員很細心檢查餐點
食物很鮮美 可口",5
"跟以往的態度差很多
這位小姐姐的名牌上面寫梁淑梅應該啦沒記錯的話
粉紅色衣服😂 … 全文",5
"雞肉又乾又柴,而且還是'冷的'
服務像與機器人對談
環境不乾淨
餐點：2…
全文",2
"現場排隊，站櫃臺前站了20分鐘，完全沒人點餐，只做自助點餐的，比我晚來的直接自助點插隊.......

防疫期間，讓一群人取完餐，在櫃檯旁聊天是怎樣，現場光自助點餐等取餐的就快20人 … 全文",1
"環境、服務都非常的棒！餐點好吃～大推～
餐點：5
服務：…
全文",5
"雞塊沒附糖醋醬就算了
紙包雞餐具也不給?",1
叫熊貓 加點的蛋塔，這是啥東西阿...被啃過是不是,1
"改裝潢後，感覺全變了😁😁
每次這個時間點都不少人，還好今天人不太多 …",3
"咔啦雞腿堡似乎縮水了，濃湯也變成跟麥當勞一樣的，失望。
服務
外帶…
全文",4
"雖然工作忙碌，但口氣跟態度差到極點😡 …
餐點類型
早午餐…
全文",1
