comment,rating
"除了一個糖都鴨套餐，另外點了一個川味的牛肉麵。
以手做料理來說，是一家經濟實惠的店家。
東西好吃，料理製作有講究
很棒的一家店，推薦給大家。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
糖都鴨紅藜飯套餐",5
"雖然到的時候店家已經快到休息時間
還接了我們最後一批的用餐客人
很感謝

餐點方面都不錯吃

可惜我的牛肉麵
麵太爛了，可能他們也累了
煮過頭
但是湯頭還不錯，可以嘗試一下
口味會重一點太鹹
需要淡一點應該可以跟他們反應看看
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
糖都鴨紅藜飯套餐",5
"過去曾用餐過一次，坐在窗邊，雖有冷氣，但熱到流汗，讓人印象深刻；過了好久又再去一次，餐廳內雖然也是開著冷氣，但還是吃到流汗。裡面有兩台冷氣，但當天入座後，發現只開了靠近廚房的冷氣，坐在中間位置真的很熱，告知服務生後，說會調低冷氣，只涼了一下下又開始熱起來！餐廳內幾乎滿座，結果只開一台冷氣，然後還不會涼。食物雖算好吃，但邊吃邊流汗，實在不是個良好的用餐環境。

評論一下餐點：
1.精燉牛湯拉麵：牛肉軟嫩，湯頭偏甜，無法全部喝完，但拉麵好吃！
2.川味牛湯拉麵：牛肉好吃，湯頭微辣，適合喜歡有點辣鹹湯頭的人。",2
"麵點很Q不軟爛、孜然牛肉湯麵很香、拌麵類也很優，椒麻麵大推，鴉香高麗菜清甜。單點的松阪豬、烤鯖魚都很好吃。第一次嚐試就沒踩雷，太好了。非虎尾人推薦給虎尾人的選擇
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
"蔬菜清脆、鮮甜，沒有過重的調味

糖都鴨鴨肉味十足、新鮮
松阪豬熟度恰到好處，肉質脆口、帶點鴨香味？(可能是用煎過鴨肉的鍋子烹調)
鮭魚酥香，肉質好
川味牛肉麵，花椒香氣、微麻的口感，吃完只想說:美味しい

沒想到虎尾也有這麼優質的店，用餐人潮絡繹不絕，建議要先訂位！",5
"滿驚豔的
松阪豬滑嫩燻香到一個不可思議的地步
而糖都鴨也是甜香油潤
一口鴨肉一口芋頭～很搭
料理方式很像高級燒臘

唯一比較可惜的是配菜有點像輕食便當菜
每道餐女生吃會飽，男生需要加點飯
店裡的氛圍很寧靜，滿放鬆的～
不過價格以虎尾簡餐來說稍偏貴
還行
因為主菜壓倒性的美味太強了",5
"每次來虎尾都會先預約訂位
全家都很愛松阪豬套餐
老闆娘很親切 餐點非常美味
建議的餐點
松阪豬套餐",5
"每種都好吃
最推單點的松阪豬 肉嫩 有股煙燻味 很特別
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"價格落在中高價位，用料還不錯，糖都鴨拉麵的鴨肉片滿多片的。柚香藕片很推
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
停車位
停車不方便
附近的停車場
免費路邊停車",5
"超級推！
食物精緻、味道有層次、環境乾淨衛生、氣氛好，重點是⋯⋯ 以這種品質的食物和用餐環境，價錢非常合理。
相見恨晚啊～ 已經納入我們每週至少去一次的店家 ❤️❤️

推推！",5
