comment,rating
"炸蝦捲丼飯根本不是炸蝦，一隻蝦子都沒有，而是拜拜用的炸物，丼飯也不是丼飯，是便當配菜，真的是太蝦了！被騙了！不會再次購買！！！
餐點：1",1
"平價好吃，配菜很台灣口味，滷味有點辣
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：4",4
很喜歡和朋友小聚的地方，平價又好吃，去過不下20次！超推薦：日式炸雞，每次都必點2份，日式炒烏龍也不錯！串燒類也都好吃，沒拍到烤麻糬，烤麻糬也是每次必點的甜點！好吃有推薦！,5
"唐揚雞都是粉😅薑汁豬是冷的又柴
服務
外帶
餐點類型
午餐
餐點：1",1
碳烤串燒好好吃，蒜頭蜆湯蒜香十足，雞肉串很嫩，三五好友來這小酌，是一個非常好的選擇，價格也很平民，CP值很高！,5
"很大方，CP值很高的店，宵夜晚餐都合適。
培根高麗菜$80
烤大蒜超漂亮！！
凍檸茶$40檸檬多，CP超高

打卡還送鹽烤白蝦，神佛心❤️
其他的不告訴你，真的來吃吃看吧",5
料理口味非常細膩，炒烏龍、雞翅串等等都非常好吃，價格實惠份量夠，推薦一定要來吃看看,5
"第一次造訪
環境清潔、店員服務態度很棒，不斷提醒不要燙傷！！
雞肉、香菇、蛤蜊湯是一絕；
調味恰到好處，食材鮮度中上，連孩子都讚不絕口！！
尤其是蛤蜊湯，整鍋見底，才150元！！
物超所值！！！",5
"CP值高，丼飯類、炒滷味，真的好吃又撐飽！老闆夫妻倆親切又健談😁
餐點：5
服務：5
氣氛：5",5
"炸蝦捲丼飯的蝦捲很像是炸春捲裡面有小蝦仁的那種 跟我想像的不太一樣
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：3
服務：4
氣氛：4",4
吃燒烤我總會來這，因為醃漬不會太鹹，肉類食材新鮮，價格會不會貴，炒類，火鍋也不錯，聚餐的好地方,5
"週二店休！
週二店休！
週二店休！
去了三次碰巧都是週二 ！店家一直沒有正確更新網路上的資料
餐食與服務品質都不錯 用餐環境也比搬家前舒適大了許多",4
個人偏好雞軟骨 好吃 必點 絲瓜烤的剛好 入口還有碳香味 整體食材料理好吃 用餐空間寬敞,4
串燒類好吃，很juicy ，推雞肉串、黑豬五花肉，適合和朋友聚會、聊天久坐、喝啤酒，環境不錯，可以待滿晚，CP值頗高,5
"聚餐的好所在，東西又好吃。

老板超貼心，牡蠣沒炸標準，還補上一盤招待。

真的東西好吃，又有溫度。",5
"很推的一間店、老闆親切服務很好
最喜歡唐揚雞丼飯還🈶️酸梅湯👍👍👍
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
唐揚雞丼飯",5
"丼飯不錯吃，有免費的冬瓜茶，服務態度也不錯，但是座位不多且Google上的評論都是之前串燒店的，有點難分辨這家店的具體評價好壞
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",4
"日式碳烤串燒跟常見日式料理
還有販賣飲料與啤酒
是一間適合與朋友晚上來聚餐閒聊的餐廳",5
晚餐宵夜廠的好選擇，附近好停車。餐點的選項很多，可以滿足每個人,4
"來台中晚餐想吃燒烤都會來這裡
食材處理的很乾淨
烤的、炒的、飯糰都好吃",5
串燒平價，與朋友聊天喝酒的好地方，菜單選擇種類滿多的，可惜這次沒有多的胃可以品嚐鍋物,3
還不錯吃～平價日式料理,4
烤的恰到好處，調味比較重，整體好吃,4
店員親切。環境乾淨。份量足夠。湯這樣才350元。有超值,5
餐點現點現做 有提供啤酒 很適合聚餐小酌,4
好吃，晚餐時間要訂位。,4
真的跟舊店差很多,3
新鮮好吃，調味與烤味適中和諧，單純食材的美味。鮭魚炒飯好吃！,5
"好吃
溫馨
快樂
開心的好地方
必須推到爆炸",5
"這是我第三次光顧這家店，感覺服務品質每況愈下，不曉得是客人不多影響熱情，還是怎麼了? 後兩次來服務人員一點笑容也沒有，甚至可以說是冷淡。
給三顆星，純粹是因為菜色選擇性算多 ( 雖然有些吃起來普普有些真的還不錯  )，價格也不貴，尤其是那道蒜味蛤蜊湯料實在味道佳。打卡再送菜，這點滿吸引人的，另外店自己也有停車位，如果沒位子，因為位於科博館附近，也有停車場停車格可停。",3
"飯蠻多的 菜會不太夠配飯
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
唐揚雞丼飯",5
東西好吃 服務態度非常好 超推薦！,5
