comment,rating
"來虎尾出活動，
發現一間不錯的燒烤店，
食材新鮮、種類多元， … 全文",5
"好吃😋對於愛吃蝦、又不愛剝殼的、鹽烤白蝦絕對是首選、份量多、送餐快、真的不怕客人吃、鍋物還有牛奶起士、真的優 …
服務
內用…
全文",5
第一次來吃這間店，感到服務人員很親切，食材豐富新鮮好吃，推推推。,5
"友人說品質中下，還真的中下而已。

19:45送餐到20:15都還沒上任何肉盤，其他晚來的已經都送餐了，後續服務不知道自己送了什麼單上來，還再多次確認，都電子送餐系統了還出這種差錯。 … 全文",2
"孩子來慶生，第一次來這裡用餐
豬牛魚類的食材新鮮，火鍋🍲湯頭也很棒
大多服務生是很棒的。
只是少數可能需要重新教育訓練！ …
服務
內用…
全文",4
今天去用餐，已經帶位完成，還整整被晾在哪裡好幾分鐘，按了服務鈴才來點餐！實在太爛了！服務生，跟我說人手不足！人手不足就不要接那麼多桌客人啊！然後點了壽喜鍋，卻來了昆布鍋！好不好笑！要不是小孩要吃，我真的不會再來！很後悔沒去斗六或嘉義了！生魚片越來越LOW了！ 全文,1
"店員服務態度好，出餐速度快，食材豐富多元，值得回訪的一間店,開在大馬路邊，任性超派🤭 …
餐點：5…
全文",5
"今天午餐來這邊用餐～食材越來越棒了！ 推推
平均每人消費金額
$600-800…
全文",5
"東西好好吃
服務一級棒
吃完還想再來
餐點：5
服務：5…
全文",5
今天用餐時在桌面看見一隻蟑螂爬向盤子裡的食物，當下按了服務鈴請服務人員協助，得到的回應只是要我們把有蟑螂的菜盤拿給他，隔了幾分鐘還有回來問蟑螂是從哪裡來的，我們回覆是在桌上看到的之後，服務人員又再次直接離去，連一句道歉或是不好意思的態度都沒有？？！讓我深深感受到貴店的衛生、員工訓練和危機處理方面都有待加強。一家經典老店實在可惜 ... 全文,1
"服務態度：優良，快速
內用桌數：兩層樓，數量是多的
環境整潔度：優良，桌面也很乾淨無油膩感 … 全文",5
"初次來色鼎與家人一起慶祝生日
服務很好，會細心介紹點餐、送餐、換烤網服務
服務
內用",5
今天來雲林玩，玩了一整天後不知道要吃什麼，於是決定再來吃一次色鼎燒肉，不過這次是來虎尾店用餐，呵呵，雖然說第一次是在色鼎的員林店用餐，但感覺虎尾店的餐點好像和員林店也些許不同，而在餐點的表現上，不管是單點的熟食，還是火鍋，又或者是肉品的品值，好像也比員林來得好，難道是我的錯覺嗎？還是今天玩了一整天太餓的關係，哈哈哈哈哈哈哈哈，但整體說起來，還是有維持我喜歡的用餐水準，也是我會推薦的燒肉店唷🤤🤤🤤🤤🤤 … 全文,5
"服務人員都很親切～
餐點也都很快就送到了～
小孩大人都吃的很開心👍🏻👍🏻👍🏻 …",5
"出菜速度快，可愛的機器人常常來報到，肉質鮮美。
服務
內用…
全文",5
"服務生很有禮貌，品項也多樣化
服務
內用…
全文",5
"非常好吃，雖然餐點一開始送的有點慢，但後續修正的很快！值得讚許！
有撥好的蝦，我給100分！
服務
內用…
全文",5
"孟璇很敬業！問牛肉品項都答的出來，也很勤換烤網，來這邊吃飯很開心！
餐點：5…
全文",5
"寵物友善先五顆星！平板點餐、機器人送餐很快也很方便❤️很推抹茶豆腐
服務
內用…
全文",5
"第一次來吃這間店，食材選擇多而且新鮮，服務人員親切！
服務
內用…
全文",5
"菜單更新過後品項增加不少
另外還有自助區
也有肉品的選擇！ … 全文",4
"生意非常好，需預約時間，送餐機器人很可愛，食材新鮮
平均每人消費金額
$600-800…
全文",4
假日午餐688元加一成服務費，牛肉品質很好，肉品種類多，海鮮新鮮，蝦子居然有剝殼😁太感動了，無論用烤的煮的都好吃，干貝直接整盤放火鍋煮，水嫩好吃，飲料種類多，汽水類二氧化碳充足，配上烤肉很過癮，冰淇淋還有哈根達斯的，熱飲特別有桂圓紅棗茶，蔬菜櫃蔬菜多樣，肉品海鮮櫃也有很多可以挑選，上菜速度非常快，也有機器人幫忙上次，服務人員服務速度快，換烤網也很快，天呀！吃太撐了。雖然有點餐用餐時間限制，但是時間絕對能吃飽飽出來。 … 全文,5
