comment,rating
"餐點中上，環境中上，但是餐點等待時間很久，（炙燒極上握壽司+500套餐+手捲+鮭魚肚3片）兩人1320元，吃完大約快2小時⋯⋯⋯😭😭
餐點：4
服務：3
氣氛：4",3
"環境乾淨，氣氛不錯，食材新鮮美味，價位也可以，會再回訪～
服務
內用
餐點：5
服務：5
氣氛：5",5
"此次為二訪！覺得很好吃，食材新鮮，吃了沒有什麼負擔～推薦！
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
Sashimi Assortment, Seafood Udon Noodles
停車位
停車位有點難找
附近的停車場
付費停車位",5
"直接總結：生魚片確實新鮮，其他餐點表現一般，建議單點即可。（可惜沒有海鮮丼飯）

-----
菊隱套餐$500
第一次造訪，點了基本套餐想了解一下各項表現。

生魚片_真的新鮮，可惜不是搭配現磨山葵。

和風沙拉_葉菜新鮮，和風醬太甜了。

精選壽司_就一般壽司。

海鱸柳川燒_用和風醬油煮炸過的鱸魚肉，吃起來普通。

和風烤雞_普通。

炸蝦天婦羅_味道乾淨、蝦子新鮮。

鮮魚味噌湯_好喝。

最後會招待每人一份奶酪。

氣氛滿不錯的，沒收服務費，服務一般（正常上菜，餐點正面不會特地朝向客人），只收現金。
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：3
服務：3
氣氛：4",3
"斗六很多日本料理店，真正好吃的很少，意外發現這家
我們點500元+1000元的套餐，套餐分量很夠，生魚片好吃新鮮。
整體上都算好吃~
生意蠻好的，放眼望去是客滿的~",5
"虎尾最好吃日本料理。非常好吃，已經到訪多次，記得先預約。
推薦炙燒特上握壽司，和牛，青咁魚下巴。
服務
內用
餐點類型
晚餐
平均每人消費金額
$800-1,000
餐點：5
服務：5
氣氛：5
建議的餐點
特上炙燒八貫, 炙燒比目魚, 茶碗蒸, 干貝生魚片, 招待蘋果醋",5
"今天消費5客套餐
生魚片真的很棒
尤其是蝦
品質鮮度一極棒

生菜沙拉也不錯
醬汁有點稍甜
炸蟹給過 外酥內軟
午魚一夜干鮮度嫩度也很棒
握壽司 花枝太硬 打槍

其他山藥湯（山藥太硬、枸杞硬邦邦）、肋排（太柴、味道令人懷疑）

外場服務人員面無表情
出菜不懂從長輩的位置先上菜

原本只想給3顆
奶酪救了一顆😂
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800",4
"兩個人去點了500元跟800元的套餐，每一樣菜份量都不多，但大都很好吃，握壽司跟烤雞肉最棒，但羊肉串比較老，甜點很簡單，可以吃飽，服務很好，不能刷卡，是會想再去吃的店。
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800",4
"點了500元套餐
每一道都很好吃👍👍👍
平凡的沙拉有平衡的調味
不會單純覺得就是吃菜而已
沙拉也是很新鮮的顏色
最驚豔的是炸蝦！
外皮酥脆，裡頭的蝦子是超級嫩的那種！
我可以吃100條😂
沒有額外服務費，店員服務也很客氣
停車方面，店旁邊約有「兩個」路邊停車的大小
下次很想嘗試單點！尤其炙燒系列的壽司🍣",5
"斗六都沒有好吃的日本料理店，意外發現虎尾蠻多人推薦的，本來因為疫情嚴重不敢外出用餐，但實在太久沒有跟家人外出吃飯，又很想吃日本料理了⋯⋯
我們點一份個人套餐500元的，其餘用單點的方式，套餐吃起來很飽足，但沒有驚艷感。我個人很推薦握壽司🍣及味增湯，鮭魚炒飯也很夠水準粒粒分明。 …",4
"訂位時間準時到店家，男服務生立即帶位進包廂，但包廂還有客人，於是又被請出來到櫃檯等候，（是不是要先確認位置在做帶位或者告知是否比較好？）我們整整等了40分鐘，詢問是否做處理？直接態度不好轉移話題。等待時間想說先訂餐但很多東西都沒有了😅
入座後，每位服務生說法都不同，所以我們重複很多遍的點餐、拿餐具、加水等等服務，內部的服務員是不是有統一的訓練方式？服務業真的很辛苦，但是這些基本服務，沒有做到位。
剩下什麼餐點沒上的也不清楚，沒有做任何紀錄？？（更換衛生紙，直接在客人面前用手拿包裝裡衛生紙放入木盒裡面，第一張跟觸碰的地方是否看在眼裡？還是拿進去做更替比較妥當？要求碗送上來說已經沒有碗了，這說詞也是蠻特別的？事後有送上來沒錯，整體表現好像真的…）
我們餐點點的重複性很高，因為也沒有什麼餐點可以點，量也比較少，走精緻路線沒關係，但是服務方面真的很待加強，態度不是相當的好。
結帳買單想看菜單，紙本用丟的？
消費者的認知，在剛剛一進餐廳的等候長時間以及服務過程再到最後，沒有做任何的表示，真的蠻失望的。
這次消費很高，餐點也都什麼也沒有了，點好的餐點（點的時候就有，入座後都沒有了）一直在跟我們做更換確認但沒有得到的同等服務。
這次經驗真的挺不愉快的🙃
致各個餐廳優秀的服務人員❤️
餐點類型
晚餐
平均每人消費金額
$1,000-1,200",1
