comment,rating
"老闆很親切，一開始看到菜單覺得好像不便宜，直到餐點上桌，確實有他的價值所在，料多味美，還有飲料可以選擇，最後竟然還有附甜點，裡面有水果、蛋糕、和茶凍，有空來虎尾一定要吃吃看，服務也很好，不過我看到蠻多人都是點石鍋拌飯，感覺是招牌料理，下次可以試試

壽喜燒（豬），原本以為是簡餐類，結果送上來是一大鍋的火鍋，料多到我要先夾一些起來放著

義大利麵的部分，還會先附麵包，都不錯吃
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"整體蠻好吃。有飲料有甜點，消費可以前面city park林森店折抵1小時。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"虎珍堂推薦就來吃吃看，沒想到真的好好吃，尤其是苦茶油雞系列，四個人吃都覺得好吃，有機會到虎尾會再回來吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：4
建議的餐點
草嶺苦茶油雞",5
"是一個清淨優雅的午餐用餐地方
服務
內用
餐點：5
服務：5
氣氛：4",5
"餐點草嶺苦茶油雞-雞肉酥香，薑片好吃，食用建議先把雞肉夾起放盤子，剩下苦茶油把白飯倒入攪拌 很香完全不會有ㄧ般的怪味道，很推薦吃這道店家招牌套餐，還有飯後飲料跟甜點-價格330元
餐點塔香杏鮑菇三杯雞-三杯雞肉味道很入味，杏鮑菇也熗的恰到好處，跟豆芽菜ㄧ起拌入非常下飯的餐點。價格330元
餐點法式乳香牛奶美白海陸鍋 淡淡的牛奶香，清爽不膩，可以嚐鮮。價格340元
還有其他招牌餐點都是店家用心料理，推薦大家嚐喜愛。
在虎尾市區的街道有這間美食店家，讓人驚艷的餐點，太棒了～
還有停車塲可使用！
服務
內用
餐點類型
午餐",4
"老闆人很客氣的推薦，東西好吃👍👍👍👍👍附近有特約停車場
餐點：5
服務：5
氣氛：5",5
"店老闆相當親切 熱心推薦招牌料理
大推苦茶油雞套餐
上菜後立刻夾出石鍋內的雞肉
並將白飯加入石鍋內拌炒
飯粒吸滿苦茶油及雞油 香味滿分 大滿足👍🏻
麻油雞酒酒味厚實 雞肉嫩且不柴 值得品嚐
餐點份量適中 飲料甜點不會死甜
店內空間不大 但感覺舒適
店面不起眼 但推薦品嚐🤤",5
"好吃好吃！

苦茶油雞套餐香氣四溢，讓人食指大動。老闆親自桌邊，將熱騰鐵鍋內苦茶油雞塊夾到空碟，餘下繼續鍋內不安份跳動的油和薑片，整碗飯倒入拌拌，然後請我食用。

環境清幽乾淨、服務親切，值得再次來唷！

套餐均約300上下，品項多選擇性高，可來很多很多次唷！",5
"1.環境寬敞整潔，店員親切
2.苦茶油雞沒入味，乾硬、許多碎骨，湯是淡而無味的開水+海帶
3.豬肋排兩塊，肉不多
4.有專屬停車場🅿️，兩個人消費，一人360，80元的雞塊薯條，還不夠完全折抵…
5.有點失望，希望能夠更好",2
苦茶油雞先炸再煎，非常入味好吃，薑也煸的香，再加上麵線，份量十足。豬腳也給的很大方，滷的夠火候，最後還有甜㸃水果，真的很棒。,5
"左宗棠雞不錯吃
苦茶油麵線也不錯
苦茶油雞可以拌飯很香
店內座位多有附甜點
苦茶油雞$300
左宗棠雞290
麻油薑母牌海陸鍋330
石鍋拌飯太慢來了扣一顆心",5
"苦茶油雞超好吃，每回必點，薑很香，飯後還有茶凍、水果、飲料和小蛋糕，適合全家聚餐聊天！有停車位。

p.s 旁邊的雞排超好吃，推薦大家！",5
草嶺苦茶油雞是店家招牌，雞肉炸得外酥內嫩，白飯倒進燒燙的鐵鍋中拌炒，更是一絕，苦茶油雞酒適合冬令進補，也是必點招牌。,5
苦茶油雞肉香酥好吃，苦茶油拌飯香氣四溢，連薑片都炸得酥脆，大推。,5
有停車場🅿️在附近，老闆服務態度很好👍現場示範如何吃苦茶油雞 …,4
餐點口味獨特又好吃，場所乾淨送餐也快速,5
CP值高…多樣套餐約300元上下…除了主餐之外…還附有小菜（沙拉）、湯品、飲料、甜點…料多實在且美味！,5
"苦茶油雞好吃，餐點豐富，還附飲料甜點！
價位略高但是很值得~~~",5
服務員推介套歺苦茶雞～騷脆，味不夠，太油腻。飯好吃，量太多，或減麵。湯太淸。整體不錯。費290元。,4
招牌苦茶油雞很香很好吃！餐點味道都不錯有一整套吃起來滿飽的～,4
左宗棠🐔很夠味又下飯，甜點有水果、蛋糕跟果凍，推！！！ …,5
滿好停車，服務好，不過炸的跟煎的太老，不推,3
"超好吃的苦茶油雞套餐，每次去必點👍
餐點類型
晚餐
平均每人消費金額
$200-400",5
苦茶油雞很好吃，義大利海鮮燉飯也好吃,5
"因為在地朋友的推薦及招待，點餐就點最特別的代表：茶油雞套餐！相當美味，非常有記憶點的餐廳，經營者的用心感受得到
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
老闆風趣幽默，菜色多樣，量很夠，吃得非常滿意。有很多素食選項，很好吃。,5
"苦茶油雞很有特色 薑片比雞肉還要好吃
第一次吃店員也會很熱心的服務
非常推薦大家來",5
還不錯吃，但我個人覺得價格偏高。,4
"苦茶油雞（無骨）是用冷凍雞米花下去做，讓人傻眼，點餐時應該事先告知。
雞肉完全沒苦茶油的味道，就是雞米花的味道而已，超失望～
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",1
"餐點都很有特色
餐點：5
服務：5
氣氛：5",5
"苦茶油雞，道地美味
焗烤起司義大利麵濃厚
各種料理，都👍 …",5
餐點不錯，有停車場。,4
