comment,rating
"用餐日期：2023.08.12（中午）
蒸汽火鍋之前在斗六吃過幾次，這一間店倒是第一次光顧，印象中最後的粥非常濃郁好吃，不知道是否美味依在？
⭕️優點
1️⃣服務人員相當勤快，已經很忙了，但是聽到蒸汽好的叫聲，就立刻來夾取食物，偶爾一兩次比較慢。
2️⃣相當好停車，有自己的停車位約20個車位左右。
❌缺點
1️⃣自助區的菜色偏少，選擇性不多，而且豆皮和麵類無法用蒸氣火鍋煮。
2️⃣粥和之前吃的完全不一樣，一點味道都沒有，還要加鹽巴！（可能是因為兩人套餐的關係，海鮮沒有之前海鮮那麼多）
3️⃣吃蒸鍋蔬菜不好意思夾太多次，所以只夾一次。（建議還是吃小火鍋）
4️⃣海鮮類都還算新鮮，唯一缺點小了1號。
5️⃣牛板腱有點澀，肉質普通。
6️⃣價格有點小貴。
總而言之，這一次來吃完之後覺得蒸氣火鍋雖然很養生，但是也沒什麼好驚艷的，未來會再來吃的機會不高，不過小火鍋倒是可以來試試看！
服務
內用
餐點類型
午餐
平均每人消費金額
$800-1,000
餐點：4
服務：5
氣氛：5",4
"我的最愛☞商業午/晚餐

上選牛培根鍋 $198
上選梅花豬鍋 $198
上選雞肉鍋 $198
上選蔬食鍋（素）$198
上選白蝦海鮮鍋 $239
以上需加收10%服務費
午餐供應時間：週一～週五11:30~14:00
晚餐供應時間：週一～週四17:00~21:00
不僅如此，竟然連湯底都可以做選擇

原味龍骨 +0元
日式昆布 +0元
日式扎幌味增 +29元
韓式泡菜 +29元
起士牛奶 +39元
養生藥膳 +39元
四川麻辣 +39元
壽喜燒 +39元
心花怒放蕃茄湯底 +39元
甜蜜南瓜牛奶湯底 +39元

蒸饌是在2016開幕的，當初是以一席『蒸海鮮』造成許多話題性…..他們設計一款特別的蒸爐，然後利用蒸海鮮的水蒸氣將放在下面的『生米』熬成『粥』，利用海鮮的精華蒸氣熬成的粥實在是霹靂無敵好吃！

大量海鮮用清蒸的會有一個缺點，就是吃太多顯得過膩……。我跟家人第一次去就是點一隻活的帝王蟹….四位大人吃的飽到額頭了！

過沒多久，蒸饌就更改裝潢，一邊也販售『個人小火鍋』…..。於是乎…..我就經常報到了！！！（最高紀錄連續一個月每週去一趟）
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
老饕梅花芯鍋, 滷肉, 蔬菜 麵食",5
"食材真的夠新鮮，才能用蒸氣方式料理
不同於往日用餐方式
店員桌邊服務，都將每道食材美味展現出來
餐廳停車也很方便唷
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,000-1,200
餐點：5
服務：5
氣氛：5
建議的餐點
虎尾蒸饌火鍋, 波士頓龍蝦1隻
停車位
很多停車位",5
"這樣份量對我來說剛好！不會太飽也吃的飽！肉量也可以~因為本身就吃不多的~不想吃到飽那種又怕選錯家吃不飽~可以來試試！因為平日吧比較沒那麼忙~服務人員會去看什麼東西少會去補！環境也涼快通風！值得推薦^_^
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
培根牛商業午餐",4
"食材新鮮沒話說，室內用餐環境舒適優雅，那幫桌邊服務人員很棒，值得推薦的好店家。
餐點：3
服務：3
氣氛：3",3
"👉🏻 環境部分

環境滿好的，位子滿大椅子坐起來滿舒服的，坐久也不會累的那種😂😂 很多店家的椅子都偏硬的～

👉🏻 食材部分

這裡幾乎都是海鮮(吃蒸氣鍋)，沒有做過功課不知道是不是每個蒸氣鍋都差不多，整體吃起來偏清淡，旁邊有附玫瑰鹽跟黑胡椒可以提味，加了玫瑰鹽之後真的差很多，主要可以吃到食材原本的味道很養生，大推雞腿肉跟蛤蜊，沒想到清蒸之後可以這麼好吃這麼嫩的雞腿肉，蛤蠣比原本火鍋煮湯還要鮮甜！大推👍🙌🏻

👉🏻 下次選擇的話應該會選個人火鍋就好，蒸氣鍋有吃過就好可以體驗一下～～
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,800-2,000",3
"第一次來吃吃喝喝
本次吃的是蒸鍋二人套餐
感覺食物沒有很多
青菜的菜色不是太多
老的菜蒸起來口感還好而已
娃娃菜嫩，所以好吃，但沒有無限供應😃

整體環境很寬敞
因為服務人員要來蒸
所以費用是工資貴去了😂
服務也不錯
想喝湯的，也有火鍋套餐
一部分食材也是可以蒸食
當然費用與蒸食套餐差不多
服務
內用
餐點類型
午餐
平均每人消費金額
$800-1,000",4
"第一次去吃。蒸物口感鮮甜不會有什麼異味。訂了包廂有最低消費，但是位子可以容納到10個人，我們才6個大人加2個小孩子吃的很飽。小孩子原來就是吃不多。所以多個大人去也可以。我們點了6人套餐組合。加點豬肉鴛鴦鍋跟蒸蛋跟肉品
服務
內用
餐點類型
午餐
平均每人消費金額
$800-1,000
停車場
停車場位子充足",4
"蒸氣火鍋，可以吃到食材的原味，不沾醬的話其實蠻健康的
當月壽星會送蝦子，蠻大方的幾歲送幾隻
整體來說 普普（不會雷），但個人覺得還好
服務
內用
餐點類型
晚餐
平均每人消費金額
$800-1,000
建議的餐點
炸地瓜薯條跟黑輪",3
"這此選擇包廂用餐低消需6000！
這次選擇8888尊龍套餐，價位偏高食材用料還算可以接受！
包廂的火鍋10人共用一鍋真的很不方便。
服務
內用
餐點類型
午餐
平均每人消費金額
$600-800",5
"2023.07
這是來吃沒有選擇包廂，
店家好停車、空間寬敞舒服，很推薦！
海鮮很新鮮  價位平實
生日當月，依壽星年齡送蝦（消費金額需打2000以上）

——
2020
今天全家包廂聚餐，我們點8人套餐5880元。(包廂需低銷6000元)
海鮮很新鮮，另外加火鍋(399元)
份量很多，全家8大3小1嬰，完全吃不完🤣
打卡還送豬肋排(8支)，調味不錯，好吃👍🏻
但限時用餐2hrs 大家記得要準時，不然會吃很趕喔！
餐點：5
服務：5
氣氛：5",4
"海鮮食材新鮮，肉類口感很好，青菜自行無限量夾取，飲料、冰淇淋海量供應，蒸氣的最底層會先放生米，上層是食材的精華流入底層，最後將紅蔥頭、蛋倒入攪拌後就是美味的粥，這部分完全由服務人員進行，我們等著吃就好
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
建議的餐點
虎尾蒸饌火鍋",5
"打完青商會辯論比賽來吃，真是舒服暢快。每道菜份量都很夠，配上醬料真是讚！
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
建議的餐點
清蒸龍蝦, 老饕梅花芯鍋, 滷肉",5
"-﻿
［#吃貨露西in虎尾］
゛蒸饌海鮮蒸物
𓍱﻿尊龍八人套餐$8888+10%
𓍱剝到手軟海陸鍋$1380
𓍱格陵蘭厚切鱈魚$290
𓍱虎紋石斑$599
-
𓍼幾年前在斗六吃了幾次蒸的鍋物料理，覺得印象深刻，這樣的吃法很少見，比起傳統火鍋相對健康，原來虎尾也有一家 #蒸饌 ，店面就在林森路上，門口一隻大龍蝦很搶眼🦞，整個看起來就是一家氣派的水產店！店內有一般方桌也有包廂圓桌～
-
𓍼採半自助式點餐，選好主餐後，自助吧的蔬菜可以夾到飽，還有炸物、醬料、肉燥飯、飲料機、咖啡機、明治冰淇淋（口味超多接近10種～😍）都在一旁可自行取用，雖然不到特別精緻卻也誠意十足，主餐還沒上桌前先飽一半⋯這次與朋友們來聚餐，直接攻頂龍蝦套餐，先給各位打預防針，份量極多，8人份10個人吃都可以～～(⊙ω⊙)
-
𓍼服務人員很專業的一道道端上並介紹是那種水產，讓大家相機手機吃飽後再放入鍋裡蒸熟，肉品先吃，松阪拌洋蔥清爽不油膩，接著是切片軟絲、口湖大鮮蛤、北國大干貝，蝦蛄是小時候的龍蝦，這次來看到各種水產整個長知識！😝蒸熟後輕輕剝殼就開，肉質很彈牙！以及格陵蘭厚切鱈魚，好的魚真的清蒸就好吃耶，魚肉柔軟在口中化開～～大草蝦大概有20隻吧，真的會剝到手痛！🥹波士頓龍蝦出現更是獲得眾人焦點，但後面實在吃超飽⋯差點忘記最後的精華是那鍋粥，吸收前面水產的鮮味熬煮而成的海鮮粥，粥品還可選擇原味、南瓜、地瓜或芋頭，整桌吃下來超級撐，痛風餐夠我一個月不吃海鮮了吧！當然，一定要用明治冰淇淋畫下完美句點，口味多到又讓人選擇障礙，如果可以每一種都挖一球！🤤
-
𓍼整體而言，想吃高檔水產，蒸饌會是很不錯的選擇，蒸汽火鍋的烹調更能凸顯食材新鮮度，如果人數少無法點多人套餐，店家也有個人鍋可以選擇，平日還提供200元左右的商業午晚餐，一樣有自助吧可取用，相當划算呢！👏

℡05-6310638
𓂄11:00-13:30、17:00-21:00
𓂄雲林縣虎尾鎮林森路二段386號

#露西吃貨地圖 #蒸饌海鮮蒸物 #yunlin #yunlinfood #huwei #huweifood #雲林美食 #虎尾美食 #雲林 #虎尾 #虎尾火鍋 #海鮮粥 #蒸汽火鍋 #水產 #雲林火鍋
服務
內用
餐點類型
晚餐
平均每人消費金額
$1,400-1,600",5
"服務人員態度超優，東西好吃又新鮮，下次聚餐再來。
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
"對於不愛吃肉的人 中午來享用198元的午餐吃到飽 非常棒！
喜歡蔬菜多 火鍋料少 建議蔬菜種類可以增加
還有炸地瓜  甜不辣 不吃白飯 麵條的 吃地瓜當主食 超喜歡
飲料區域蠻多選擇 還有冰淇淋 這部份我只選擇無糖茶包 茶包擺設很吸引我 因為帶復古罐子
醬料偏鹹 可能醬油沒有另外煮過稀釋 如果在醬料做些調整 一定更美味了
虎尾火鍋很多選擇 對於吃到飽的 其實沒有很感興趣  看到虎尾人讚出來 有人分享 才知道這活動
再這競爭的小地區 可以獨樹一格的蒸氣火鍋 平日做小活動 的確可以吸引一些沒去過的 或者是想吃商業午餐的平價料理

停車很方便 有自己的停車場 這點在虎尾很重要 太難停車的小鎮

謝謝店家提供平日小活動 及新鮮的食材",3
"海鮮及素材肉類用蒸汽蒸煮，底層放粥，蒸煮過程全部由服務人員操作及分配食材，等蒸煮食材全部好了，粥已熟了，全部的精華都在粥裡面，在加上黑胡椒及鹽，更美味鮮甜。
也可以單點鍋物，價格比較便宜。
餐廳有停車場。
服務
內用
餐點類型
午餐
平均每人消費金額
$600-800
餐點：5
服務：5
氣氛：5
建議的餐點
老饕梅花芯鍋, 虎尾蒸饌火鍋
停車位
很多停車位
附近的停車場
免費停車場",5
"食材的甜味跟口感在蒸煮的手法後完全的被保留。而且青菜可以在自助區任意取用，再由店員入鍋料理超划算。除了套餐外加點了一隻沙母跟草蝦都很新鮮肥美。
餐點：5
服務：5
氣氛：5",5
"青菜區空很久了都沒補，第三次去看還是沒有，跟店員反應結果全空了的有4格只拿1個去補…… 旁邊一樣傻眼的其他客人還說：他們好像捨不得拿菜出來? （希望不是）

202308- 過了半年又去吃，竟然還是一樣情形，看來蔬菜區空已經是常態了……",1
蛤蜊的品管似乎有些問題，一開始的一份蛤蜊就有兩顆滿滿的沙！店家補了三顆，但是其中之一還是滿滿的沙！建議可以跟供應商反應，避免讓顧客有不好的用餐體驗,3
"食材新鮮 環境舒適👍
採套餐模式 蔬菜是自助式吃到飽👍
還有王子麵吃到飽
很適合喜歡吃菜的人
我點豚骨湯 加了好多蔬菜 湯頭超鮮甜
特價$99 的海鮮 很好吃 蝦子非常新鮮還會彈牙
CP值超高 還會再來的店
價位要額外+10%服務費",5
"🦞「蒸」饌顧名思義食物大部分都是用蒸的，以海鮮為主打！但也可以點火鍋，有自助吧可以使用，有青菜、炸物、飲料冰淇淋、滷肉飯/豬肉丼飯，食材超級多樣化，現場也有海鮮賣場

🏠空間有分外場和VIP包廂，前者自己蒸自己煮，後者會有專人為您服務☺️

🌟這裡最最經典的就是蒸食材的同時，會把蒸食物所留下的精華，留在底部的粥，最後煮成一鍋粥給你！味道很清甜🤟推薦一開始跟店員說要「芋頭口味」的粥，比蚵仔的鍋底更稠更有味道

🌟因為都是用蒸的料理，所以口味比較清淡，可以沾鹽巴胡椒，特別能帶出海鮮的鮮甜
來這裡不怕吃不飽，只怕吃太撐走不回家🙈
推推CP值很高的餐廳",5
"收了10%服務費進來幫你悶菜 叫了不回也當作沒看到 真是搞不懂自己花了10%的服務費是花心酸的嗎？
請問貴公司為何能收下這10%的服務費
東西還沒吃完就急著收 服務態度不佳影響客人的消費情緒 真的是一次店
服務
內用
餐點類型
晚餐
平均每人消費金額
超過 $2,000
服務：1",1
"店內用餐環境好
便宜CP值很高
200元鍋物卻有400～500的價值
還有自助式buffet
冰淇淋口味多元化
不只有自己挖的甜筒冰淇淋🍦
還有冰棒的選擇
以及玻璃瓶汽水飲品
重點是服務很好！
大推👍👍👍
餐點類型
晚餐
平均每人消費金額
$200-400",5
商業午餐有點失望只有一小盤肉，其他的菜是自助式的，比一般的百元小火鍋還差，但還好熟食區有甜不辣和地瓜薯條，以及豬肉丼、滷肉、麵飯、飲料、冰淇淋和冰棒可以吃到飽。另外店員服務態度有待加強⋯⋯,2
"第一次來吃
門外有一隻大龍蝦藝術裝置非常特別吸睛！

服務人員問我們是吃火鍋嗎，我說對
他就拿火鍋的菜單給我，也沒介紹其他的…
所以我們不太了解蒸類的餐點
(後來有看菜單,都是幾人豪華餐或單點海鮮類跟粥類)

火鍋的部分，是屬於半自助式的
有豆皮跟一些菜類跟瓜類吃到飽
(半自助區沒有火鍋料，需自己單點)

飯也是自助的!
而且還有滷肉跟豬肉丼可以淋
(超讚 肉超實在)

飲料有可口可樂瓶裝的
還有一般自助式的飲料
(希望可以增加無糖綠^^)

甜點也有冰棒(雪糕,紅豆粉粿……等)
跟自助式的明治冰淇淋
(冰淇淋餅乾拿取需使用手套，
我覺得如果不防疫應該也要使用手套，
衛生問題，店家這麼做,這點超讚)

整體火鍋cp值蠻高的
男友平常不吃青菜，當天多吃了一些菜類
而且店員也都有巡邏補自助區的貨
跟隨時注意加湯
回訪率🌕🌕🌕🌕🌕

整體餐點有收服務費10%
且共鍋酌收150
提供給想要了解的朋友們( • ̀ω•́ )✧
服務
內用
餐點類型
其他
平均每人消費金額
$400-600",5
