comment,rating
"當歸湯頭真的是整包的藥膳下去沖
每道餐點的份量都超划算
老闆娘也會記得每位客人的口味
服務
內用
餐點類型
早午餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：3
建議的餐點
當歸陽春麵",5
"素魯肉飯(小)$20：份量大，素肉燥很香還有高麗菜，可惜太油膩，吃完盒底厚厚一層油。

菜卷$20：裡面包的高麗菜鮮甜脆口，外皮豆皮微脆又香，搭配附的薑絲，非常好吃！

豆腐湯$10：大塊嫩豆腐，配上清甜的湯，便宜又好喝！
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",4
"店家非常客氣，菜捲，麻醬麵大推薦，價格超值親民價，建議可以一吃。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4
素食餐點
菜捲不沾醬就有調味，稍微炸過非常好吃，粉不多非常棒，裡面的菜有脆度甘甜，難得炸物如此好吃，涼的時候吃仍然好吃，強力推薦，麻醬麵也是好吃，推薦。",5
"老闆娘很熱心，提醒有小碗
炸豆皮，豆腐湯都不錯
價格便宜，環境差了一點（感覺油）
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",4
"意麵 竟然是南投意麵！
菜捲 內餡飽滿 外皮酥脆可口！
燙青菜 今天是地瓜葉 超級嫩又脆！
水餃 一顆四塊 有冬粉高麗菜紅蘿蔔 很大！
沒有油耗味 清爽又健康的一餐
阿姨很大方又好客
價位很便宜
很適合月底的學生 👍

🔍zz_co",5
"營業時間週一到週五是6:00-13:00、16:30-19:00，週六、日則是只有6:00-13:00。19:00是最後點餐時間，因為老闆或員工還要一邊收拾，所以大概19:30才會打烊。
聽口音似乎是越南人，很客氣、很親切，用餐高峰時間生意頗優！
這次嘗試了菜卷和水餃，水餃皮稍硬了些，吃到後來會覺得咀嚼肌有點痠。但是內餡還不錯。醬油吃起來感覺有點普通，但因為是銅板價，所以還可以接受。",4
"111.03菜單
麻醬麵果然厲害👍🏻
難怪評論很多人推薦
菜卷也推
便宜又好吃
這次中午去買水餃撲空了🥲
不知道什麼時候才會有",5
"價格很便宜，備餐辛苦，但還很親切，量很多，可吃飽。巷弄不大，但值得買。
服務
外帶
餐點類型
午餐
餐點：5
服務：5
氣氛：5
建議的餐點
素食便當 小菜 燙青菜",5
"蠻大碗的，稍鹹。
但餐點可以不油
餐點：3
服務：3
氣氛：3",3
"香菇酸菜麵+菜卷

菜卷很厲害，外面是豆皮，內餡是包類似台式泡菜的高麗菜（不酸的那種），非常爽口好吃😋 …",5
"物美價廉
30塊的魯肉飯
份量狠多
餐點：5
服務：5
氣氛：5",5
"大家好呀
這間麻醬麵是我食過（不論葷素）
我心中最好吃的第一名（真的）
店家的人都好親切
真謝謝感恩有此啵讚棒的超好店家",5
老闆娘很親切餐點也好吃,5
"用料實在！
服務
內用
餐點類型
午餐
餐點：4
服務：4
氣氛：3
建議的餐點
素食便當 小菜 燙青菜",5
"真的好吃、老闆娘人很好，只不過便當菜色不要只有一樣青菜（地瓜葉）其它配菜都是素料，外帶很多次都這樣，希望可以加入別樣菜色，畢竟素料吃多也不好
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",4
阿姨煮麵很好吃 初一十五好夥伴,5
板條麵很大碗，豆芽菜很多。,3
"闆娘真的不錯，量都會加大且家人首次評語五顆星，真的非常好吃量多，價格算便宜許多，也不會過油膩。
服務
外帶
餐點類型
晚餐",5
老闆娘親切客氣，餐點好吃不貴，優質店家推薦給大家,5
"好吃，跟之前的口味沒什麽變
老闆娘及員工服務態度都很好",5
"出餐迅速，餐點新鮮好吃
服務
內用
餐點類型
晚餐",5
"從小吃到大的素食店
搬了新位址，老奶奶沒做了，換新人接手
陽春麵湯頭沒有以前那麼濃郁，香氣也不夠
可能是人手不足，菜卷都是先炸過的
吃的時候不熱、外皮也不酥了，但以前的味道還在，仍然推薦吃看看
雖然口味沒辦法跟以前比
但還是會來吃懷舊一下～
老闆娘很親切
唯一不變的是價格仍很實惠😊",3
菜卷超級推薦，熱吃冷吃、原味、加薑絲、加醬油都非常好吃！當歸湯麵份量十足，配菜豐富！物美價廉！性價比很高！去布袋戲館後在用午餐，大家都讚不絕口！超級推薦！,5
東西好吃，板娘客氣，雖然只有一個人在忙，態度還是很好，可惜沒吃到水餃賣完了，因為每桌客人上都有，應該很好吃吧！,4
"CP值超好
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"所有品項都好吃👍老闆娘人很親切
餐點：5
服務：5
氣氛：5",5
菜捲真的超好吃，2020的春節，沒有休假!闆娘說初六才休息唷!,3
"餐點不錯，上菜速度超快，首推菜捲。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
好吃,5
口味佳，清淡不油膩，鹼淡適中，老板親切，會供養出家眾，價格公道！,5
好吃 老闆娘很熱情 老闆娘兒子也乖幫忙收拾,5
吃了好幾年，味道都沒變，素食好選擇。,4
小菜好吃，乾麵俗又大碗,3
"闆娘 親切
餐點好食",5
超優惠，老闆娘很親切。,5
傳承的老店，老闆手藝很好。,4
貴死了～推埒內素食,2
好吃又評價 推,5
當歸湯頭濃郁很讚,5
"老闆娘待客親切
服務
外帶
餐點類型
早餐",5
好吃，便宜,5
便宜好吃，衛生,5
菜卷好好吃,4
"非常好吃
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",5
好紇,5
老闆娘很親切,5
超級美味,5
便宜又大碗,5
好吃又便宜,5
還不錯吃,4
"好好吃好好吃😋 …
餐點類型
午餐",5
平價的美味,5
滷豆腐好吃,5
好吃,4
味美價廉,5
好吃！,4
舒服的,5
,4
,5
,5
,5
,5
,4
,5
,5
,5
,5
,5
,4
,5
,5
,1
,4
,5
,4
,3
,3
,4
,5
,4
,5
,4
,5
,5
,5
,3
,5
,5
,5
,5
,5
,5
,5
,4
,5
,5
,5
,5
,5
,5
,3
,4
,5
,5
,3
,4
,5
