comment,rating
"養生食蔬鍋（240），菜色菇類多種，其中的沙茶醬很是好吃，甜鹹適中，具開胃效果，百沾不膩，只是電磁鍋火力似乎較小，東西煮比較久。
服務
內用
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"吃過數一數二好吃的素食料理 沒有素食的味道👅
份量很多 價錢實惠 服務很好 下次經過會再來！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"這間店上菜速度真的不敢恭維，
點了焗烤、石鍋拌飯及麵食等～
味道可以，但店家真的動作很慢！
主餐快吃完，小菜才上來？！
期間也有提醒提先上飲料，
也是沒用，都快吃完才上飲料。
飲料喝不完，加點飲料外帶還要多付3元，
錢其實還好，但用餐感受滿不佳的，
不會想再去！
餐點類型
午餐
平均每人消費金額
$200-400",2
"韓式石鍋與乾拌麵都很好吃，飲料與醋，尤其是醋，非常好喝！非常推薦大家來這裡用餐！石鍋吃的到鍋巴的感覺超棒😋👍😉😁🥇
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
"這家蓮花園生意超級好，等餐的過程客人不斷湧入。我們點了咖喱素排套餐和夏威夷炒飯套餐，餐點本身除了例湯是熱的，小菜是冷的，飯和咖喱是溫的。套餐的飲料不能補差價換咖啡，因此我們自己加點咖啡。咖喱口味是甜的，還有加蘋果，吃起來不太習慣，炒飯味道比較好。餐廳乾淨，廁所如果可以再乾淨一點，提供洗手乳而非香皂會更好。
服務
內用
餐點類型
午餐",3
"車停成這種鬼樣子是到底有沒有教養？當路口是妳自己家是不是？
餐點：1
服務：1
氣氛：1",1
"用餐環境佳，適合聚餐
難得有這種水準的素食，好吃！
還提供愛心餐給需要幫助的人",5
"原本預計在1樓用餐，但是等人時間太晚，改貳樓甜點下午茶，第一次吃舒芙蕾，外型美麗可愛，鬆軟可口。
唯一就是我們是第一組下午茶的客人，也是等餐等了20分鐘以上...",4
"同棟住戶停機車在此位置會阻礙住戶進出，但客人停車停成這樣就不阻礙他人進出？
餐點：1
服務：1
氣氛：1",1
"平日中午來，來客數也沒很多（加上我們這桌，共12人），但服務速度以及出菜速度，總共等了快一小時才上菜…..
服務
內用
餐點類型
午餐
餐點：1
服務：1
氣氛：1",1
"紅燒火鍋,湯頭不錯～小辣
南瓜義大利麵,小孩喜歡吃光
素料少多蔬菜，整體口味偏淡
附近有停車場……方便！",3
"餐點份量足夠 還有附贈飲料跟甜點  一餐吃完會飽很久
服務
內用
餐點類型
晚餐",5
"服務親切，餐點種類選擇多，CP值很高的素食餐廳！建議提早訂位、訂餐，才不用等太久。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
價格實惠，套餐份量十足，除了主餐還附湯丶小菜丶飲料及甜點。,4
