comment,rating
"太扯了，你們在上菜之前都沒有在看的嗎？
點了一個火鍋，結果整個瓦斯爐一堆螞蟻，我只是拍我這一邊，另一邊更多，是都沒在檢查的嗎？

當下服務生送上來，就看到螞蟻了，跟他說你們上菜沒有在看瓦斯爐的嗎？跟他說有一堆螞蟻要換，他看了一眼，放在桌上之後，跟我說等一下然後人跑掉5分鐘沒看到人，是在搞笑嗎？
是要讓螞蟻爬到白飯跟肉、菜盤整個都是嗎？
還要我下去說，才要找人來處理！
上來2樓後問我要退餐嗎？
不退餐？是要我吃螞蟻餐嗎？
推掉火鍋點了一份薯條，遲遲都沒送來，我就是要看你們多久才會記得送來，坐到要走了，等了快一個半小時都沒來，有夠扯！

員工訓練很差耶…找一堆沒有經驗的來是，覺得隨便做也有生意嗎？

點了一杯可樂，也沒什麼氣，不知道還以為是放了很久的可樂
另一杯葡萄柚冰茶，沒有什麼葡萄柚味道，為什麼要叫葡萄柚冰茶？難喝死了

夏威夷披薩有一點不知道在吃啥！吃不出來是披薩，連最愛吃披薩的小孩，吃了一口就不吃了
我跟老婆各吃2片是我們的極限了

唯一沒得挑剔的是炸物拼盤！

聽我老婆說，上次他們來的時候沒有這樣呀！
不知道是不是換人經營了

我整個好心情全變差了

已經列為我黑名單之一！
再也不會來了
真不知道評價3.9是哪來的

我在想是不是應該要找衛生局來檢查一下！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：1
服務：1
氣氛：2",1
"整個環境髒到不行⋯
遊戲區裡有垃圾還有塑膠條
地墊溜滑梯全是灰塵
公園都比這裡乾淨了⋯
這不叫疏於管理 是根本沒在管理
點了焦糖鮮奶茶 是壞掉酸掉的
反應了也沒退費 我也是笑笑的
那一杯加服務費200 然後不能喝🙄️
整體來說就是
東西不便宜 環境髒亂 餐點品質堪憂

這一顆星是給服務的阿姨
至少阿姨算蠻客氣的⋯
餐點：1
服務：3
氣氛：1",1
"小小孩玩樂好地方，又有餐食與飲料，可以和小小朋友待很久
餐點：4
服務：4
氣氛：4",4
"選在最後一天年假收假時帶孩子來玩，看大家的評論，是有點擔心，但實際到現場，並沒有這樣糟糕。

遊戲區不是很新，但孩子一樣玩得很開心，不是危險的遊戲設施，對孩子來說，可以爬上爬下，跳來跳去，比什麼都好。

洗手間也很乾淨，哺乳室有尿布台，可以讓孩子換尿布。

但建議可以放小塑膠袋，讓骯髒的尿布可以包起來丟掉，比較不會有異味，我自己是隨身都會帶小塑膠袋裝孩子尿布，身為父母協助維持環境也很重要。

用餐時，可以直接看到孩子在裡面玩耍狀況，讓人安心。

老闆也很親切，東西平價，雖然不是米其林一星，但比多數兒童館的餐點好很多，炸物拼盤內容給的很有誠意，紅茶很好喝，我還多點了一杯。

親子餐廳少子化後，經營很不容易，希望下回返鄉時，還能帶孩子來這裡玩。
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800
餐點：5
服務：5
氣氛：5",5
"價位還算普通，火鍋298元/鍋，還算不錯了！但是現場遊戲區缺乏整理跟管理，危險曝露其中，且設施老舊似乎沒有在整理翻新過....空間是有大，也有沙坑/鋼琴/遊戲區，遊戲區真的一樓需要整理一下了，看起來就感覺舊又髒！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",3
"看評價有點擔心，但好像沒這麼糟糕，東西以親子餐廳來說簡餐還算好吃，也不貴。遊戲區很大，小孩玩瘋沒清場或限時，要掃一下是真的，圍欄泡綿應該是西曬很多都脆化剝落掉在邊邊，球池的球破了要收掉，還有改進的空間。
餐點：5
服務：5
氣氛：5",5
"跟幾年前來的感覺不一樣，進到餐廳感覺很雜亂、舊舊的，遊樂設施地板也髒髒的、有灰塵，以前非常注重酒精消毒的衛生，現在也沒有。整體不復以前那種熱鬧新穎，有種沒落的感覺，讓人小小失望。
餐點跟以前不一樣，火鍋普普，點餐時沒有跟客人確認餐點，想換飲料卻直接打單了；沒吃完，外帶要自己打包，服務也沒有築間的服務，但卻還酌收一成服務費；餐廳感覺是為了節省很多人力、成本與設施維護的開銷而失去了整個環境與服務的品質。
薇若拉的地點真的很棒，內部空間也很大，希望有心、有活力的經營者可以重新經營，讓這間餐廳再次受到客人的喜愛，讓這個地方再次變成孩子們開心的樂園。
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：1
服務：1
氣氛：1",1
"2022年去的體驗還不錯，2023年就不太好了....餐點變化不大，但是親子設施多了很多修修補補的痕跡，還有一些包邊的膠帶破碎，碎片滿地也沒清理...二樓標示125公分以上不得進入，但是現場也沒有人員管理，希望業主可以多用點心來管理親子設施
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：3
氣氛：4
建議的餐點
日式炸豬排套餐",3
空間大，環境衛生乾淨，火鍋食材還行沒有特別想法。身高125公分以下小孩子玩設施要再加$80元，餐點價格比一般貴了點😅 …,4
"遊戲區髒亂
東西不便宜還要收服務費10% 一份餐點要330

火鍋完全沒味道
第一次吃到完全吃不下去的火鍋

肉跟火鍋料看起來都冰了不知道多久
上面還有結霜

白飯又硬又乾, 吃就知道是隔夜飯

只有炸物還勉強過關

如果A樂芬是90分 這間大概只有30分

30分是因為小孩還能勉強玩玩遊樂設施
餐點沒給負的就不錯了 吃到懶啪火
服務
內用
餐點：1
服務：3
氣氛：1",1
"食材新鮮度，還有兒童餐具明顯髒汙
快$400價位附餐飲料有失望到
但烤半雞有湯汁，不乾柴，好吃",3
"第二次蒞臨小孩玩的很開心，有大大的積木，彈跳床，溜滑梯，二樓也有小小盪鞦韆，旋轉椅
小孩可以1-2樓跑上跑下玩的很開心~雖然公告有寫假日限時2小時，因為沒有客滿，所以都不會主動來趕人，我覺得很棒,昨天小孩玩了4小時才捨不得離開，我們下次會再來
推炸物拼盤
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：5
親子友善程度
設備不是很新，但足夠讓小孩玩的很開心了",5
