comment,rating
"從以前就是忠實粉絲
只是以前的店面停車比較不方便
所以也很少內用

現在搬遷到新的地方
真的是非常棒
好停車、內用桌數還算足夠
老闆慢條斯理用心製作每一道料理
丼飯依舊美味
生魚片現點現切，職人手作醋飯
真的非常好吃
甜蝦？生蝦鮮甜，一定要把蝦膏刮出來
混合著一起吃

茶碗蒸味美料實在

餐點附贈的味增湯
一點都不馬乎
整碗是滿的，而且裡面還有魚皮
但要注意有一些細小的魚刺或軟骨

這間真的要給滿分
美味值得等待
（正中午進去，從點餐到離開，約莫50分鐘）
但吃到一定不後悔！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
附餐 味噌湯, 三色丼 炙燒",5
"用餐環境乾淨，品質很不錯哦，生食的都可以插炙燒。
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
鮭魚肚握壽司, 味增湯",5
"從在黃昏市場時就很愛，
但後來因爲生意變超好，
再加上難停車後，
就很少去但總是心心念念的，
終於換到一個好停車的地點了！
新地點在楊子中學旁邊，
記得旁邊有家職業公會和修車廠。

不過，想吃一定要先訂位，
不然只能眼巴巴的看著別人吃美食。
如果要外帶也建議提早電話訂購，
因爲老板只有一個人，
只能慢慢做呦！
雖然老板不愛說話，
但媽媽剛好互補能爲顧客解答呦！

今天沒訂位只能外帶，
當然要來份心心念念的鮭魚干貝丼，
可惜外帶沒辦法做成花花的造型，
但一樣好好吃呦！
這裡的鮭魚是採用魚肚，
入口那鮮美的油質讓人感到無比的滿足。
我家孩兒最愛吃比目魚丼飯，
那炙燒過的比目魚，
滑嫩細緻入肉即化，
嘴裡那滿滿的油質香，
真是令人難忘啊！
天使紅蝦也是超級鮮美的，
喜歡吃生食的一定要來兩隻，
若不敢吃可以請老板幫你炙燒過呦！
還有生食級的吧大干貝也是必點，
入口那飽滿鮮甜的干貝，
讓人覺得真的好滿足呦！

對了，丼飯的味噌湯也超有料，
真的ㄧ定要來一碗呦！
藝壽司🍣雖然主打生食，
但是也能請老板幫你炙燒呦！
服務
外帶
餐點類型
午餐
平均每人消費金額
$200-400
建議的餐點
鮭魚丼加天使紅蝦",5
飯快吃完發現碗裡有一根短毛，馬上跟店家反應，老闆說不可能是他的頭髮、也不是另一位阿姨的，他說櫃檯阿姨頭髮不可能這麼短；啊不然是長髮客人自己拔的短髮嗎^_^？不是一定要店家賠償，承認有疏失很難嗎？對這種服務態度真的不敢恭維,3
"真的非常新鮮價位也很佛心❤️
推薦愛吃生食的人來試看看
我也是被好多人推薦
而且還剛好在家裡附近
終於找時間來吃了！
點丼飯會附上一碗鮭魚味增湯喔
真的很划算～
店裡位子較少 建議假日/人數多/巔峰時間來的 可以先打電話詢問位子情況喔👌🏻

大推五🌟 會不斷回訪🔥
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
建議的餐點
茶碗蒸, 附餐 味噌湯, 天使紅蝦握壽司, 鮭魚丼加天使紅蝦, 味增湯",5
"吃了800次還是愛老闆這一味！
生魚片新鮮滑嫩又超厚！老闆切爆！
蝦蝦超鮮甜
味噌湯我覺得是最屌的
就一個附湯而已還放這麼多魚肉和豆腐

大拇指👍👍👍",5
"想吃還要碰運氣的店，滋味依然很棒。
餐點：5
服務：5
氣氛：5",5
"鮭貝丼，心甘寶貝丼，美味，醋飯超級好吃，跟魚料非常搭配。來虎尾必吃。
再再訪，ㄧ定要請老闆炙燒，干貝、星鰻、鮭魚，炙燒後美味再次到達天花板。
餐點：5
服務：5
氣氛：5",5
"Cp值高，餐點新鮮！
人多時需耐心等候！
炙燒不加價！
現點現做！乾淨衛生！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4",4
"味增湯：
第一口非常驚訝之後根本停不下來，以前的習慣都是吃飯配著喝，但是這次非常不一樣，這味增湯裡面應該是用了很多的鮭魚來煮，第一口救喝到滿滿的鮭魚油脂，超香超滑順，他裡面又在給了一塊鮭魚的膠原蛋白，口感超幸福
鮭魚丼：
鮭魚入口即化，一咬下去油脂噴發，一直想咬久一點，不過一個不小心就會滑下去胃裡😂
玉子燒完全不乾柴 超嫩 超好吃
白飯配上海苔真的超香 白飯屬於軟中帶硬 剛剛好的口感真的很棒，吃完一碗也不會覺得口乾舌燥。

我個人還有再多加天使紅蝦刺生，整體吃起來鮮甜 口感滑順 真的蠻值得，新鮮 好吃。

如果不喜歡 不用想了 不要去
不然我們很難訂🤣

如果因為工作需要晚一點食用跟老闆說老闆還會分開裝 然後就可以獨立把生魚片拿去冰保持新鮮❤️",5
