comment,rating
"味噌湯免費，用料實在還有日本海苗可以加，
六個豆皮壽司45元，連鎖的爭*根本沒得比，
豬排蓋飯這豬排不是蓋的，連孩子都很好咬，
炸豆腐挑嘴的女鵝讚不絕口，
飽餐一頓溏心蛋讓我們開胃，
又加點一個香草雞腿排，
女鵝一連吃三塊，
要繼續為傳承好味道的年輕人加油跟鼓勵。

這除了停車不方便外，我們找不到缺點
（可以停在附近收費停車場，一小時30便宜啦）
餐點：5
服務：5
氣氛：5",5
"香草雞很嫩很多汁，豬排蓋飯也好吃，免費的味噌湯也用料實在好喝，麥香紅茶也很不錯喝。價格也很親民
餐點：5
服務：5
氣氛：5",5
"什錦烏龍麵 80
基本上蠻好吃的 有一些肉品跟火鍋料還有一整顆的溏心蛋，當然還有青菜
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：4",4
"收到茶碗蒸打開時，呈現碎碎的狀態，吃起來不錯也沒有特別的想法；後來店家又自發性的補送一份過來😂
服務也太好了吧！👍
祝生意興隆
服務
外送
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"今天原本打算吃多利魚蓋飯的
結果⋯撲空了，只好點了豬排烏龍麵
闆娘跟櫃檯壽司郎也很真誠有禮貌
最重要的是⋯他們完全用心在經營
重視每個來店客人的用餐品質跟健康
用心、真材實料，只要來用過餐絕對都體會的出來甚至吃的出來

以前當學生就很愛吃了
如今出社會了，也不能忘記這樣的年少滋味
未來，一樣繼續用吃的行動來支持闆娘跟壽司郎
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
綜合握壽司, 豆皮海苔綜合壽司, 雞肉蓋飯, 香草雞腿排丼飯",5
"老闆家的二代目不接，給自己的頭號大弟子接手，吃的東西味道一摸一樣，甚至在食材上很明顯強化許多，湯頭的洋蔥填超滿、豬排超級好吃，味道更勝師傅，老闆又很親切，推薦大家來吃！
服務
內用
餐點類型
早午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
綜合花壽司, 香草雞腿排丼飯, 內用附贈飲品 味噌湯
親子友善程度
讚讚👍",5
"今天去吃跟 老闆與老闆娘聊了一下
有保留之前的好味道
也有用心做改良修正
從內用的味增湯就能感受出來
我們把每道餐點都吃乾淨
就是對店家的最大的鼓勵！
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
豬排蓋飯, 鍋燒意麵, 內用附贈飲品 味噌湯",5
"今天第一次被在地朋友帶來吃，老闆與老闆娘人很親切，餐點真的會讓你覺得物超所值（就跟市區同價位比而言），內用的麥香紅茶與味增湯品質甚至已經勝過一堆連鎖餐廳了👍👍👍
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
豆皮海苔綜合壽司, 雞肉蓋飯, 內用附贈飲品 味噌湯",5
"今天中午回味老店家
真的是從小學吃到研究所
味道不錯可惜醬汁比較少、白飯有點硬
只是這個價格真的很佛
餐點：5
服務：5
氣氛：5",5
"蓋飯類 還不錯
豬排 雞排都滿好吃的
蓋飯的洋蔥蛋 該嫩的嫩 脆的脆

炸豆腐看不少人推薦
可能我們放到冷掉才吃
稍微有點油耗味
不過內部很軟嫩喔

茶碗蒸 還不錯喔
料有肉有香菇
味道適中

價錢親民 不貴
有經過可以吃吃看",4
"好吃大份 絕對 對的起價格
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"喜歡店內的氣氛，每一次光顧都感受到老闆與老闆娘親切的對待每一位客人，在每一道料理的背後能感受出他們的堅持，就連味增湯、紅茶也不放過，誠心推薦給每一位晚餐想不到要吃什麼或是怕吃不飽的朋友 Cp值真的很高！
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"今天點了香草雞蓋飯
（本來想吃多利魚，可惜沒有了🥲

單論蓋飯本身的話
吃起來味道稍嫌淡了點
但如果配上香草雞本人的話
味道就剛剛好了

老闆還把香草雞的盒子特別剪了一個斜口
應該是為了保留香草雞的酥脆口感
老闆的用心有奏效
（老闆我感受到你的用心了😉
而且香草雞本人也很多汁🐔
不錯👍

整體吃起來大約8～8.5分飽
CP值很高
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200",5
"老闆跟老闆娘都很客氣，員工服務態度都超好，價位平價，還有味增湯跟紅茶喝到飽，來虎尾必吃美食
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
豬排蓋飯, 綜合握壽司, 排骨酥蓋飯, 綜合花壽司, 豆皮海苔綜合壽司, 鍋燒意麵, 雞肉蓋飯, 內用附贈飲品 味噌湯",5
