comment,rating
"（唐揚炸雞）炸雞外酥鎖住熱氣內軟！沾點鹹夠味美乃滋，天啊！好好吃！
（牛肉咖哩）日式咖哩口味！友人享用，說味道不錯！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"一招練一萬次的平價日式職人風味料理再訪
距離上次用餐也11個月，依稀記得地點在布袋戲館後好停車，一位高個加一對夫婦服務，這次挑牛肉咖哩 唐揚雞 日式豬排等套餐，價格實惠，餐食好吃，簡潔到位，即使配餐也有水準以上，希望下次再訪可別隔這麼久…
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4
建議的餐點
牛肉咖哩飯, 酥炸豬排定拾, 免費麥茶
停車位
很多停車位
附近的停車場
付費停車位",4
"內用裝潢很不錯，餐點很好吃。每個套餐都有小菜，當天龍鬚菜很滑嫩吃起來口感不會很粗，麥茶很香很好喝，生菜新鮮，主餐也很棒。一個套餐其實分量偏多，吃完很飽。建議可以先訂位。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"店內氣氛溫馨，待客熱情～
雖然吧台桌座位稍小🤨但尚可接受。
炸豬排很厚實❤️
唐揚雞非常驚艷，咬下去還有肉汁
定食的小菜過貓很嫩，很值得再回訪✨
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
建議的餐點
酥炸豬排定拾, 免費麥茶",5
"餐點好吃，老闆人好服務 👍，小小的店面滿滿的溫馨，重點環境很優（吃完都不會有油煙味），因為他們的炸台在同一個空間，估狗搜尋🔍意外獲得美味店家一枚（收口袋），有機會一定會在去，重點！對面就有停車場🅿️ 不用擔心停車問題。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
酥炸豬排定拾",5
"唐揚雞非常的好吃，皮酥雞肉多汁，薯泥也不錯，醃的白蘿蔔，跟小菜南瓜片很下飯，附近有付費停車場好停車
餐點：5
服務：5
氣氛：3",5
"豬排套餐4分，服務5分，門口有收費停車場。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：4",4
"2022年11月28日因為去家扶中心，所以就近用餐，對面剛好有停車場，非常方便。還沒到11:30的營業時間，但前台的阿姨非常熱絡的招呼我們可以先入內點餐，一進去，招待的叔叔就非常熱心的提供熱麥茶與餐具給我們，雖然內用的座位不大，但是不會給人窘迫感，反而因為叔叔平穩且親切的語氣，讓人有生活的慢食感。我們3人各選擇1種餐點，上菜速度其實很快，也都有品嚐到製備食物的用心。用餐時間一到，沒多久就只剩2個座位而已，可見得是不少人的用餐首選。廚師本人看起來挺有運動員的感覺，身高夠，體格佳，顏值也很有明星運動員的魅力。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
"餐點非常優秀，牛肉軟嫩入味，百香果南瓜脆口，味噌湯自然清甜，店家態度親切，很棒的用餐經驗。
餐點：5
服務：5
氣氛：5",5
"妹妹找的點，初進門我還想評論怎麼這麼高
菜單種類不多，老闆一個人料理，還有老闆的父母會在旁邊看頭顧尾
有免費提供熱熱的麥茶，手作小菜很好吃
沙拉的量不少
鯖魚大尾烤的恰到好處，唐揚雞很juniper
鱈魚豆腐很好吃
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",4
