comment,rating
"18、04、08晚餐

紅醬義大利麵、青醬燉飯

隱藏於褔民街的美味義大利料理。

雖然只有義大利麵及燉飯的選擇。採自由式選擇配菜。可以自由選取自己喜愛的搭配。 飯及麵品質也不差。且料好實在。

但環境位於室外。需注意蚊子及天氣因素。 而且翻桌率算高、主廚只有一位。需有耐心等待。",5
主配料及附配料可以任選，一份100元經濟實惠，當月壽星可麵加大或附配料加一項擇一。濃湯好喝，附免費紅茶享用。,5
"個人認為白醬最讚
最喜歡魚肉配花椰菜
還有紅茶 (≧ω≦)/
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4",5
"自己能選擇義大利麵的菜色搭配是一大特色
餐點：5
服務：5
氣氛：4",5
"估計是肚子開始打鼓，我在腦中反覆的思考我該往哪走，我一路的煩惱。

估計是記憶中酸甜的蕃茄味道，混著海鮮與肉片，美味的交織就平易樸實。

直球的滿足味蕾，我想這種隨心所欲的搭配沒有可能走挑食的藉口，直到我大快朵頤的完餐，心滿意足的飽嗝。

這大概就是旁人說的生活小確幸吧。",5
"平價義大利麵 很台式的味道 加20塊加大 份量蠻大的
白醬吃起來有椰奶的味道 很淡 不是一般外面那種濃稠的白醬味 不推
紅醬還可以 味道偏酸
想吃粗飽的可以來",3
"可自由選擇配菜的美味義式餐點，醬汁熬煮用心、份量足，附紅茶
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"店家客氣、貼心。麵好吃，挑嘴小孩吃了燉飯也說好吃。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"便宜又大碗，超級好吃～～ 學生時期吃到現在，過了8年也才漲10元有夠佛心！醬很香配料也可以挑自己喜歡的，對挑食的人非常友善🤭👍玉米濃湯也超好喝很濃～～
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
平價消費CP指高，很愛這菜單的設計能想吃什麼自己決定，難怪會有一堆學生來消費，設計菜單之人想必很博愛❤,5
"客製化餐點CP值非常高
青醬的味道非常濃郁 份量也非常多
環境整潔 可惜的是內用的環境有點悶熱
而且餐點加大 吃到最後會感覺有一點膩",5
