comment,rating
"份量不算小
濃湯沒什麼味道
紅醬的番茄真材實料 味道不錯
不過玉米筍有點太生 沒什麼入味
濃湯的玉米跟料也沒什麼味道

店內有提供紅茶喝到飽
冷氣超冷
缺點大概就是看起來真的很昏暗就是了
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",4
"在用餐時段來說 出餐速度蠻快的唷！
東西都很好吃 濃湯的味道很特別 很好喝

（為什麼照片上傳都會不見勒）",5
"青醬豬肉義大利麵$110：青醬湯汁很多，香氣濃郁、鹹淡適中。豬肉片不好吃，咬起來有很多筋的感覺，而且浸泡在濃郁的青醬裡，咀嚼到後面還是有點豬腥味。配菜的綠花椰菜好吃，莖的外皮不會硬硬的，魚肉整塊完整的，沒有碎碎的。除了豬肉片，整體還算不錯。
服務
外帶
餐點類型
晚餐",4
"吃過兩次
第一次吃紅醬，第二次吃青醬
紅醬好吃😋 但是青醬超鹹，鹹到吃不完！
其中蛤蜊很多！但是不夠大顆～
整體來說，還算不錯啦！",3
"可以自己選擇想要的配菜
到九點多依然可以內用
整體口味也算不錯",5
最愛這家的紅醬義大利麵，吃得到番茄的鮮甜，幾乎每個星期必吃，高麗菜也很甜，平價義式料理，口味可以自己選，推薦👍 …,5
"蔬食友好~蔬菜給的超大方~Cp值很高
我愛青醬蔬菜義大利麵
服務
內用
餐點：5
服務：4
氣氛：4",5
"室外的座位 位子比較少容易客滿 需要候位
可以客製化餐點 材料也很特別 餐點份量滿多的 現做 好吃👌
壽星也有特殊招待～（以現場為主） …",4
白醬味很香，麵條好Q,5
不能漲價又縮水吧……,3
"湯好貴，沒點過
能客製化很奇特
不過沒焗烤有點可惜
吃好玩的可以吃",4
濃湯好喝 主餐一般 整體cp值偏低,4
"多樣食材 可多次加大 適合胃口大的朋友
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",4
有特色，量多又味美，好吃。,5
好吃，用餐時段要打電話預定,5
不會加洋蔥很讚,5
用餐時段人很多， 濃湯好喝,4
"超好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
義大利麵好吃、濃湯好喝,5
超讚的自由搭配菜單,5
老闆很酷 real man respect,5
好吃便宜選擇多樣化,5
好吃好吃😋 …,5
,5
,5
,5
,5
,5
,5
,5
,5
,5
,1
,3
,5
,5
,4
,3
,5
,5
,5
,5
,4
,5
,5
,5
