comment,rating
"這次點了很多餐點 除了鰻魚丼飯不太合我個人口味之外 其他都非常好吃!!!尤其是鮭魚壽司和炸蝦壽司 真的必點!!! 炒飯也超好吃 整體非常不錯 推推👍🏻
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：3
氣氛：4",4
"餐點大致上都還可以接受
點了綜合生魚片、炸天婦羅丼飯套餐、手捲
綜合生魚片下面會放碎冰
過沒多久魚肉都泡在冰塊水裡面⋯
再來就是服務有夠差==
只有一位服務生 現場用餐的人加我前後也才各一組客人而已
點完餐後有求我先結帳
我就看我前面那個客人是飯後才結帳
我後面那組客人也沒有先結帳啊
是看我一個人來吃會跑單嗎==？
第一次遇過日料店內用要求先結帳的呵呵
感受極差 去櫃檯問廁所在哪 內場一個人在滑手機 幫我結帳那個不知道在忙什麼
直接被無視 問第二次才理我(^_^*)
還有最先上餐的是手捲
後來套餐的味噌湯才上
服務生走來直接口氣很差說：手捲要先吃
？？？我要哪時候吃請問有什麼問題嗎？
看到我吃完馬上走來收走 請問是很趕著要下班嗎
我看時間也還沒到打烊時間啊 現場也一點都不忙欸^_^
員工的服務態度真的需要再用力加強
東西好吃 服務差 也不會再想二訪：）
服務極差
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：1
服務：1
氣氛：1",1
"原本想吃的沒開，臨時經過決定來吃的，我們進去後就客滿了，後續一直有人想進來，店員都說已客滿，看來這家店蠻熱門的。

點餐時，店員有提醒現點現做要等大約半小時，我們點了照燒雞腿飯跟蔥燒豬肉飯，蔥燒豬肉味道濃厚，好吃，只是量有點少；照燒雞腿則是中規中矩，飯裡附的小菜不錯；唐揚雞肉160有點貴(感謝提醒記錯了是140，但還是有點貴)，不過整體來說還是不錯的。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：5",4
"蒸蛋的部分超硬😣
跟上次來吃對比醋飯味道很怪🤨
螺肉烤下巴炒飯龍蝦湯的部分沒拍
鮮蝦黃金豆腐磚不錯👍🏻
2次來吃都有給小碟的黃色瓜💛
‼️炒飯裏有加小丁的色素魚板🍥
－
第一次2人點宮本套餐＋鯖魚定食還是炒飯的，吃不完最後還外帶。
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800",2
"裝潢設計頗有日本居酒屋的味道，餐點多樣別具巧思，或許每家餐館都有其特色，事先告知顧客人手不足，對於出餐速度請多包涵。建議可以從擺盤及器皿或份量上搭配，對於等候的顧客也能感受驚喜。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
"這家日本口味料理店 以個人食量為主
非常適合 這次家庭聚會選擇是對的 蝦壽司好吃😋起司牛排🥩炸豆腐也很棒
孩子們喜歡這裡的烤松板豬肉👍 …",4
"點完餐後發現醬油槽的後方有一隻死掉的大蟑螂。後來店員上菜時沒端好湯汁直接淋到我的褲子上，整個無言⋯員工沒訓練好加上菜色也不好吃，真的毫無進去用餐的價值，要來用餐真的要慎選。
餐點：2
服務：1
氣氛：1",1
"幾乎每一樣菜都是水準之上，吃得很享受。以後有機會還會再回訪！
來之前可先打電話看有無休息。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
鮭魚卵手捲 玉米手捲 鮮蝦手捲, 大蝦天婦羅, 蝦手捲",5
"$580套餐很讚唷！好吃的烤雞腿排、南瓜可樂餅、炸蝦天婦羅、天使紅蝦等；只是蜆湯的蒜頭太多感覺在喝蒜頭湯。
鰻魚丼飯定食很棒，有蘆筍手卷、好喝的味噌湯；用餐前請教店員鰻魚是台灣的，但吃起來不太像，魚肉有點QQ和土味。
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：4
服務：5
氣氛：4
建議的餐點
大蝦天婦羅, 北海道南瓜酥可樂餅, 鮮魚味噌湯",5
"店內乾淨整潔！日式料理CP值很高～
生魚片很新鮮～
整體而言很推薦！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
