comment,rating
"菜單沒寫價格
2個人吃700
吃了一堆寂寞……

招牌還寫平價
覺得大大超出我心裡預判的價值
不是吃不起
只是覺得cp值不高",1
"在虎尾路上看到這間小店就去吃看看😃
抬頭看了菜單發現上頭沒有寫價格，所以我習慣性問一下價格，老闆也很熱情招呼～
點了鍋燒烏龍、綜合壽司、土瓶蒸跟茶碗蒸這樣總共195元，覺得鍋燒烏龍湯頭滿好喝的，裡頭也有撈到蛤蜊、蚵仔…這碗記得是60元，很可以點👍茶碗蒸味道比較清淡爽口，土瓶蒸表現不錯，綜合壽司中規中矩🙂
喜歡吃日式料理的人，來虎尾可以吃這間喲！",4
壽司吃得出很新鮮，手捲普普，服務熱誠普普,3
"看評論6年前菜單
魚卵手捲70

所以現在的價格是……？

還是建議標價一下吧
跟朋友去吃有點上了賊船的感覺🤣",1
"今天來這裡點了一盤鮪魚生魚片，食材滿新鮮的，也有其他主食可以搭配做享用🤤
是偶爾想犒賞自己會來的地方🫶🏻
Je suis allé le restaurant japonais,il y a beaucoup de cuisines qui est frais.
J’aime beaucoup.🥰 …",5
"吃過2、3次，間隔算久，口味還可以，份量可以多一點會更好，店內環境可以再加強一點
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：3
建議的餐點
生魚片",4
"太晚去沒吃到壽司....
服務
內用
餐點類型
其他
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：3",4
"今天點了 綜合生魚片、綜合壽司 小、
茶碗蒸、綜合沙拉  160+60+35+60=315
真心覺得超划算的 ，聽老闆說開了快40年，每次從台中回來必吃的老店之一！",5
"買生魚片7片160元會不會太貴了點？
重點菜單上面都沒標價，根本不會知道餐點費用落在哪…
餐點：1
服務：3
氣氛：1",1
"第一次想要留言告訴大家或者說提醒大家來這間店要注意的地方，以免跟我一樣吃了一頓不開心的餐，首先菜單上「沒有」價格，請自己事先問清楚每一樣的單價，否則結帳時肯定超過你的想像，點餐過程中老闆很熱情，除了一直推薦那種感覺很貴（沒有單價）的餐點以外，也會「主動」幫你決定份量，請自己再三確認到底點了幾份，上菜的時候吃的很開心，以為一份的份量很大很佛心，結果結帳的時候才知道是兩份，都吃下去了也沒辦法說什麼，只好乖乖付錢，最後就是說這裡的價格不是便宜大碗的地方，請記得要多帶錢再進去，例：咖哩飯1+茶碗蒸1+味噌湯1+味付花枝1+烤肉串2=$435，不是我沒錢吃不起，而是覺得不划算，沒有C/P值。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",2
少吃生食的我也可以在這間店找到喜歡吃的食物，有咖喱飯也有麵食還有茶碗蒸，料理便宜但食材也不馬虎都是很新鮮的（本人吃到不新鮮的會過敏）推薦給大家🥰 …,5
"點了 綜合生魚片 味增湯 茶碗蒸
生魚片新鮮好吃 茶碗蒸也很好吃
用餐環境乾淨舒適 是我喜歡的感覺
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
建議的餐點
小菜 冷盤, 生魚片",5
"生魚片新鮮 茶碗蒸便宜又好吃
老闆熱情介紹 用餐氛圍很棒很喜歡👍 …",5
"好吃，可內用，平價日式料理，但內用環境氣氛不佳，就是一般的小吃店。
餐點：4
服務：4
氣氛：3",4
平價好吃！必點茶碗蒸和手卷，鍋燒麵也很有傳統口感，咖哩是台式咖哩比較水不過清爽，烤肉會比較乾不推，生魚片不多但還算新鮮，壽司都現做蠻喜歡的,5
咖哩飯清淡爽口 燒烤類也不錯推烤鰻魚,4
"我女兒愛吃的台式咖喱🍛 …
平均每人消費金額
$1-200",5
"鍋燒烏龍麵好吃
老闆很熱情介紹 店內環境乾淨
會再回訪 好吃
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
生魚片很新鮮，茶碗蒸好吃，讚！,5
"鮭魚壽司跟鐵火卷裡面的芥末很多、鮭魚薄到透光
吃一個淚流不止 從小的鼻塞也因為這餐通了
餐點：1
服務：2
氣氛：1",1
稻荷壽司好吃，鍋燒麵的湯非常爽口好喝，咖哩飯能更好吃會變得更好,4
虎尾老店~環境乾淨~食材新鮮~食材有精挑細選~價格優惠~老闆、老闆娘服務親切很好~👍👍👍 …,4
"價格都寫一下吧！不然結帳的時候會嚇到
平均每人消費金額
$200-400
餐點：3
服務：5
氣氛：3",1
"30年的老店、忠實的平價美味混合台式的日本料理
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
鍋燒麵很經典，每次來都要吃,5
"是好吃平價的日本料理！
服務
內用
餐點類型
午餐",5
"好吃 有機會 會再來光臨
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
建議的餐點
生魚片",5
可能是虎尾第一家的日本料理 我的印像中已經二十多年了,4
鍋燒麵湯頭清淡，學生時期最愛的宵夜👍🏻 …,5
"大推鍋燒意麵~
湯頭很美麗~不需加沙茶",5
"傳統
餐點：3
服務：4
氣氛：3",3
"口味一般
中規中矩",3
這是我在虎尾乃至整個台灣最喜歡的日本餐廳。過去 31 年我一直來這裡，雖然他們還在製作食物，但我會繼續來這裡。,5
,3
,4
,2
,2
,4
,4
,3
