comment,rating
"當歸湯中規中矩，個人覺得好喝，鴨肉切盤肉質嫩，麵線與其他店的不一樣
不會乾澀。
用餐環境整潔，廁所乾淨 … 全文",2
"當地人推薦必吃的的店
個人覺得米血必點很好吃，
這裡的價格不貴又大碗
當歸系列都要來一份，甜甜的當歸味符合南部人口味
餐點：4…
全文",4
"鴨肉麵線很美味，上次到店，對輪椅族很友善，也可入內用餐

店內都很好，唯一建議，客人上廁所外的洗手台，至少也提供個肥皂或洗手乳，因為現在流行的病毒種類多
服務…
全文",5
"當歸鴨麵線的湯具有特殊風味，難怪能遠近馳名，鴨肉飯線較甜，屬於較南部的口味，餐廳氛圍很有古意，有老店的歷史，值得到此品嚐👍 …
餐點：4…
全文",4
"於星期一中午用餐，麵線偏粗一點，與湯汁較無法結合，鴨肉肉質嫩，湯也好喝。下水小菜比較無味道，一定要要沾醬油吃。
本店平日用餐時段略忙碌，結帳小姊較無工作熱誠，較為冷淡無表情。送餐的男服務生，可能因爲忙碌，心情不佳，說話小聲含糊不清，見其他客人詢問餐具問題時，略顯的不耐煩，並草草結束，留下疑惑的客人，建議店家讓員工加薪，或是增加人手，並且多關心員工過是否過度勞累，或是心情不佳等問題。 全文",3
"麵線有點像雞絲麵的感覺
但湯頭入味，很好喝還可以續碗
鴨肉飯單純用鴨肉沒有參雜其他滷肉之類的",5
"鴨肉很嫩，但湯頭太淡比較可惜
餐點：5
服務：5…
全文",5
"當歸鴨麵線超好吃😋米血也很棒。
當歸湯頭是目前喝過最好喝的，
鹹度跟中藥香適中，加大份量很足👍
用餐時間人很多，自己找座位再點餐。 …
服務
內…
全文",5
"當歸湯頭香氣夠
鴨肉鮮嫩好吃
綜合下水湯料蠻多的 … 全文",5
"鴨肉飯鹹香好吃
當歸鴨麵線中規中矩
米血偏硬口感不愛
櫃檯服務小姐態度沒有溫度
服務
內用…
全文",3
"丸子很脆，肉很嫩，湯頭好喝，鴨油飯超香，可以來吃
服務
內用…
全文",5
"服務好，東西好吃，推薦來虎尾一定要來吃，中藥味很剛好，不會太重，很香很好吃
服務
內用…
全文",5
"初訪，環境乾淨衛生，食物美味，當歸湯底濃郁香醇，推薦！
餐點：5
服務：…
全文",5
"附近有停車場，停車非常方便
內用座位多又乾淨，上菜速度也快
內用跟外帶都要畫單，只是單子顏色不一樣，菜單寫得非常清楚好理解 … 全文",5
鴨肉飯一絕必點，醬油的香氣拌起來很有古早味，吃了真的會醍醐灌頂，綜合鴨肉下水麵線略普通，麵線較粗湯頭一般般，尚沒有一口喝下的驚艷感，米血軟Q好吃，加點特別的辣椒醬蠻搭的，不過份量真的是佛心學生量,4
"鴨肉麵線，湯頭不錯。
鴨肉飯醬汁少，幾乎都在吃無味白飯。
服務
內用…
全文",4
"鴨肉飯實在太好吃
鴨油調味鹹香得宜
真的是一口接一口 … 全文",4
"不好吃，湯頭除了泡過麵線的鹹味、麵粉味，什麼味道都沒有，其他普普。又是一家Google評分高、生意不錯但是不知道好吃在那裡的老字號名店。

PS: … 全文",1
在過年期間造訪品嚐，點餐後大約等了40分鐘，除了招牌鴨肉麵線必吃之外，鴨油拌飯也十分推薦。,4
"每次來虎尾都會吃的

🍽乾拌鴨肉麵線 … 全文",5
"湯頭甘甘的，喝完覺得口乾乾的會渴。
鴨心不曉得是不是燙過頭，非常有韌性，
人潮不少，但個人覺得口味普通
服務
內用…
全文",3
"旁邊有停車場，半小時30

鴨肉飯大的可能只有大到飯，肉量感覺還好（不會撲滿，有點空空的） … 全文",4
"當歸鴨肉麵線湯頭清爽有香氣
乾拌麵線Q 彈入味
鴨肉丸子跟米血無特殊表現
60年老店 平價料理 環境衛生 服務親切 會再回訪",4
"湯頭清甜，鴨肉軟嫩，桌子很大，廁所乾淨。
服務
內用…
全文",4
