comment,rating
"盤餐有點價格 但是吃了是會有飽足感的
服務
內用
餐點類型
早午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"瑪芬堡麵包不錯吃，牛肉普通，整體上是好吃的，份量一般量再多一點，咖啡現磨的好喝很香不澀。
服務
內用
餐點類型
早午餐
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4",4
"店內低消為一杯飲料，環境舒適乾淨，餐點口味好吃，但視覺效果上，擺盤及餐點精緻度可以再努力一點^^
餐點：4
服務：5
氣氛：5",4
"清幽舒適 適合來這裡把一個下午變不見☺️
服務
內用
餐點類型
早午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
店員服務態度好，餐點現點現做，需要等待些時間，沙拉的水果也是現切的，食材新鮮，餐點好吃，店裡有許多可愛的小佈置，整體環境很不錯，是與朋友聚餐的好選擇。,5
"以地區來說是價位🔝店
1.無兒童座椅
2.無置物籃
3.無開水或檸檬水
（以上三點已扣分）
€甜點是自己做的這點非常值得讚嘆
¢鹹食部分真的有待加強，因為如果一昧只是用起司提味，只會降低食材價值.
（無明顯蒜味，洋蔥，胡椒，等等）
還有出餐真的太慢！我們是第二個入桌！三個套餐四杯飲料四個甜點可以等到乾瞪眼😅

然後怕吵的千萬別來這家，花比別人多錢，卻有可能遇到像菜市場的吵鬧聲.......
服務
內用
餐點類型
早午餐
平均每人消費金額
$200-400",2
"店內氣氛不錯，價位偏貴，店前停車位少。

好食飽飽的沙拉附的是優格醬，餐點內炒蛋有加起司（吃到後面會小膩口），薯泥上面是多利多滋，濃湯鹹度適中，可頌酥脆，內含起司、水煮蛋、培根、番茄、生菜，一個套餐就飽了。

推鮮奶系列的飲料，上方是奶泡，喝起來很濃郁。
服務
內用
餐點類型
午餐",5
"輕工業風格的裝潢 環境乾淨舒適
點了南洋風辣牛肉 份量不多 但味道卻驚為天人
牛肉非常嫩 醬汁更是完美
甚至後來直接麵包就沾著醬汁吃到一點也不剩的那種程度…
義式香料雞腿排肉的份量偏少 調味不錯
炒蛋的部分帶了點起司的香氣
薯泥及濃湯的表現也相當好
雞塊剛炸好顏色很漂亮熱熱吃非常好吃
喜歡早午餐的推薦納入口袋名單",5
"濃湯好喝 蛋也很好吃😋
餐點：4
服務：3
氣氛：3",4
"-﻿
［#吃貨露西in虎尾］
𓍱﻿墨西哥辣肉醬$280
𓍱義式香料雞腿排$260
𓍱﻿花生培根牛肉瑪芬堡$160
𓍱﻿香草鮮奶$100
𓍱﻿可可鮮奶$120
𓍱﻿好食紅茶$90
-
𓍼最近露西周周來虎尾報到，幫大家挖掘各種早午餐！🤗雲林除了斗六外，虎尾應該是早午餐和甜點最密集的地方了，市區各種小店林立，#虎尾好食 就在其中，默默開了幾年，開車來較不好停車，建議機車前往～
-﻿
𓍼有點餓的我點了好食飽飽系列是盤餐， 主食選擇 #墨西哥辣肉醬 ，盤餐均附濃湯、沙拉、麵包、薯泥、炒蛋，濃湯的料多且濃郁，麵包可以更換成白飯，吐司是厚片的給了四大條，沾著墨西哥辣肉醬剛好，醬蠻大碗的麵包吃完醬還沒用完，單吃又有點辣，一旁的薯泥綿密好吃，炒蛋裡還有起司，份量算多，熱量也很驚人～🥹友人點的 #義式香料雞腿排 則是主食換成雞腿排其他是一樣的～
-
𓍼菜單上另一邊好食輕輕系列，可以單點可頌、貝果、馬芬堡及吐司， #花生培根牛肉馬芬堡 夾著培根、花生醬牛肉、蛋和新鮮生菜，吃起來像是豪華版的滿福堡，還不錯吃不過胃口大的男生可能會覺得份量稍嫌少一些，點套餐再點飲品可以折抵$30，當天點的 #香草鮮奶 表現中規中矩～
-
𓍼留意一下內用低消是一杯飲品，套餐並沒有附飲料，所以吃一頓下來大概要300多，在雲林的早午餐店中算偏高價位～🌝雖然寫著限時2小時不過如果後面沒有客人店家不會來趕，那天坐還蠻久的，店內用餐空間舒適，只是要降低音量，避免影響到他人噢！

℡05-6325208
𓂄09:00-15:00（三四公休）
𓂄雲林縣虎尾鎮仁愛路71號

#露西吃貨地圖 #虎尾好食 #雲林早餐 #虎尾早餐 #yunlin #yunlinfood #雲林美食 #虎尾美食 #雲林必吃 #雲林 #虎尾 #雲林早午餐 #虎尾早午餐 #虎尾咖啡
服務
內用
餐點類型
早午餐
平均每人消費金額
$200-400",4
