comment,rating
"氣氛很棒！
店裡都是播放日式的歌曲～
串燒部分都蠻好吃的！激推牛五花！
價格偏高 但是真的很好吃。
生啤酒很順 雖然味道沒有那麼濃
店內有飛鏢吧 蠻適合三五好友吃吃喝喝
唯一缺點就是無法刷卡..
餐點：5
服務：5
氣氛：5",5
"虎尾必來的串燒店，感謝它的存在！
跟姐妹一起吃串燒，很愛他們的明太子山藥、毛豆、培根蘆筍和烤麻吉！
吃得好滿足😋
服務
內用
餐點：5
服務：5
氣氛：5",5
"叫了外送滿生氣的，山藥排骨湯，山藥根本片狀薄如紙。松阪豬炒水蓮，松阪豬就四塊肉……分量少得離譜沒誠意⋯⋯
然後收到的時候水蓮的湯汁撒的整個包裝袋裡面都是，餐具都浸溼
之前還不會這麼誇張，怎麼幾個月過後，店家這麼誇張品質有夠糟
餐點：5
服務：4",4
"雲林有氣氛的居酒屋推薦
餐點部分也是很可以😌
會二訪
餐點：5
服務：5
氣氛：5",5
"麻糬好吃，辣椒牛 很辣又很鹹
餐點：5
服務：5
氣氛：5",5
"一家很有特色的居酒屋，氣氛不錯，東西也都很好吃
2023/4月再訪時點餐是採用QR Code點餐
服務
內用
餐點類型
其他
建議的餐點
日式麻糬, 脆皮雞皮, 明太子雞肉串",5
"氛圍真的很棒，店裡沒有太多位子建議先訂位
麻糬、鮭魚卵炒飯、唐揚雞很好吃，吃下來最有印象的三道料理
很適合朋友聚會小酌的店🥰
上菜速度沒有到很快，當下飯點時間，不過坐著慢慢吃聊聊天很不錯～還會再訪
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
建議的餐點
招牌鮭魚卵炒飯, 日式麻糬",5
"店裡座位之間夠寬，不會想要暢聊卻感到吵雜，餐點味道中規中矩～( ᐛ )
服務
內用
餐點類型
其他
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：5
建議的餐點
明太子雞肉串",4
"便宜好吃氣氛也不錯的居酒屋！

招牌的鮭魚卵炒飯粒粒分明但不會過油，或著上面的鮭魚卵一起吃，裡面的鮭魚肉份量也不少，吃起來超滿足的！

炒烏龍很夠味，有柴魚的香氣、清脆爽口的高麗菜與QQ的烏龍麵，很家常的美味！

日式洋蔥我很喜歡，加了芥末多了嗆辣的口感，與日式醬油的搭配恰到好處，好吃！

串燒選了一份五串雞，有4串不同口味的燒鳥與一串雞心，外脆內嫩又多汁，滿好的，不過口味偏重一些，很適合配酒！

整體來說這天吃到的餐點口味都不錯，但比較重口，畢竟是居酒屋嘛，這天開車不能喝兩杯真的是搥心肝啊！
--
🍴招牌鮭魚卵炒飯($125)
🍴松阪豬炒烏龍($120)
🍴五串雞($235)
🍴日式胡麻沙拉($100)
—-
🤔店內裝潢滿日式的，燈光很居酒屋的偏暗，氣氛很家常，真的有種置身日本鄉下喝酒的感覺！

IG: shihhaotung
服務
內用
餐點類型
晚餐",5
"在虎尾這麼多年竟然現在才來吃（相見恨晚）
餐點CP值超高 價位親民 餐點好吃 今日用餐幾乎沒有雷 再強推一下（寵物友善優）有推車就可以進來用餐 推推！
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
招牌鮭魚卵炒飯",5
"門口可以停機車，旁邊路邊可以停車。
鮭魚卵炒飯米粒粒粒分明，裡面也有鮭魚，香氣調味非常好，口感香氣視覺都很棒！
薄切和牛應該是巴拉圭塑型牛舌，包著上面的鹽葱入口口感香氣都不錯，有一咪咪微筋感，屬於油花不那麼重的牛舌。
厚切牛舌應該是紐西蘭厚切牛舌，可能比較靠近舌尖，筋感比較重，烤功和調味很棒。
酒蒸蛤蜊非常好喝，酒香濃郁，但不愛酒味的可能先不要，如果蛤蜊選大一點的就完美了。
明太子雞肉不柴，明太子濃郁，烤功調味到位。
芥末松阪豬非常特別，鹽烤比較常吃所以點芥末，芥末有點嗆，愛吃芥末可以試試。
愛吃牛的建議鹽烤牛小排，算比較軟嫩的部位，牛香氣也很足。
招待的毛豆是我吃過調味最好吃的毛豆，不是般現成的鹽煮黑胡椒，好吃到我想買一袋回家，單吃鹹度稍高，下酒超適合，香味也很夠。
胡椒蝦看起來是用洋蔥下去炒，應該是白蝦為主原料，算新鮮不黏殼，脆度也有，如果早30秒起鍋應該更脆更甜。
烤筊白筍沒有調味，半邊盤子灑鹽沾著吃，但純吃原味鮮甜。
鹽烤七里香乾乾脆脆非常香，沒有腥味。
脆皮雞皮真的很脆，也很大片又大盤想搭配甜甜的醬汁灑上白芝麻非常好吃，只是有點意外是冷的，應該是故意的，但脆度不減，沒有因為醬汁軟掉。
茶碗蒸調味鮮度也很棒，雖然料不到很豪華，但很到位。
最後來個烤麻糬，煉乳的甜味加上花生粉的香氣，表面微焦脆的麻糬，趁熱吃非常滿足。
整體來說分數很高，目前體驗過的居酒屋食物算水準很高，裝潢也很有味道，我一定還會再來。
服務
內用
餐點類型
晚餐",5
