comment,rating
老闆很有趣，據說是二十幾年的鐵板燒師傅，整體口味非常好，蜜汁雞腿和九層塔蚵仔都很好吃。,5
"技術、手法、食材不一般、新鮮、雞肉很嫩、比目魚入口即化、但味道很一般。
餐點：3
服務：4
氣氛：3",3
"感謝兩週前的黃先生留下沒有內容的嚴厲評論，跟家人決定前往一探究竟，午餐遇到三位也是第一次來用餐的客人，一致評價高麗菜超脆超好吃的，兒子是個吃得出用心製作餐點且食材用料是否實在的饕客，眾口難調是老闆的無奈，但是他對技藝及餐點水準的堅持，我們都感受到了，因為是一人服務，無法等待的客人就走掉6-8位，用餐完剛離開，馬上又補上4位客人，評論區是每個人的感受，但是情緒過分激烈就叫人關一關的用詞，好在老闆度量大，不然業力迴力標可能遲到從來不會缺席，凡事太過，總是自傷居多，祝福老闆的餐點堅持，生意興隆。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
特殊餐點
高麗菜真的好吃又脆口，九層鮮蚵跟蔭鼓鮮蚵、蜜汁雞排超好吃的",5
"五星好評沒話說，
便宜又大碗，還很美味，
白飯自己添的 可以吃到飽，
有飲料吧可以暢飲，
一家只要你進門消費，絕對不虧的優質店家。
成為常客的話老闆偶爾還會展現特殊的廚藝技巧，幫你的菜色做不同花樣的做法，像是我照片裡的乾煎菲力佐玫瑰鹽，就不同於菜單上（另一張照片）的醬炒菲力。
另外，因為蝦仁的保存不易，老闆很少進貨，只有有緣的幸運兒才能吃到。

個人推薦品項：香煎雞排。

備註：相片中的蝦仁是2份的份量喔～",5
"蜜汁雞排很好吃！香氣十足
高麗菜和豆芽菜調味的很剛好
老闆人很健談很可愛
整體來說一定是五顆星
會再回訪～
餐點：5
服務：5
氣氛：5",5
"品質新鮮 價格平價 老闆二十年的功夫 炒出道道色香味 好吃的佳餚  之後聚餐一樣選這家 大推
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",5
"吃了很多鐵板燒，這間鐵板燒平價又好吃😋下次絕對絕對會再光顧❤️大哥人也很親切…真的一百分💯
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"上一次去吃發現超好吃的
不可能這麼評價欸
今天又來吃不一樣的東西，發現更好吃
有炒的很香的高麗菜，蜜汁雞排，菲力牛排，蚵仔，花枝
老闆手藝真的強！！
回購率100%
老闆很健談，他強調自己手藝很好，真的不是吹牛的
別看用餐環境很普通，但是臥虎藏龍
餐點：5
服務：5
氣氛：4",5
"香煎雞排煎得很酥脆！也不會過於油膩
蚵仔、干貝也都很大顆
湯品也是每天老闆自己煮的
最喜歡的鐵板燒店
整體CP值高食物也美味
老闆很熱情會分享料理訣竅，也好聊
不過有時候生意比較好就要稍微等一下，因為只有一個人作業",5
"這裡的鐵板燒算平價，但老闆的功夫吃得出來完全不馬虎，人很健談，餐點上亮點個人覺得是有別於其他連鎖的鐵板燒，高麗菜跟豆芽菜真的炒的很香，口感也很均衡，完全沒有菜的生味，肉的品質也很好，肉也弄的很香，本身品質也不錯，除此之外，也有供應白飯和飲料。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"東西很好吃 雖然這場勇士贏了但老闆說
湖人還是會晉級 老闆也是懂球的人給五顆星",5
"超推他的香煎雞排 多汁 口感超讚😋 老闆又很健談 湯品也超讚😍
餐點：5
服務：5
氣氛：5",5
"CP值超高～～食物好吃價格親民！！
老闆很熱情！會和人分享虎尾歷史，非常有趣～
廚師以前是在台北做私廚料理，在今天用餐過程中不斷詢問口味是否需要調整，對每位客人都認真對待，大推！！ps.黑胡椒雞味道很夠～干貝很大顆😋 …",5
"老闆主菜用料實在！真心推薦！好吃唷！
👍👍👍👍👍
從湯品就可以發現老闆真的是用心煮～料多實在！
每次去都品嚐到不一樣的湯品
有香菇雞湯、海帶蛋花湯、玉米濃湯
湯品算是隨緣湯
重點都很好喝！😋",5
"高麗菜真的超好吃！是吃過最好吃高麗菜～老闆人很也好！因老闆一人作業需等較久，但餐點真的是值得等候的💗
餐點：5
服務：5
氣氛：5",5
"東西真的好吃，可惜老闆不太會打廣告。
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
