comment,rating
"環境優美，用餐環境舒適。
菜盤的蝦超大隻，但是三拼海鮮鍋的蝦子反而沒那麼大隻。
五星好評有送小點心，今天是提供酥炸甜不辣！
服務
內用…
全文",5
"平日白天用餐，人潮也是絡繹不絕，如果是要正餐用餐時間最好是先訂位，不然現場等候需要一段時間，點選自己喜歡的餐點其他的都是自助式醬料飲料Bar跟冰淇淋

這裡的裝潢別有一般的特色風味，幸運的話坐在中間有水池旁邊感覺真的還蠻輕鬆愜意的 … 全文",4
"打卡送的甜不辣，好脆好好吃🥰
每家火鍋店都會有些記憶點
這家對我來說就是 … 全文",5
"目前我覺得中部最好吃的涮涮鍋，中彰投第一名！
無敵好吃，生日當天還有送鯛魚ㄧ盤喔，👍。 …
服務
內用…
全文",5
"燈光美氣氛佳
蝦子大隻的不新鮮
90分鐘用餐時間 （主食來時已經30分鐘） … 全文",1
"比較有裝潢和質感的火鍋店🍲🍲🍲門前有停車場🅿️但數量不多，去的時間晚剛好有位置停👍👍肉類的部份有分不同份量，份量很足夠，整體來說還不錯 …
服務…
全文",5
"用餐氣氛很好，餐點擺盤很有氣勢，大推蝦子，很新鮮咬起來彈牙。
豬肉、牛肉肉片不乾柴，魚肉新鮮，整體來說很值得回訪
不過在冰淇淋表現很不優，太過死甜，口味雖然很多，但是每樣表現都很普通，只適合淺嚐。
服務…
全文",5
"虎尾算中高價位火鍋店，環境挺像這一鍋，但不同的是野川堂比較像是一人一鍋物，食材新鮮好吃，服務人員都蠻親切友善，老范非常推薦這家火鍋店，給五星讚~
餐點：5…
全文",5
"非常物超所值，而且送的菜盤完全不馬虎
蝦子很新鮮很大隻！
份量很大，就連冰淇淋也不是一般火鍋店那種敷衍客人的廉價冰淇淋 … 全文",5
"好吃的火鍋店，有免費停車場，不過位置不是很多，最好提早到，以免沒有車位。價格不便宜，不過食材很新鮮，裡面的裝潢很漂亮，氣氛很好，藥膳鮮魚鍋很不錯，霜淇淋很好吃。
服務…
全文",5
"以份量跟餐點新鮮度來說價位非常平價，份量真的不少，吃到結束非常的撐，而且海鮮食材也很新鮮

唯一美中不足的是用餐時間一到真的是馬上滿位，停車格數量真的有點少，不過外面馬路邊也還算好停車所以不影響 … 全文",5
"難怪人會這麼多
因為真的很值得來吃😊
這次點原味湯底+鱸魚🐟 … 全文",5
"員工一起跟客人唱生日快樂歌的氣氛還蠻快樂的哦！我推薦壽喜燒鍋還不錯吃哦！霜淇淋多種選擇！飲品多樣化！鍋物超多種選擇喔！大家來店裏吃吃看吧！
餐點：4…
全文",5
"冷氣超級超級涼！！！
環境大氣寬敞，雖然環境音會比較雜，但空間大，用餐品質好，可以自在無拘束的吃。
必須大大稱讚單點的肉盤！幾乎都是浮誇擺盤，非常適合喜歡拍照或招待外地親友等，絕對可以做足地陪面子！ … 全文",5
上次來訪已經是兩年前了，店內沒什麼變化，不過這次座位安排比較裡面，才知道原來整間店這麼大，然後自助吧也不止一個地方。 … 全文,4
"裝潢媲美輕井澤的一家店，整體很氣派✨假日的人潮眾多，店家的停車位會有點不夠放，自助吧有飲料和霜淇林等可以自由取用～

🔺梅花豬肉鍋物 $320 … 全文",5
好吃的火鍋店，有免費停車場，來這邊慶祝父親節，前一週就訂最早11:00的位子8大二小，服務員服務特別好，有種親切回到家的感覺，服務小姐還給小孩好吃軟糖，真是謝謝哦🙏，火鍋真的好吃，吃了好多遍，都吃不厭，但這次冰淇淋不錯吃，但是沒了之前香草牛奶口味，比較不會甜，希望能出多一點比較不甜（微糖）好吃冰淇淋，謝謝🙏 … 全文,5
"訂三人的位置
座位是把六人座的桌中間拉一層簾子（如圖）看不到對面的人
但是需要並排坐 … 全文",4
"室內設計非常美，尤其如在中間水池旁用餐更是一絕，食材新鮮好吃，鱸魚的擺盤更顯廚師的刀工，食物份量也很足，飲料、冰淇淋就還好，停車位稍少一些。
服務…
全文",5
"10/1 18:00去用餐 好⋯冷⋯
一進去就能感受到冷氣的風力
吃完一頓晚餐全家快結凍🥲🥲 … 全文",4
"鍋都快吃完了還沒上附餐，
反覆提醒，用餐時間快到了，
才成功得到附餐。
被遺忘了，坎坷的生日。",1
"整體來說環境以及餐點都是不錯的
火鍋正常發揮沒毛病
滷大腸也蠻好吃的 … 全文",4
"公司聚餐，主管推薦，肉管夠管飽，看來海鮮也一樣XDD
有機會還會再去😋 …
餐點：5…
全文",5
"餐點好吃 C P值很高
個人套餐吃完有點飽
食材很新鮮
服務
內用…
全文",5
"自助區的飲料仙草和奇異果霜淇淋滿好吃的，裡面用餐冷氣開很強，可以帶著外套。
服務
內用…
全文",4
"晚上與家人一同聚餐，環境造景挺驚人的，室內溫度很低，可以攜帶薄外套用餐。

單點的麻辣豆腐不會入味，建議自己點麻辣鍋自己煮麻辣豆腐。
服務
內用…
全文",4
"如果你是芒果的愛好者，ㄧ定要來試試這家店的芒果霜淇淋！絕對讓你驚艷，一口接一口
停不下來！"" 今天來用餐 我一個人吃了4隻霜淇淋 口味超多 每次來都有不一樣的驚喜 下次來不知道會推出什麼樣的口味 記得上次來吃是奇異果口味 超驚豔的 不知道下次會有什麼特殊口味值得讓人期待 是一間被火鍋耽誤的霜淇淋店耶 全文",5
"氣氛很不錯，而且食物也很多 ，超值的選擇
餐點：5
服務：…
全文",5
"平價好吃，適合帶老人家來一同用餐，氣氛真的很好，服務人員很貼心週到❤️
服務
內用…
全文",5
"便宜又好吃😗
鱸魚火鍋鱸魚幾乎是一整隻 吃得很開心 …
餐點：5
服務：…
全文",5
"這家火鍋店的湯底真的很特別，非常好喝！食材新鮮豐富，湯底味道濃鬱，店內氣氛也很溫馨，服務態度非常親切，價格也很實惠。給這家火鍋店打滿分💯 …
餐點：5…
全文",5
"服務很好.餐點好吃.停車位過少.
人很多.建議電話預約
餐點：5
服務：…
全文",5
"到虎尾有這麼不錯的火鍋餐廳，服務態度好，詳細解說，食材也很新鮮，大推
家人生日也會有工作人員唱歌🎤，貼心 …
服務
內用…
全文",5
