comment,rating
"烤蚵很新鮮大顆
是店家每天到東石載回來的
老闆娘很親切招呼我們
不怕我們吃還很迅速的要幫我們補新的蚵😂
場地也很寬敞
不用擔心人擠人
老闆娘不太會用網路行銷
也很歡迎幫老闆娘多多宣傳☺️
餐點：5
服務：5
氣氛：5",5
"預約8:30去現場告知點菜要稍等可以理解
但是根本沒位置給我們坐
跟其他店員說 結果被回應我們不接客嘍
8:47終於有位置坐 給了我們點的白飯大約5分鐘後上了高麗菜
8:55詢問是否能先上烤爐讓我們烤蚵
店員回應：你們要烤蚵 啊沒有說啊
我：我們有說
店員：老闆娘說我們不接客了
我：可是我們有預約8:30
店員：哦～是哦 你們有預約喔 這樣喔（語氣帶點敷衍嘲諷） 那還是要稍等哦 因為我們不接客了

當下會要求先上烤爐是因為聽到另外一對現場客要烤蚵仔 結果老闆娘說 那先上烤爐讓他們烤 所以才去要求烤爐
結果被店員這樣回應 雖然當下一直說不要生氣 但語氣聽起來根本沒有反省的意思
後來上火爐還說 不要生氣 生氣會變老哦
？這是該有的態度嗎？
一直說服務不周請見諒 也看不出來有要改善的意思

後來去找杯子 知道餐具是自助的 但自助區完全沒有杯子的影子 跟店員反應 竟然想拿洗手台裡面還沒洗的杯子 想要過水直接給我們⋯
跟店員要夾子也是 很不耐煩的說在自助區 但是自助區根本沒有任何的夾子了 只丟下一句要稍等 到吃完還是不見夾子的蹤跡：）

點了甕仔雞 結果上來的根本是脆皮雞：）
（隔壁上的雞還比較像甕仔雞 是自己拔的
我們這桌的是切好的⋯
第一次看到切好的甕仔雞 還有要自己拔的脆皮雞欸 刷新三觀）

結論 店員態度差 餐點會出錯 而且會把你沒吃完的東西直接收走 蚵仔超髒根本沒洗過的感覺 甚至殼上面有蟲

（附上的是甕仔雞：）
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",1
"兒啊新鮮、熱炒類都好吃
脆皮雞、胡椒蝦很優秀
脆皮肥腸裡面居然有炸芋頭絲👍
環境乾淨衛生 ，老闆娘很客氣
不會趕客人
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800
餐點：5
服務：5
氣氛：5
建議的餐點
炸肥腸, 半隻雞
停車位
很多停車位
附近的停車場
免費停車場",5
"好吃😋老闆不怕客人烤！
而且很新鮮！又大顆！
200塊吃到飽真的很推
老闆說不太會用網路的東西請大家來可以幫忙評論一下
人多的時候稍微耐心等候！熱炒餐廳好像只有一位廚師要稍等

有停車場！超推
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
炸肥腸, 蛤蠣湯",5
"嗨大家好 吃貨我又來分享很長篇的心得了，夏天夜晚就是要找三五好友喝個冰涼啤酒配熱炒🍺

想推薦這家誤打誤撞吃到的美味好店，多訪之後覺得應該推薦一下，用心煮的好店不能只有我吃到～

⚠️整體鑊氣有夠足（熱炒鑊氣真的太重要了）這家包含炒青菜的地瓜葉也是極香，調味很剛好不會死鹹，整體吃得超舒服。

「脆皮豬腳 」
要有耐心等老闆慢慢做的大菜，每次來必點。

份量大請小心，要補蛋白質的健身者或是無肉不歡的肉食動物推薦你吃。

女性朋友要補膠原蛋白的更是要點一下，外皮微脆膠質滿滿會黏嘴巴，不管你是喜歡豬腳圈帶骨還是腿庫那種肉多的口感，這道菜都有。

㊙️單純配店家附的胡椒鹽吃到後面會比較膩，個人的推薦吃法給你們參考：

1.圖右下是店家會招待每位客人的蘿蔔，店家自己醃的，那個汁跟蘿蔔留好等豬腳上菜配，配豬腳微微酸甜，爽脆蘿蔔搭起來超清爽。

2.拿炒蛤蠣剩下的湯汁沾豬腳，醬汁九層塔跟蒜香的清香超搭。

炒蛤蠣（鑊氣+九層塔+蒜）真的炸裂鮮香，我沒拍這道菜是因為上菜就被我光速吃完了來不及拍，蛤蠣很甜，九層塔醬汁微微微微辣超級讚，配啤酒真的人間享受。

「臭豆腐」

喜歡吃湯臭豆腐的必須點！花椒、乾辣椒、豆瓣、蔥蒜比例一口下去非常驚喜！而且很香！

老闆用料跟調味那個湯汁真的太強，豆腐本身是軟軟綿密多孔的口感，豆腐本身不鹹帶的是豆香味跟臭豆腐的臭臭香香，跟濃味的的臭豆腐醬汁一起吃真的超舒服～吃一吃會很想加點白飯來拌的那種。

我也很喜歡深坑王水成的臭豆腐麻辣湯底，但是王水成的吃完都會口渴到爆炸，老闆的湯底也是濃味派，但又香又臭臭吃完不會爆口渴，是目前在雲林吃過湯系列臭豆腐覺得很推的～

「羊肉炒飯」
炒飯蠻香鑊氣足，粒粒分明整體是偏油一點的炒飯，用料大方實在，但份量一樣要小心跟老闆娘確認一下，不然會太飽吃不下其他菜。

聲明一下這些食記都不是業配，我跟老闆店家也沒有任何關係，沒拿好處，我純粹愛吃。
並且都是本人多訪之後覺得可以推一下的店（疫情店家都不容易，希望小小分享可以讓好吃的店讓更多人知道）",5
"老闆娘跟員工都很親切
蚵仔很新鮮很大顆 熱炒好吃～推推👍
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
建議的餐點
蔥爆牛肉",5
"衝著一人200烤蚵吃到飽來的～～

果然沒有失望

各各肥美飽滿～～～

熱炒也是非常好吃的😋😋😋",5
"▫️羊肉爐（大）$900
羊肉爐有分成小份跟大份兩種
這次我們點的是大份 羊肉給得還不少
比較特別的是 桌上不是使用一般瓦斯爐
而是使用炭火來加熱 更有一種古早味的氛圍
羊肉爐湯頭喝起來相當清甜
是使用十幾種中藥熬煮出來的
燉湯喝著喝著身體都暖活起來了～

額外單點羊肉爐配料（價格皆為一份$40）：
茼蒿、金針菇、秀珍菇、鴨肉丸、凍豆腐、鴨血、米血

▫️白斬鵝1/4隻$350
這道推薦來這必點
你沒看錯 羊肉爐的店也有賣鵝肉！！！
原本以為1/4的鵝肉份量應該不多
但其實鵝很大隻 這個份量4人吃也沒問題
鵝肉肉質超級軟嫩且不乾柴
搭配上店家獨門自製的醬料 超級可以
為了這個鵝肉我可以來N次😍

▫️麻油羊胇$300
冷冷的天氣來個麻油料理也超暖胃
羊胇其實就是羊睪丸 口感很嫩也沒有腥味
用老薑跟麻油料理 吃了以後身體都暖活起來了

▫️鹽酥溪蝦$150
這道所使用的是奧萬大水庫溪蝦
炸得酥酥脆脆越吃越順口 當成下酒菜超讚
溪蝦吃得出來非常新鮮 這道也推推👍

▫️炒羊肉$150
使用芥蘭跟羊肉下去一起炒
芥蘭吃起來很清脆 羊肉肉質鮮嫩不會柴

▫️手工麵線$40
麵線是選用來自溪口的手工麵線
有別於一般的麵線
這吃起來特別Q 口感非常好😋",5
快炒上菜速度較慢，200烤蚵仔還行，建議吃飽正餐再來。,3
"老闆娘人不錯，蚵很大很飽滿，火也很大
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
停車位
很多停車位
附近的停車場
免費停車場",5
