comment,rating
"當歸味道非常入味
味道不會很鹹
湯頭鮮甜
好喝到老公直接把湯喝光光
價格非常便宜一碗50而已
麵疙瘩好吃 非常Q
菜捲的內餡是高麗菜
很爽口
旁邊就有停車場
推薦：當歸湯麵
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
藥膳麵疙瘩",5
"網路查才知道德興市場有賣素食
（在管理室外）進市場走到底
今天點當歸陽春、菜捲
當歸香甜、菜捲包高麗菜（吃起來甜脆）
絕對會再造訪
下次吃看看羹麵~
阿姨還旁邊現做菜捲（應該是人氣美食）
從早賣到晚，不怕吃不到
服務
內用
餐點類型
早餐
平均每人消費金額
$1-200
素食餐點
當歸湯推薦（湯頭清甜） 菜捲現做現包",5
我們從外地來參加法會，媽媽腸病毒又吃素，只能吃白粥，阿莉素食的阿姨願意幫忙煮白粥，真的非常感恩！,5
"菜市ㄚ的美味素食
在德興市場裡
從復興路進去，角落那攤就是了
這個市場很乾淨
有座位、有廁所、通風又良好
來阿莉素食外帶的人兒也很多
餐食平價又可口😍😘
有一個叫做「菜卷」的小菜
好吃又便宜！💋
讓我衝動地想買30個回高雄
可是不行，等一下還要賞落羽松
嗯～先跟親愛的說一聲
你來這裡時，一定要吃吃看👍

齁～還有還有
袋裝的鹽酥花生仁，店家自己焙炒的
粒粒碩大飽滿，尾段有著粉紅色
我覺得它就是玫瑰花生
口感香醇酥脆而不硬
好吃極了💘",5
"中午一點多，周邊素食差不多都要休息了，找到市場內這間素食，旁邊也有收費停車場。點了紅燒麵疙瘩、陽春乾麵、菜捲、炸豆包，餐點意外的好吃，紅燒湯頭很棒，家人都說好吃，而且也很平價。只是燈光不夠明亮，中午吃麵很熱，沒冷氣，沒強力風扇，吊扇吹著微風，邊吃邊擦汗。等改日天氣轉涼再來造訪。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：4
建議的餐點
菜捲 紅燒湯",4
"1. 食物真的好吃（料多實在）
2. 環境乾淨整齊（看得到食材製作、被烹煮、包裝）
3. 員工無敵親切（特別謝謝裡面的一位大姐，當天忘了帶錢包，姐姐很阿沙力直接說下次來再補就好，真的很感謝您🙏）
服務
外帶
餐點類型
早午餐
平均每人消費金額
$1-200",5
"155元吃不完打包
東西好吃
服務
內用
餐點類型
早餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
小菜 自由點",5
"外帶排骨酥麵，回來一看只有湯麵，排骨在哪？上回點豆腐湯結果沒有豆腐？老闆娘現在只負責算錢，連餐點核對都懶了，真的覺得很誇張！
餐點：3
服務：1
氣氛：1",2
"很感謝 漂亮姐姐老闆娘，因為趕著要回家端飯拜拜，漂亮姐姐老闆娘，馬上急速幫我處理，內心真的很感謝，讓我有趕上.謝謝漂亮姐姐老闆娘.
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"佛心來著
一碗麵疙瘩還是五十元，沒漲價
112.11.16更新
再度光臨，雖沒漲價，但量變少了
也難為老闆娘了",5
"麵攤位於在市場的角落，很好找！
麵及滷味都很好吃～
價格不高，推推o(^▽^)o
服務
內用
平均每人消費金額
$1-200",5
"不錯吃的素食餐飲，多樣的選擇，生意超好的.
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4",5
"以素食來說不錯的小吃

炸菜卷豆皮藥膳湯",5
"湯麵、排骨麵湯頭偏油，
滷味好吃，價格便宜",4
"好好吃的菜捲在這裡
餐點：5
服務：5
氣氛：3",5
好吃,5
"餐點好吃 經濟實惠 建議外帶
服務
內用
餐點類型
午餐
餐點：5
服務：3
氣氛：1",5
虎尾第一無敵好吃，我想跟老板娘拜師學藝. 陽春麵面條比別地的意面好吃，湯頭香甜不油，豆包外酥內軟，簡直完美的素食店，求求老板娘成為虎尾唯一最重視衛生切菜不找錢 找錢不切菜一流料理,5
"中規中矩素食店（隔壁攤素蚵仔煎好吃）
餐點：5
服務：5
氣氛：5",5
"衛生習慣很差！同一個人找錢、切小菜沒有戴手套，直接用手抓小菜放進外帶的袋子裡面，有夠噁心的⋯尤其現在是疫情期間⋯而且去買的時間也不是尖峰時間，不是很多人⋯買回去的小菜連吃都不敢吃⋯
服務
外帶
餐點類型
晚餐",1
服務好 親切 藥膳湯面好吃😋 …,5
"素丸湯很厲害诶
氣氛：5",5
老闆態度超差，誤判客人沒付錢，事後也沒道歉！,1
"生意沒有到爆好的程度
但是排隊的人絡繹不絕、沒有斷過

我有同事超愛、一直推薦我買來吃吃看

我覺得是還不錯吃
但還沒到驚艷的程度

麻醬麵可以加辣
據同事說會更好吃

但是老闆忘了加辣
所以我不確定加辣後口感如何

不過據說時常忘記加辣也是老闆的特徵之一
想吃辣的可能要多注意提醒老闆一下

整體來說
價格不貴，算是素食用餐不錯的選擇",4
"跟老闆娘阿莉認識10多年了，從她開始賣素食很常去吃，紅燒麵，菜捲，燙青菜便宜好吃😋😋 …
餐點：5",5
紅燒麵疙瘩本來會給五星評價，但因為我們是外帶，老闆娘居然要用塑膠袋裝我們熱的麵。要求換紙盒後，在收費時才發現要多收5元。5元雖然是小錢，但卻沒事先告知，很難給到五星。反倒隔壁的素蚵仔煎比較推薦,3
"餐點都很可以
就是老闆娘很健忘
內用要常常提醒
要不然會忘記
服務
內用
餐點類型
早餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4
建議的餐點",5
"我晚餐已經連續一個月吃這家了
我總是點一碗大的素魯飯跟一碗紫菜湯
在素魯淋上她們的辣椒醬油
除了好吃之外 真的有夠香
吃完再把紫菜湯喝完
實在是舒服到不行
而且便宜又吃得飽
這樣只要45
昨晚因為素魯賣完了
改點大的乾油麵(菜單上只有小的30 大的40)
想說偶爾換換胃口也不錯
結果上來真的份量很足夠
比大素魯還多 又好吃(我還是加了辣椒醬油)
朋友點的羹也很多料
我已經拉著五位朋友入教了
大家都說好吃
歡迎各位來試試
但麻煩留位置給我
感恩",5
"點了一碗紅燒麵疙瘩，份量十足。麵疙瘩有嚼勁，紅燒湯清甜爽口，個人非常喜歡。
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200",5
"大概忙吧!服務氣氛都待加強、餐點不錯吃。
餐點：4
服務：4
氣氛：3",4
Cp值高，吃得蠻飽的，菜卷不錯吃,5
菜捲新鮮好吃,5
"餐點平價好吃，營業時間長，店家較忙碌
服務
外帶
餐點類型
早餐
平均每人消費金額
$1-200
餐點：4
服務：2
氣氛：2
素食餐點
偏宗教素",4
"店員很漂亮，還有美女老闆娘🥰

幾爸昏💯
餐點：5
服務：5
氣氛：5",5
好吃的，價格親民,5
很喜歡這間的素食麵（料多實在）跟菜卷好吃。,4
"正在享用中
美味價廉
真是出外人ㄟ好所在
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200",5
風味不錯，但不習慣麵疙瘩裡面有些微白色。,4
喜歡素食麻醬麵的朋友不容錯過，疙瘩口味多也不錯，但我較愛新生素食的。,5
"好吃
餐點：5
服務：5
氣氛：5",5
非常棒的素食麵攤，乾麵，麵疙瘩等都不錯，推薦必點-高麗菜捲，非常好吃！,5
"很適合熱愛古早味
服務
外帶
餐點類型
早午餐
平均每人消費金額
$1-200
建議的餐點",3
"低中價位，不錯吃！
餐點：4
服務：4
氣氛：4",4
好吃，經濟實惠，平價的好食材，讚👍 …,5
乾麵，炒麵好吃，藥膳湯好喝，老闆娘親切,5
"好好吃的素食料理
餐點：5
服務：5
氣氛：3",5
"好吃
餐點：5
服務：5
氣氛：5",5
大家說好吃我覺得很普通阿,3
讚,5
素食壽司好吃 素魯飯加醬油辣很下飯👍🏻👍🏻 …,5
"超好吃的
服務
外帶
餐點類型
早午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5",5
"要畫單  要畫單  要畫單  很重要要寫三次
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
建議的餐點",4
"菜卷超好吃！
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5",5
好停車，店家的餐點好吃又不貴,4
麵疙瘩好吃，用餐時間人多要等。,4
"客人多，要等，要填單, 還會做錯，工作人員臉色不太好",2
好吃，讚！,5
就老婆喜歡吃高麗菜捲,3
"平價又好吃的素食店
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
素食餐點
用心經營的素食店",5
好吃、不貴，少見的素食麵疙瘩,5
麵疙瘩超好吃❤️,5
百頁、菜捲都好吃！,5
乾淨，快速，親切，便宜。,5
CP值高老闆親切,5
好吃,5
好吃的藥膳麵疙瘩,5
好吃喔,5
菜捲好吃,3
"非常好吃！
服務
外帶
餐點類型
早餐
平均每人消費金額
$1-200",5
老闆娘很用心,5
便宜又好吃,5
麵疙瘩好吃,4
"原本打電話過去，跟我說可以外送，並叫我17：00多打電話訂餐，結果跟我說無法外送
！！！！！！！！！！！！！！！！！！！！！！！！！!！！！！！！！！！！！！!！！！！！！！",1
"好吃👍
服務
內用
餐點類型
其他
平均每人消費金額
$1-200
餐點：5
建議的餐點
麻醬麵",5
好吃清淡,4
菜捲好吃,4
不錯,4
聯合國,5
好吃。,5
,5
美味的炒蔬菜捲和番茄湯麵,4
,4
,5
,4
,2
,5
,3
,5
,5
,5
,5
,5
,4
,5
,4
,4
,5
,5
,4
,4
,5
,1
,5
,5
,5
,5
,3
,5
,5
,5
,3
,5
,5
,5
,4
,5
,4
,3
,5
,4
,4
,4
,5
,5
,4
,5
,5
,5
,5
,4
,5
,5
,5
,4
,3
,5
,5
,4
,4
,5
,3
,3
,5
,5
,4
,5
,5
,4
,5
,3
