comment,rating
"好吃到暈倒。讓我改變對滷肉飯的看法👍🏻。配菜也做的超好吃不馬虎。請繼續保持～
服務
外帶
餐點：5
服務：5
氣氛：5",5
很普通的滷肉飯還不到神級般的好吃，魯豆腐也沒入味，赤肉湯是清湯我可以接受，菜脯蛋的菜脯也沒什麼菜脯的味道，說神級般真的差太遠，2023/0126,3
"剛好看到就進去吃的店，喜歡鹹甜口的我是覺得很好吃，但有些有人覺得鵝油拌飯太甜，所以就各自斟酌囉！
白菜滷很入味很好吃，但菜圃蛋就有點吃不到菜圃＠＠
滷味給很多，青菜也蠻大份的！
世間誤打誤撞但還不賴的小吃哦！
老闆老闆娘的態度也都很親切！",5
"滷肉飯肉大塊好吃又滿足，豆腐味噌湯好喝，不會太死鹹，裡面位置不多，內用較辛苦，第一次進去老闆招呼態度很讓我印象深刻，服務真的好，我還會再光顧的。
餐點：5
服務：5
氣氛：5",5
老闆親切，滷肉飯不錯，豬腳滷的不夠軟，稍微有點硬較難咬，但味道不錯，配菜桂竹筍、蔥蛋、嫩豆腐、滷白菜，味道都很棒，貢丸湯普通，機車好停車，重新裝潢過變得比較明亮，空間有限內用座位較少，內用環境，地上、桌子、菜單都蠻油的，多多改善。,4
"滷汁跟飯不錯
桂竹筍沒入味而且有一塊根本咬不動
滷豆腐裡面都是白的，也沒入味
滷豬腳韌到不行，年紀大一點的人很可能咬不動
菜脯蛋以散蛋來說還不錯，以菜脯蛋來說的話，菜脯幾乎吃不到
餐點：3
服務：4
氣氛：3",3
"老闆夫婦十分熱情親切，餐點便宜又好吃。
滷肉飯+赤肉湯好吃～
內用座位有限，所以當天自備餐盒外帶回家享用～=）
服務
外帶
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點",5
"來虎尾出差巧遇古早味小店，口味樸實，鵝油拌飯很不錯，平凡的美味，店家忙碌服務卻一點都不馬虎，人情味十足的好店家。
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：4
服務：5
氣氛：5",5
"好吃的手切滷肉飯便當、老闆娘很客氣！大大推薦
餐點：5
服務：5
氣氛：5",5
"滷肉飯的滷肉是大塊的，和傳統的不一樣
之前點過便當，菜色選擇多而且不是簡便隨意弄的菜色，感覺得出店家的用心
少數菜色比較鹹，例如海帶、蛋花湯（個人覺得偏鹹了點）
P.s中午沒有營業",4
