comment,rating
"座位寬敞，空間乾淨好停車，當天點了一個白醬燉飯和煎魚套餐
煎魚好吃可以選擇配白飯或麵包
燉飯之前點過，品質不太穩定，第一次很好吃，這次卻沒什麼調味，還跟服務員要了胡椒鹽來用
沙拉濃湯不錯，甜點的布朗尼，巧克力很多挺濃郁也挺甜
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：4
服務：5
氣氛：5",4
"主餐：乾燒蝦仁燉飯
湯品：牛肉羅宋湯
前菜：蔬菜佐藍紋起司醬
甜點：焦糖布丁佐當季水果
飲品：柳橙汁
上餐速度非常快速👍，焦糖布丁很讚，其他普普

二訪雲品-父親節聚餐
主餐：香烤法式芥末醬雞腿(附白飯)
湯品：蘑菇雞濃湯
前菜：鹹豬肉沙拉佐客家金桔醬
甜點：焦糖布丁佐當季水果
飲品：熱紅茶（可以選甜度）
主餐雞腿很嫩，但沒吃出芥末在哪裡欸？（求解）前菜金桔醬好吃推推😳焦糖布丁依舊甜裡帶苦很讚❤
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：4
服務：5
氣氛：5
建議的餐點
焦糖布丁
停車位
很多停車位
附近的停車場
免費路邊停車",4
"除了田螺上面的香料多到有點鹹之外
從高鐵過來吃飯停車很方便

上菜快速
牛肉很嫩
燉飯好吃😋
蝦仁滿滿
還可以免費續麵包🥯

酥皮濃湯👍👍
焦糖布丁又濃又香
自己做的蝦餅好吃
餐點：4
服務：5
氣氛：4",5
"空間真的非常寬敞 而且到訪人數也不多 所以用餐起來很自在舒服 室內由於採高所以視覺上感覺很不錯
餐點的部分 最推薦牛排 有驚艷到他的肉質跟嫩度 沙拉也不錯 但燉飯跟義大利麵強烈建議可以略過 稍微比較稀沒有入味 所以一律建議點牛排 前菜的烤餅也很不錯",4
"1. 空間舒適，也有包廂會議室（有低消）小家庭或團體聚餐好方便！
2. 餐點好吃，湯品、前菜、麵包、主菜、甜點、飲料都好吃好喝！
（大推會辣的泰式豬肋排、熱熱的牛肉羅宋湯、炸生蠔、水蜜桃冰茶、水果茶、濃湯、抹茶冰淇淋大福）
3. 服務好，餐具乾淨，上菜速度剛好！
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：4
氣氛：5
建議的餐點
主菜
停車位
很多停車位
附近的停車場
免費停車場",5
"在這個什麼都漲的時代
商業午餐還是頗有競爭力

墨西哥牛肉醬餅(含薯條) 商業午餐 270元+10%服務費 = 297元

商業午餐包含麵包+例湯+主餐+飲料
就算是商業午餐，例湯也絲毫不含糊，內含滿滿的雞肉塊的蘑菇雞濃湯(應該是)
飲料選紅茶，還可以選甜度冰塊，服務很親切，用餐環境很舒適

2023/7/6 四
餐點：5
服務：5
氣氛：5",5
"一份義大利麵加服務費大約三百元
沒有飲料跟湯
價位算小小高
餐點還行
餐廳很寬敞
用餐環境不錯
挺乾淨的",3
"前菜開始便是驚艷且份量適中，環境氣氛佳，用餐舒適，值得回味。（月亮蝦餅超讚

建議：
1. 服務生態度良好，但餐點擺放速度過急，可能會有大力敲擊桌面的聲響及誤會。
服務
內用
餐點類型
晚餐
平均每人消費金額
$800-1,000
餐點：4
服務：4
氣氛：5
建議的餐點
月亮蝦餅, 主菜, 前菜, 冰淇淋鬆餅, 焦糖布丁
停車位
很多停車位",4
"交通部分：附近開車停放很方便！若人數眾多建議先行訂位！位於虎尾高鐵站附近 但仍需要交通工具！難以步行前往

餐點部分：餐點中規中矩！上餐速度快！服務人員也會隨時觀察有無須要協助 泰式檸檬魚酸度夠！米飯粒粒分明！飯後甜點🍮中規中矩

環境部分：環境清幽整潔 裝潢很漂亮！適合家庭聚餐及親朋好友相聚的好地方！",4
"特地南下參加喜宴，餐點精緻特別，別有一番風味。
服務
內用
餐點類型
午餐
平均每人消費金額
超過 $2,000
餐點：4
服務：4
氣氛：5
建議的餐點
主菜",4
"牛排點五分熟吃起來像過熟，刀切不下也嚼不爛，筋有夠多都沒處理過，我知道假日太忙不過這太誇張了，好險湯品、前菜和甜點是好吃的，不然根本是花800多找罪受
服務
內用
餐點類型
午餐
平均每人消費金額
$800-1,000
餐點：1
服務：5
氣氛：2",1
"寬敞又乾淨的用餐環境，很適合一家大小一同用餐的餐廳。吃得出來用料很實在也很道地，料很足夠，商業午餐相當划算！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400",5
"上餐速度有做過調整，這次用餐的體驗較上次好唷
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
打發時間下午茶還行，炸物類可稍再加強，鬆餅口感不錯，月亮蝦餅好吃，咖啡好喝，冰水果茶粉甜，跟服務員要了一杯冰塊加入，用餐環境寬敞，適合聊天聚會的場所。,5
"朋友生日 一起嘗試沒吃過的餐廳
當時適逢菜單更換
主餐點了印度咖哩蝦仁、蒙特婁烤雞腿
麵包好吃搭配加價的焗烤香蒜田螺
抹在麵包上可以吃上好幾個
濃湯濃郁是我愛的口味
主餐的部分調味較不合胃口
期間服務人員上飲料就灑在桌子上...
另一位較有經驗的雖常常在注意桌面清潔
但頻率太頻繁 有時甚至未用餐完就急切詢問
常常打斷聊天的氣氛…",4
"坐落在台大醫院虎尾院區附近的餐廳, 與家人路過臨時起意的新發現, 裝潢設計用心, 環境清潔食物美味, 現場服務人員親切, 這次用餐經驗著實不錯, 家人也都滿意

附近似乎屬於新開發區, 老虎尾人應該不常會來這一帶吃飯, 即使整體用餐氛圍優質, 但價位太都市消費水準 (私下猜測或許餐廳瞄準的客層是虎尾幫吧)",5
"💖中午岳母請我們在雲品餐廳吃飯，這家餐廳環境整潔，屋內採挑高設計，所以沒有壓迫感，餐點精緻美味，消費跟台北差不多，人均在500元上下。

💖#跟著小馬遊澎湖
💖#跟著小馬去旅遊
💖#鼎然建設
💖#雲品餐廳
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600",5
"日式炸豆腐很好吃
南瓜濃湯很濃郁
甜點焦糖布丁很讚

服務態度不錯 算好停車～

義大利麵是粗麵條 個人不太喜歡 覺得吃起來蠻軟爛的
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
建議的餐點
前菜, 焦糖布丁",4
"過年吃個牛排
板腱牛排筋處理的很好 肉味香
佐醬 綠胡椒醬 的芳香沒有品嚐到！
建議佐醬 可供選擇 如紅酒 海鹽之類的
飯後水果的量 可在多點
期待之後在去用餐 能有改變
服務
內用
餐點類型
午餐
平均每人消費金額
$600-800
餐點：5
服務：5
氣氛：5",5
"寬敞明亮的用餐空間讓人印象深刻，高鐵區域為新開發的地段，附近推了相當多的建案，但餐廳周遭路邊停放車輛相當便利，仍算是好停車

套餐可以分開成為單點，兩人到訪的話，可以一份套餐一份單點，費用就會低一些，如果不是飢腸轆轆的話，絕對可以吃飽（每位低銷是100元）

可以體會出餐廳定位在中高價位，餐點也走精緻路線，舉凡擺盤、食材、桌邊服務，力求讓消費者感到物有所值！這方面真的可以看出經營者的用心！

平心而論，在消費水準較為不如都會區的雲林，這樣的定價有點尷尬，建議可以透過平台如臉書、IG等，結合網路的宣傳力量廣增知名度。更建議在店內設計一些可以拍攝留影的小區，擺設可愛裝飾或是植物、展品等，透過燈光設計，讓到訪的食客樂於拍攝美美的照片上傳動態或是平台，只要口碑打開，相信業主的用心一定會有更好的反饋",5
"食物好吃。小事項建議：既然是西式套餐，最好是等客人用完一道菜後再上下一道，感受上有落差。
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",4
"第一次到訪，非常好停車，室內空間很寬闊，桌與桌都有空桌和隔板。
今天點了牛排和德國豬腳為主餐，加點一份蝦餅；從前菜的菠菜烘蛋有驚訝一下，有派皮的感覺，不會鬆軟或是柴柴的，蔬菜是有機蔬菜，簡單卻不簡單的前菜，德國豬腳整體來說沒有丟分，皮有脆，搭配的酸菜也好吃不夠可以添加。要推一下牛排！竟然有加上炭燒的香味（我不確定）很好吃，味道很有層次，是一道下次還會再點的主菜，旁邊的櫛瓜有稍微炸過，好吃，唯一的建議就是牛排是附薯條，如果可以二選一，給客人選擇要不要薯條，像是可以選德國豬腳附的馬鈴薯沙拉，那就更好了。最後的甜品，白木耳香草冰淇淋和焦糖布丁都很不錯，我喜歡白木耳，如果可以單點白木耳當甜點，就更棒了。整體來說，今天的用餐體驗很好👍",5
應該是一個完美無瑕的吃飯好地方，空間明亮也寬敞 甜點，開胃菜，主餐都很到位，月亮蝦餅也是不錯吃。要趁熱吃 值得再來,5
"昨天去用餐的，覺得服務品質有待加強，扣一顆星星
服務生帶位後轉身就離開，我以為是要去拿菜單，結果瞄了一下帶位的那個人沒有要送菜單的意思，我就看一下隔壁，是空位沒客人但已經放好菜單，然後其他服務生在我們身後送餐來來去去，也沒有要送菜單的意思，於是我們就舉手主動要菜單，菜單送來沒幾分鐘就立刻來問要點什麼，我真是無言

再來，就是檸檬水也是我們主動開口才送上來的，當然有可能這家店是有需求才會送水，那我也不好抱怨什麼，但是可以主動問一下需不需要水吧？？

餐點部分，我點的雞腿飯（全名不記得）
雞腿肉嫩好吃，點綴的菜也好吃，但米飯乾硬不好吃，我也不覺得告知店家後重送的米飯會變好吃😅都同一鍋飯不是

朋友點的蝦燉飯、松露義大利麵
燉飯是甜的，真是點對了！小朋友超級愛！吃很多👍🏻義大利麵的部分，是粗麵我不愛（看評價一開始就知道是粗的所以沒有抱怨的意思），但調味很很很不錯，我喜歡，如果搭配正常版的麵體就完美了

噢對了！甜點布丁和紅茶很優秀👍🏻
下次若再來虎尾會二訪，希望服務可以改善，然後許願義大利麵可以選麵
餐點：4
服務：2
氣氛：4",4
"空間寬廣舒適，氣氛好，裝潢氣派有品味。餐點具水準，月亮蝦餅和工夫鴨肉更是造成全家搶食。
服務品質個人覺得讓不低的訂價完全值回票價，整個用餐經驗都很開心愉快，絕對會再訪的餐廳。",5
"超好吃，印度烤雞超推，處理的很好，布丁有中上的等級，飲料套餐推柳橙汁，麵包很好吃，服務不錯，湯頭很鮮，完美顧慮到了色香味俱全。有機會會再來
裡面有免費wifi",4
"很好的用餐經驗，
大空間開闊明亮，餐點與價位配得上，
人員服務很貼心，會給予適當的建議。
今天的海藻沙拉與甜點，口味相當不錯。

吃完好心情，為下午縣政府的演講充飽電，
謝謝你們的用心準備。
服務
內用
餐點類型
午餐",5
環境很棒 餐點超級好吃的  CP值很高,5
"這次是第二次用餐，覺得餐點比上一次好吃很多，有改善。母親很喜歡月亮蝦餅，一直稱讚~
這次點了泰式檸檬豬肋排、紅咖哩蝦仁、月亮蝦餅、墨西哥牛肉醬夾餅，都蠻好吃，但是都太鹹了......連烤田螺都太鹹。
餐點：4
服務：5
氣氛：5",4
"餐點好吃，環境乾淨整潔

餐點方面田螺覺得真的是超讚
印度咖喱也很夠味只是肉的部分好像有點少，都是小碎肉居多..這部分有點失望，但味道還算是不錯的，很下飯
冰淇淋方面也是好吃，裡面還有果肉

值得再回顧",5
"麵包口感紮實，義大利麵Q彈爽口類似五行套餐，焗烤飯加了很多豆類 的五行套餐，鬆餅加蜂糖好吃，紅茶不加糖更好喝解油膩。
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"雲品食坊超讚👍星星根本不夠啦！⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️⭐️

交通方便！距離雲林高鐵站很近
開車也是下交流道沒多遠就到了
而且提供免費停車格

店面寬敞
座位不擁擠
不會和隔壁桌距離有壓迫感
整體很舒適
裝潢也很用心
餐點更不用說了
套餐價格經濟實惠
這樣的套餐等級在北部根本吃不到
湯是主廚精心熬出來的
醬也是自製
食材用料安心、用心
真的只要吃一次就會上癮

麵包、白飯還可以續
真的太佛心了！❤️❤️❤️

雞腿排肉質鮮嫩對比
口感極佳！真的很好吃😋

銀耳湯也很濃郁，每一口都吃得到綿密的白木耳
布蕾也比我想像中還要不甜！超喜歡的

洗手間也很乾淨、明亮

還有沙發區（但忘了拍）

高品質的享受
高cp值的餐點
優質的環境
而且還不收服務費！

菜單不定時更新

大家到雲林虎尾鎮
千萬不要錯過👍👍👍",5
麵包很普通(兩片不想吃完的普通)可以續，濃湯使用一般湯碗，濃湯前菜覺的一般，鴨腿排很軟，很適合長輩，魚排有點鹹配飯可以，雞腿配菜有點辣。,3
"氛圍很棒，適合跟家人朋友聚會聊天
服務
內用
餐點類型
其他
平均每人消費金額
$200-400",5
"一顆星都嫌多。
服務完全沒有品質可言，人員口條及服務態度可以再加強訓練。
今天點的是菲力牛，5分熟7oz，800元。但一切開是白色，馬上詢問是否為5分熟？
照片中的顏色是比現場紅...
店員：是5分熟（也沒有要詢問廚房的意思）
家人點的7分熟直接就是全熟帶點乾的口感。
切開後完全沒有牛的紋路或油花，就是一絲一絲的感覺，入口後也沒有牛味，卻是一股不新鮮的味道...
幾乎每個人都只吃一到兩口。
餐中有反應給服務人員牛肉生熟度問題，進去廚房後，詢問是否需要更換...當下我們也沒有心情再吃，也不是想要再要一份餐點，便拒絕。
餐後服務生完全沒有沒有詢問為何剩下這麼多的餐點，難道貴店不在乎客人用餐感受或是自己餐點的品質嗎？
結帳人員也是完全沒有詢問今天餐點適不適合？有沒有吃飽...？
主動反應給結帳人員今天的用餐感受，
我：牛排吃起來像組合肉，而且味道不新鮮，生熟度也不對
這時結帳人員才回覆，
👄：我們絕對不是組合肉，牛味是因為牛肉是澳洲牛，吃的都是草飼料...剛剛有請廚房人員試吃，的確有比較熟的狀況...（所以你們自己知道還要等顧客反應嗎？）
當下人員也有針對生熟度問題回應我們：不好意思，今天真的「客人比較多」、「廚房又有人請假，人手不足的情況」
我：點完餐服務人員有告知今天人數較多，餐點可能會比較慢，我們當下也告知沒關係我們可以等，但我們不希望是這樣的品質...
（餐廳人手不足，難道就可以犧牲用餐者的品質嗎？當下真的很想跟他說，你們人手不足真的跟顧客沒有關係...不能這樣推託吧...但也不想耽誤繁忙的餐廳服務，告知他們也只是希望他們可以多加改善...）
離開前，餐廳衝出來說要送馬卡龍...但也有直接拒絕，馬上要開車離開。雖然他們還是急匆匆的送過來...
只是想還原一下當時情況，但是這樣的品質我們實在不敢恭維了。
雖然不是很貴的餐點，但起碼要拿出相對的品質...
希望可以多多改善",1
"老闆超用心！主廚的技術、食材品質、感動的服務、停車位、室外空間、咖啡 全都六星級！每個月都會來！ (一年多前與幾個月之前傳的照片不知為何消失了，只好再補傳近期拍的。)
服務
內用
餐點類型
晚餐",5
"雲林高鐵站出發不到10分鐘路程，沒想到有一間有這樣規模的餐廳（我們30人用餐也不過佔了不到一半的位置！）

商業午餐的牛肉quesadilla很讚（不過9月下商業午餐菜單有換，只能單點囉了.....），月亮蝦餅也很讚！
服務
內用
餐點類型
午餐
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：5
建議的餐點
月亮蝦餅, 主菜",4
"牛肝菌菇濃湯配麵包超好吃😋

前菜白蘆筍的醬料超讚，拿來沾麵包也很可以，但纖維很難切斷不太好入口

主菜奶油燉飯的松露油超香，白醬沒有做的很濃所以不會很膩，整碗吃完剛好飽

甜點焦糖布丁不太甜配香草醬就很剛好

水果茶本來以為都是罐頭水果，結果裡面除了水蜜桃是罐頭以外其他都是用新鮮水果熬的誒，有點厲害👍",5
"空間大舒服，口味不錯
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
商業午餐附的麵包 例湯 飲料
停車位
很多停車位
附近的停車場
免費停車場, 免費路邊停車",5
