comment,rating
"白飯一碗$10
🚩黃金豆腐燒$180 👍👍👍👍👍
酥炸雞蛋豆腐加上鹹蛋黃，超香

🚩金沙中卷$250 👍👍👍👍👍
炸中卷加上鹹蛋黃，份量也夠，今日最愛

🚩五更腸旺$250👍👍👍👍
下飯必點

🚩宮保牛肉$220👍👍👍
這個會辣哦

🚩鐵板松阪豬$280😢
豬肉是嫩，但是調味方式可惜了，家人一致不喜歡

🚩泰式椒麻雞$180👍👍👍
無骨雞塊加上特製椒麻醬

🚩客家小炒$200👍👍👍

🚩開陽白菜$150👍

🚩蚵仔湯$150👍👍👍",5
"好吃！ 喜歡五更腸旺跟開陽白菜！老闆也很熱情，希望有機會可以再嚐其他餐點，如果三杯雞的雞肉可以再多汁軟嫩就更棒了 🤤
餐點類型
晚餐
平均每人消費金額
$400-600",4
"我最喜歡金沙小捲
鳳梨蝦球的蝦超大，好吃但有點太鹹了
其他的菜就都ok
有停車場大概可以停6台吧
不過，如果其他客人先吃完要離開就必須去移車

建議白飯要免費供應
可以吃完一碗再拿，不要浪費就好
因為價位也不算太便宜
服務
內用",4
位於老街上的家庭式餐館，菜色多樣，價位合宜，有停車場，環境乾淨，用餐方便，適合小家庭、三五好友聚餐吃飯的好地方，。,4
"菜色種類很多 價格算蠻平價的 這裡也附有停車場 你適合全家大小過來這邊吃飯 也是與朋友相聚的好場所 服務也非常的親切 因為菜色很多如果過來你不知道怎麼選擇的話我可以由店家推薦就是整組的套餐CP值還蠻高的
口味上算是還蠻不錯的 味道適中 菜色的變化度也算蠻足夠的 外地人如果到虎尾來是一個可以品嚐的 吃飯場所.",5
好吃，花菜乾，金沙蝦球，糖醋排骨，黃金豆腐，麻婆豆腐魚．．都下飯,4
客家小炒裡的芹菜有點老不怎麼好咀嚼 且裡頭的魷魚乾好像也沒泡開吃起來有點硬 至於另兩道菜 蔥爆牛肉及苦瓜鹹蛋不錯 最後一道菜香酥豆乳雞 上頭的撒花一顆一顆硬硬的口感不酥 但是豆腐雞塊不難吃 較適合吃雞塊帶骨頭的饕客 以上點的四樣菜口味上還算不錯蠻下飯 若能在小確點的地方 再做稍加改進口感應該會更佳,3
終於來吃到親戚朋友一直推薦的五星級小館🏡，點了很多菜，沒想到居然還有那麼多我喜歡的港點❤️，環境衛生也很好，在經過介紹下沒想到掌廚的老闆居然是之前漢來的大廚，真的是五星級兼屋省錢（台語，無意間發現他們的滷肉飯是得過獎的 不是肉燥 是帶有肥肉的！還有他們的牛肉居然是台灣🇹🇼牛，太感動了～講真的唯一的缺點就是車子🚗不太好停 機車🛵到是很好停，不過好加在旁邊走一段小路有收費停車場🅿️走一下路是值得的 吃飽飯也可以動一下～老闆老闆娘人超好還招待小菜啊自己獨家滷的滷雞爪啊！超帥的老闆👨🏻‍🍳有夠大方的 馬上買了3盒原味3盒辣味的雞爪回家咬👍🏻打得這麼長的重點就是，超推薦的五星級小館！ …,5
不錯吃，也有停車場，只是偏小，港式點心部分很推薦唷！,5
"第一次來用餐，覺得張老闆人很客氣，而且接待客人一ㄧ到位，裡面的菜色非常符合我的胃口，色香味俱全，是間值得推薦的小餐館
餐點：5
服務：5
氣氛：5",5
"不愉快的點餐經驗～
東西不錯吃，但點餐經驗很差，熊貓上店家顯示5點開始營業也開放預訂，下午3點多就提早預訂幾樣菜色也完成付款，但店家到了5:30營業半小時後訂單過多就任意取消，如果訂單量過大，應該是直接關閉而不是接收訂單後任意取消，感覺很差，以後也不會再訂了。
餐點：3
服務：1
氣氛：1",1
"老闆及工做人員都很親切服務品質佳、價格合理、菜色多多~
服務
外帶
餐點：5
服務：5
氣氛：5
建議的餐點
蔥燒油雞, 爆炒回鍋肉, 月亮蝦餅, 蚵仔湯, 清蒸白蝦, 爆漿紅蟳, 糖醋排骨
停車位
很多停車位
附近的停車場
免費停車場",5
"價格跟臺北差不多
點了三杯雞 結果雞肉沒熟
告知後也只是加熱 沒有重做
四人用餐 前面一人夾一塊 就浪費1/3份了

還有點了港料鳳爪 吃起來臭臭的
糖醋魚片也不太好吃",2
很親民又美味的熱炒餐廳，苦茶油乾扁雞讓人驚艷，來虎尾會想再訪的餐廳,4
"料理口味不賴
上菜速度稍慢 份量較少價格偏高",3
宮保雞丁大半盤都是干辣椒，又只有幾片帶有肥皮的雞肉...更誇張的是泰式椒麻雞口味不對就算了，居然放了半碟的朝天椒，小朋友吃一口就狂流眼淚，大人也辣到完全無法吃，跟老闆反應，老闆嗆說我們這家的口味就是這樣,1
"好吃~先用電話點餐，到店之後出餐超快，料理都很下飯，金沙蝦球，糖醋排骨，蚵豆腐... 都很好吃!
餐點：5
服務：5
氣氛：5",5
出菜算蠻快的，不錯，蚵仔好大顆💯 …,5
"訂了父親節合菜15人份，份量很大，食材新鮮棒👍 …
服務
內用",5
簡單的客家小炒，風味還不錯,4
"時間：晚餐時間
菜色及口感：水準之上，每道都推。（cp質高）
價格：中等
出餐速度：人多時約等5分鐘左右。出餐速度快！
服務態度：超優。
用餐環境：因空間不大。鄰桌較近所以有點小吵雜。
停車位置：店家旁自有停車場，約可停4輛
整體而言：蠻推薦的快炒店，也有港式餐點喔！",5
"帶爺爺奶奶來用餐，店家對老人十分友善，主動幫爺爺奶奶換有椅背的椅子，還介紹較軟適合老人的菜餚。菜餚美味，價格實惠，值得再訪。
服務
內用",5
"長輩懷念的味道這趟刻意來小館
有緣自然就會圈在一起⋯用餐愉快！！",5
"點完菜都吃完了，結帳時才知道老闆會依人數“自行”調整菜的大小，然後也沒有先行告知客人，菜單上也沒有標示大份的菜是多少錢，原本預定5000左右的價錢變成7000多，非常惡劣，建議來此用餐先向老闆詢問菜的大小問題，免得在未被告知的情況下被灌單！

-----分隔線----

還敢回應是嗎？什麼叫16人點7000多不算貴可受公評？問題是你們菜單上的價錢就不是這樣啊，那請問你們所謂“春節菜單”上的價錢是標爽的嗎？會依人數配菜？配完多少錢你有先說嗎？你們菜單上有標大份的菜，價錢是多少嗎？自己事後加價還未事先告知，還敢大聲。

自帶白飯？前一天訂桌時早已告知老闆且獲得同意，現在拿出來說是怎樣？要受公評來啊，附上你們的“春節特別版菜單”，大家一起來公評啊，原本4640的價錢，加上飲料了不起5000啦，被灌到7500！然後大言不慚說可受公評！短短一天兩個客人反應店家自行灌單，還不知檢討，果然打定主意就是要欺騙消費者！

----分隔線----

還在講攜帶外食，基本上當老闆同意帶外食後，其他什麼常不常客，知不知道消費方式都是多講的！

今天的重點本來就不在過年16人吃7500貴不貴，菜有沒有吃完，而是店家在未標明大份菜價錢，且未提前告知客人的情況下自行增加帳單價錢，就算店家覺得做大份菜是“應該”的，也該標明價錢並提前告知客人，將決定權留給消費者！重點是，這家店完全覺得自己未經同意，擅自修改帳單的行徑是理所當然的！奉勸想到這家餐廳的人，三思！",1
"價位高，但是好吃，店家有附停車場，但只有三個車位
餐點：5
服務：5
氣氛：5",5
"3大2國中生3位小學生，依照菜單點餐8菜一湯結帳時竟然3510，找菜單算應該是2000多，詢問老闆，老闆說我們右上角有標示人多會自動調整，您要調整份量應該要先告知顧客，份量有變大，但您不能不告知結帳時才告訴您右上角有一小區域有告知會自動調整！菜單上也沒有標明大份價格！
若您來用餐要先和老闆確認份量，不然他會自動幫您換成大份！
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",1
"非常好吃
每道菜都好吃",5
"用餐環境乾淨明亮，老闆人不錯也會問客人的意見詢問合不合胃口
菜色也讓人看了食指大動，價錢也很公道不會太貴很平價",5
食物好吃 新鮮 價格也很適中,4
東西好吃，停車要找一下,4
"看到裡面的服務人員 還有老綁 都笑西西 看到都舒坦 東西樸實無華 不枯燥 魔鬼藏在細節裡 把一般的家常菜 編織出更高的滋味 在一般坊間餐廳吃不到 屬於有自己的特色 有機會還會光顧
平均每人消費金額
$200-400
餐點：4
服務：4
氣氛：4",4
"第一次去用餐，出餐很快～好吃～👍
服務
內用
餐點類型
晚餐
餐點：5
服務：5
氣氛：5",5
"原來高手在民間🤩😄👍，
張老闆原來是「真人不露相，露相是達人」；以後我就不用因為宴客常往飯店找，
直接到貴店光顧即可享用全台灣、各路英雄好漢的拿手菜，一人抵百位名廚～😆。

不信，去品嚐就知道了，勝過看倌以為我在天花亂墜😊。

老闆，下次我要享用客製黑胡椒鳳螺，先預告了！
另、鳳梨苦瓜雞～讚讚讚👏👏👏！
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
東西偏貴跟台北大安區的價錢有得比,1
這家店的魚很新鮮 而且價格又公道 老闆人也很親切 讚👍 …,5
"提前溝通取餐時間，這次點了五道菜外帶，餐點都有按時完成。算是平價美食，菜色克選擇性多元。
服務
外帶
餐點類型
晚餐
平均每人消費金額
$200-400",5
"虎尾裡面cp值很高的餐廳
價位跟菜的份量很符合成本

特別愛店裡的宮保類餐點
喜歡吃辣的非常推薦
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600",5
"以前和家人去都吃熱炒專業好吃,第一次點炒飯,顆粒分明,味道也很乾淨～",5
"餐點好吃，擺盤精緻
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"超推！CP值超高
每項菜都好好吃🤤
港式點心也好道地😋 …",5
"菜色豐富且有合到長輩口味，服務態度也很好。適合家庭聚餐的好所在～💕
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600",5
"人員流動都有很大的問題
甚至漏單
並且服務態度差，反應了廚房仍然不予理會
非常差的體驗。",1
"平價，服務也不錯，喜歡的家常菜做的也不錯吃 ，炒飯，苦瓜炒鹹蛋，蚵豆腐。。。
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400",5
"餐點平價好吃又不貴，遷店後環境變更好！
還增添許多新菜色跟港式點心，地點雖變但老闆對料理講究之用心依舊！
服務人員態度親切有禮，雖然忙碌臉上依然保持笑容，有帶小孩還主動詢問拿嬰兒座椅~~
（吃流沙包時因爆漿，還主動遞上面紙，揪甘心欸！！！）
根本家庭聚餐*招待朋友的好所在！
會時常光顧的，讚讚讚👍👍👍👍👍",5
"用料實在，菜色好吃，價位合理，偶有主廚私房菜，推
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600",5
"問蔥爆松阪豬能不能不要蔥
但，店員翻白眼
美乃滋太多，連台南人吃都說太甜
叫了炒高麗菜但沒有來
店員還會偷看我手機內容
只有麥仔茶跟好喝

老闆很有誠意道歉",2
"價格高就算了，重點是上的菜不符合他的價格，裝飾菜色價格都是走比較高檔的路線音樂卻給我播放電台，要營造一個餐廳的氣氛卻給我播放電台廣告？？
白飯10元  加一點肥肉和一點點滷汁多加20，你知道你滷肉飯有一半以上飯都是白的嗎？（攪拌也是一樣明顯加不夠多）
薑絲大腸。這道菜能加酸菜沒錯，但你比例會不會太多，連主角薑絲都蓋過去，你這道改名叫酸菜大腸好了
各種菜色不對味等問題評論就在網路上，你們都沒看到？你們上的菜跟網路上所說的缺點一模一樣，不用改進嗎？
幾乎所有好評都是（當地嚮導）評的，我在地人，我老實說一句。我給你2星已經很仁慈了，你有你的優點才拿到我的2星評分，但你要注重的不是你的優點而是去改進你的缺點",2
"因為港點去吃…發現其他的小炒也好吃，
最愛金莎中卷跟鳳梨蝦球（不像大部份都裹很厚的粉)還有鮮蝦腐皮卷（不會含油）
吃得很高興😙 …",5
環境乾淨明亮，老闆娘很親切，地點在老街上原本不好停車但最近新增了停車場！超方便，餐點美味cp值又高，是聚餐好地方！,5
點了糖醋魚片來的確是糖醋魚肚，又點了糖醋排骨來的是糖醋三層肉都是肥油肉少的可憐，說澎湖中卷卻吃起來爛爛的（請問這是什麼原因？）,1
"好吃超讚👍🏻 …
服務
內用",5
"餐點可以
用餐環境乾淨，明亮
防疫期間還有實名制量體溫，店員也很用心消毒。
蠻推的店家",5
"用心的料理，港式類很特別，好吃的美食
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5
停車位
很多停車位
附近的停車場
免費停車場",5
環境輕優，菜色算多樣化，客家小炒，五更腸旺，鮮蚵煎蛋，還有牛肉都非常好吃，尤其五更腸旺更是入味，讓人 允指回味,4
以前就很慢，現在更慢了，外帶店家預估25分鐘我多等30分鐘...，回家發現少一道菜，而且湯的份量根本悲劇⋯⋯,1
東西現做需要等，但是可以提前電話訂，老闆新菜苦茶油雞非常好吃，會再次想去的店。,5
