comment,rating
"與女兒點一份鐵板麵跟一份魷魚排，超飽！
麵很多，還有玉米筍跟紅蘿蔔丁
玉米濃湯、咖啡紅茶、果汁、無糖茶， … 全文",5
"真的是平價、不平凡的牛排。

昨天去吃一次後覺得還不錯….. … 全文",5
"來店第三次每次都點雙拼牛+雞
之前都是雞腿配牛排
這次雞腿的部分是自助餐那種雞腿排 … 全文",1
"在這間點了豬排加雞排雙拼，份量超乎預期的大
喝了一杯飲料和一碗濃湯再吃這份套餐就飽到無法吃冰淇淋了，CP值很高的一間店肉的口感也很不賴，雞排在切時一度以為是雞腿排，煎的外酥內嫩 好吃極了，豬排也不遑多讓給了兩片一吃就知道不是組合肉，總之這間就是狂～ 全文",5
"（內有昆蟲🪳影片請謹慎點閱）

虎尾在地人。好幾年沒來吃魔力牛，以前店面似乎圓環另一個方向，第一次來新的店面。環境裝潢變得非常年輕。門口雖然有貼信用卡的圖示，但店家只收現金，進入之前務必確認。 … 全文",1
"看起來都好好吃🤤🤤

價格超級甜甜價~ … 全文",5
"平價牛排 多樣化
外帶有95折的優惠
還附設特約停車場 … 全文",5
"玉米濃湯不像其他牛排館，是沒有那麼濃的，但是淡淡的奶油香我覺得很好喝。
鐵板麵的部分胡椒醬淋上去是非常好吃夠味的，但是當日點的是骰子牛，上桌卻想純牛排只是幫你切過的樣子，有點顛覆我對骰子牛的印象。
餐點：…
全文",4
"點了一份莎朗牛排，看起來像組合肉，這個絕對不是莎朗，店內冷氣不夠涼，因為他廚房門是紗窗，蛋不新鮮，來這邊要想一下，真的不如吃紅吱吱。玉米濃湯也很稀
餐點：1…
全文",1
2023年4月26日用餐，真的很奇怪，最近這2個月來，過去的一些舊店員都沒看到，很明顯新的店員服務落差太大了。 今日4點30分已經在店門口站很久了，想說店員為何已經到營業時間還不開門，今天又變天實在冷到受不了，只好主動打開門詢問（店員說～已經開始營業了呀）有告知她，因為門口牌子是掛著Close～櫃檯女店員也沒任何反應，直到1小時吃完餐出來，還是沒把門口牌子翻到Open😅 … 全文,2
"第一次用完餐心情這麼差

飲料很稀釋就算了，烏龍茶居然還有怪怪的味道，跟店員告知飲料有問題，女店員還一副理所當然，留下在場滿是疑惑的我（以為自己味覺有問題） … 全文",1
