comment,rating
"可以跟店家客製化幾人份合菜系列唷！
附近蠻好停車的😂
價錢在雲林算一般般
宴客菜普普 沒什麼特別驚豔的料理 但都處理的中規中矩
餐點：3
服務：3
氣氛：3",4
"食材有鮮、烹煮味佳、價格合理，環境尚可接受。會再想去消費的餐廳。
餐點：4
服務：4
氣氛：3",4
"餐點很厲害，道道都是師傅的招牌菜，
每一道都很推！
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：3
氣氛：2
建議的餐點
招牌鵝肉",5
"料理還可以
這家的菜色應該可以很不錯
如果你吃到的菜色不夠高檔
表示請你吃飯的人花的錢不夠多
不是餐廳不好",4
"有小小停車場
一個人來虎尾閒晃
下午四點到，師傅還沒來，要五點才能來
不想等、沒吃到，下次再來
========
20230331和我爸、大妹
點了櫻花蝦炒飯、鵝肉、蒜泥蚵、芥末蘆筍松阪、店家招待三片西瓜，共$1070",3
"鵝肉扁餐廳 他的地點在 虎尾最有名的大城住宅區裡面 當然這一家餐廳 也是在地很有名的一家餐廳 ，除了今年 因為疫情的關係 比較少人前往餐廳聚餐飲食 ，以外平常假日總是滿滿的人潮  尤其在特別的節日/吃尾牙，如果你沒有事先預訂的話根本就吃不到。
這一家餐廳除了有接一般客外，還有婚宴他也有接 ，我大概吃了10多次， 妹子朋友還是客人從外地過來 我們大部分都會來這邊吃， 當然你的料理是依照你的價定，停車方便因為附近都是白線你找位子停， 料理的口感算是還可以接受，服務人員也不錯 蠻適合家庭聚餐。",4
"非常舒服的地方，口味很好，鵝肉，德國豬腳真好吃，菜不會鹹，推薦優質廠家
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5
建議的餐點
招牌鵝肉, 醉蝦",5
東西好吃價格實在，就是動線的部分可以在方便一點就好了。,4
菜色豐盛好味道😋😋😋用餐氣氛佳 …,4
菜色不錯，我吃了三碗飯。,4
"菜真材實料
口味非常棒也很有特色",5
"料理美味,價位合理,氛圍佳,停車方便!
餐點：5
服務：4
氣氛：4",5
"菜色豐富，用料實在，又好吃。
服務
內用
餐點類型
午餐
平均每人消費金額
$800-1,000
餐點：5
服務：5
氣氛：4
建議的餐點
招牌鵝肉, 清蒸石斑",4
"鮮蚵豆腐、糖醋魚、清炒時蔬，美味可口，物美價廉、餐聚好地方！
餐點：4
服務：5
氣氛：5",5
餐點不錯有特色，但是價位較與附近相比較高，還是值得推薦,3
鵝肉扁餐廳位於雲林縣虎尾鎮，專營遊覽車生意餐點，內部寬敞明亮，服務人員親切，菜色還能接受，團體聚餐較多，一般散客很少，料理口位還好。,4
不大好吃 不知道是遊覽車叫的價格少,3
主打鴨肉，菜色以台菜為主。,3
"餐點都很好吃！
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：5
服務：4
氣氛：4
建議的餐點
龍蝦沙拉, 招牌鵝肉, 清蒸石斑, 芋頭鴨肉飯, 五味醬花枝",5
"餐點美味新鮮可口
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：5
服務：4
氣氛：4
建議的餐點
招牌鵝肉",5
服務態度佳，價格實惠，惟裝潢有加強空間。,3
"鵝肉口感軟爛，不適合我😅
服務
內用
餐點類型
午餐",2
"越吃越覺得不好吃，冷盤份量太少，羹太過於偏甜，鵝肉也就那樣普普通通！
服務
內用
餐點類型
晚餐
平均每人消費金額
$600-800
餐點：3
服務：3
氣氛：3",3
"普通
餐點：3
服務：3
氣氛：3",3
辦桌請客好口味,4
風味獨特，很多名人來吃,4
第一次到鵝肉扁用餐，空間寬敞，停車方便，服務親切，食材新鮮。因為忙著喝酒吃菜，完全忘記要拍照這件事，下次補。一道非常特別的料理，三杯鵝舌，原來鵝舌長得跟鴨舌一樣，一度誤以為是鴨舌，親切的老闆立馬告訴我，這裡是鵝肉專賣店，所以這個是鵝舌啦!!下次到虎尾，一定要揪人再去。,5
虎尾少數台菜海鮮桌菜餐廳，價格實在,4
"招牌鵝肉鮮甜，其他大火快炒的地方口味，色香味俱全，魚翅丸貴一點，但真的美味。老練的服務人員感覺都很親切，旁邊停車也方便，整體CP值不錯。
服務
內用
餐點類型
午餐",5
既然號稱鵝肉扁，應該很注重鵝肉的質量，但可習的是，昨天中午吃飯的時候，鵝肉可能不新鮮，肉質很差，沒有鵝肉香，這是很不好的回味，且菜色配對不搭，廚師應該要更新，不然就是老闆更新,1
不錯吃，但冷盤蝦子保存需要加強,3
"食材新鮮看得到，推～
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
建議的餐點
龍蝦沙拉, 招牌鵝肉, 芋頭鴨肉飯",5
"單點不報單價，
重點是沒有菜單，
鵝肉沒有評論上說的那麼厲害，
小黃瓜只是抓過鹽的軟瓜，
CP值不是不高.....是很低，
不適合小家庭，
可能桌菜很厲害，
下一次，就算鬧饑荒...我也不會進去。",1
每次都被親戚招待來的餐廳，每次吃都覺得好好吃，尤其是鵝肉真的好好吃，連老人家都能咬得動！！,4
鵝肉真的好吃，價位不算便宜，其他的菜就很普通，其中有炒一份高麗菜吃飽了才上，而且看到別桌都有招待水果，我們沒有，感覺不是很好,3
超級差的，菜色不新鮮，價格又貴服務態度極差，下次請我都不會再去，吃完ㄧ肚子🔥，毫無CP值可言 …,1
"食材鮮，
料理好吃，
CP值很高，
平價但很好吃，
料理一大盤，
餐點類型
午餐
平均每人消費金額
$200-400",4
"好朋友在這裡辦婚宴....1桌9000元,菜色非常的豐富,有整隻的小鱘龍魚,半隻鵝肉.龍蝦拼盤.......等非常多樣.一桌的份量可以吃15位大人都沒有問題..餐廳路邊好停車...在台北可能要15000元起跳才吃得到...推薦給大家 !!",4
"年菜清淡不油膩,6000千圓一桌適合不特別要求食材要求的家庭.商家及服務親切，明年還會再來吃除夕餐。",4
東西好吃，老闆熱情老闆娘又漂亮,5
口味還待改進,3
偶然來吃辦桌，古早在地口味！還可以接受！會再來訪。,4
"場地寬敞，停車方便，價格合理！
服務品質優！
招牌鵝肉，好像有走味了！
CP值還算高！",4
鵝肉鮮甜味美，菜色多樣，用餐環境寬敞而且有包廂，老字號的店就是值得一吃再吃，而且有很多名人在那邊簽名!!,5
"鳳梨蝦球真的很好吃💛
每次經過都必須特地過去品嚐一下👍🏿 …",4
"老闆娘超沒禮貌，結帳還擺臭臉，沒看過這麼沒禮貌的
服務
內用
餐點類型
晚餐
平均每人消費金額
超過 $2,000",1
"親切服務
新鮮美味
經濟實惠
餐點：5
服務：5
氣氛：5",5
服務親切，菜色多樣，鵝肉油油嫩嫩的又新鮮好吃，是聚餐晏客的最佳去處~👍 …,4
粉讚、好吃哦,5
還不錯，春節來吃菜色、味道都不差，魚很新鮮，湯類都不錯，米糕、炸芋泥球好吃，算有水準,4
"桌菜辦桌好所在，便宜實在
服務
內用
餐點類型
晚餐",5
"鵝肉盤都是骨頭肉極少
服務
內用
餐點類型
午餐
平均每人消費金額
$400-600
餐點：3
服務：4
氣氛：4",3
"餐點多樣化，主食鵝肉好吃，服務態度很好
服務
內用
餐點類型
晚餐",5
東西滿不錯吃的！跟工會旅遊一起來吃！白蝦很新鮮！菜色豐富多源,4
某女服務生態度差，上菜沒有通知，差點導致燙傷問題，筍干扣肉有燒焦味。,2
"經濟實惠
口味不錯
不過味道偏甜些",4
"餐飲價格偏高，味道普通
服務：3",3
"料多、實在、好吃、物超所質、交通又方便。
老闆，老闆娘又熱情又親切。服務人員服務細心又周到。👍👍👍 …",5
取名（鵝肉扁），原以為鵝肉會特別好吃，但是真失望。,2
去訂位，還未享用美食,4
菜色還不錯 環境也算乾淨整潔 服務人員也很親切,4
好吃,5
在虎尾地方，是很好的餐廳，停車也很好找，店面寬敞，要請客辦桌都很好,5
餐飲菜色我很可以，你妳您我就不清楚了，去試試吧！,4
"生猛海鮮，大宴小酌皆適宜
服務
內用
餐點類型
晚餐
平均每人消費金額
$800-1,000
餐點：5
服務：5
氣氛：5",5
