comment,rating
"不起眼的鵝肉店，老闆刀工精湛，鵝肉都去骨，吃起來很方便，阿姨的服務態度非常棒，食物美味可口，內用區有冷氣，值得推薦
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4
建議的餐點
鵝肉切盤",5
"鵝肉不過還是麵都超好吃的，價格也很不錯
服務
內用
餐點類型
午餐
餐點：5
服務：5
氣氛：5",5
"鵝肉好吃鮮嫩多汁
其他小菜也超級棒棒滴
老板跟老板娘待客非常的親切有禮貌。
只可惜每次從台北專程去吃常常撲空，剛遇到他休息，這次清明節又要再次的去碰運氣了🤣希望如願以償
超級推薦這家鵝肉郎讚",5
鵝肉嫩，而且都有去骨。就連蕃薯葉，都讓老人家讚不絕口。,5
"鵝肉飯好吃😋
筍乾湯也很好喝
改天要來試試下水切盤 …",5
"整體口味甚好，外食包裝能用一次性餐紙盒包裝那就更好了。
2022/12/17就是乾麵給我用塑膠透明耐熱袋裝，讓我個人觀感，那麵變的沒價值，又不怎麽好吃的感覺，所以囉！先四星了呀！
餐點：4
服務：4
氣氛：4",4
"這家鵝肉從小吃到大
很久以前開在中正路後來在這裡
鵝肉很好吃
再一提他的鵝翅是我吃過最好吃的
量不多要把握👍",5
好吃，鵝肉嫩又鮮甜，環境乾淨寬敞，服務又好，吃過很多地方的鵝肉，都沒這家的好吃。,5
"鵝肉飯 下水湯
推推
服務
外帶
餐點類型
午餐
平均每人消費金額
$1-200
建議的餐點
下水湯, 鵝肉飯",5
鵝肉鮮嫩多汁，米血是用鵝血做的，吃得出真材實料，滷鵝肝也是必點的小菜，大推！,5
好吃，少有的無骨鵝肉。老闆娘親切。,5
鵝肉軟嫩，入口即化，消費平價。鵝腸、鵝血糕、麵、飯都好吃。,5
老店實在，Cp值高，鵝肉鮮甜， 適合全家一起用餐，推,5
四分之一隻鵝肉再加個滷肉飯和蚵仔湯，難以忘懷的好滋味,5
鵝肉好吃 動作蠻快的 待客態度謙和,4
好吃真的好吃都給我去吃，哦還是不要好了不然我沒得吃,5
"好吃又不貴，沾醬好吃~
鵝肉軟嫩而不肥",5
出發前打電話確認是否開店，休假不一定，菜色一流,5
鵝肉軟嫩多汁，價位實在。好吃,5
"鵝肉超好吃
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
鵝肉切盤, 燙空心菜",5
鵝肉好吃，親民價格  推薦!,5
好吃，就是要自己找一下停車位，附近不好停車,3
在地老店了，以前超常吃，好久沒來了，依舊是這麼美味😍 …,5
鵝肉很好吃喔！,4
"好吃
服務
內用
餐點類型
午餐",5
經濟實惠，肉質細緻，味道鮮甜。,5
鵝肉好吃 價格公道,5
"好吃的鵝肉
餐點：5
服務：5
氣氛：4",5
女兒的最愛~鵝肉乾麵,4
單純的原位，貼心的服務，價格實惠,4
可以去骨，非常好吃,5
一級棒的老店家👍👍👍👍👍 …,5
鵝肉新鮮好吃,5
"服務親切,出餐快速",5
餐點還可以。,3
鵝肉👍好吃 …,4
好吃服務親切,4
真的不錯吃,5
好吃,4
好吃的鴯肉,5
鵝肉鑽,5
鮮嫩美味,3
美味！,5
鵝肉好吃,5
好吃。,5
好吃,4
好吃,5
好吃,5
,5
,5
,4
,5
,5
,3
,5
,4
,4
,5
,4
,5
,5
,5
,5
,5
,4
,5
,4
,5
,5
,5
,5
,3
,5
,5
,5
,5
,5
,5
,4
,5
,5
,5
,5
,5
,5
,5
