comment,rating
"價格算便宜的，比較適合當宵夜攤，口味就還可以
餐點：3
服務：3
氣氛：4",3
"餐點好吃
環境舒適的店家
適合小聚一下
炸豬排不錯
價格親民
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：4
氣氛：5
停車位
停車位有點難找
附近的停車場
付費停車位, 免費路邊停車
停車場
附近有家樂福的停車場",4
"我點的麵75，包含米血、貢丸、油豆腐、豆皮、白蘿蔔和麵，很有飽足感，吃不完只好拜託店員（老闆？）幫忙打包
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：4
服務：5
氣氛：5",5
很好吃的丼飯，還會附一碗湯，店裡氣氛也不錯，適合聚餐的好地方,5
"點選89元的套餐～非常多蔬菜🥬尤其都用很新鮮的蔬菜！玉米很甜～蘿蔔有入味
湯頭清淡好喝～～超級喜歡
餐點：5
服務：5
氣氛：5",5
"當虎尾假日而且又很晚的最佳選擇 關東煮的湯特別好喝 丼飯份量也很剛好 加飯不用錢 大推
.
.
.
還有漂亮的姐姐👍🏿👍🏿
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
鹿島豚丼",5
"Cp值不錯的關冬煮、用餐時間常客滿、不知道吃什麼、這間是不錯的選擇喔！
餐點：5
服務：5
氣氛：5",5
"現炸鹿島豬排5分，關東煮溫度不夠2分。
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
餐點：3
服務：4
氣氛：4",3
"這次主要吃丼飯跟關東煮！
它的丼飯真的很可以！隨飯還附贈柴魚湯一碗
關東煮再搭配著沾醬真的太幸福了！
餐點：5
服務：5
氣氛：5",5
"湯頭超讚，清淡，應該沒有味精！

王子麵可以加量不加價，很划算！

加湯時老闆又多給了兩個甜不辣，非常讚！

環境很乾淨，燈光也很舒服，下次會變成來虎尾吃關東煮的口袋名單。

店員都很年輕，我猜應該是幾個年輕人自己創業的吧，給點鼓勵和支持！",5
"炸豬排丼飯好吃
關東煮的湯如果可以熱一點更好喝👍
服務
內用
餐點類型
晚餐
平均每人消費金額
$200-400
餐點：4
服務：5
氣氛：5",5
"網路超多人分享馬上安排行程
湯頭很好喝、關東煮每一樣都好吃不會踩雷！
鹿島丼飯也好讚好飽❤️
還有店裡面好多鹿的裝飾超好拍照📷
生意很好，不想等的可以訂food panda 超方便👍",5
"第一次來這裡 生意好好
出餐快速 重點也非常好吃
大人小孩都把湯喝光光😅
最後離開時 已經走出店外對向馬路 老闆娘忽然喊了一下
原來是我們水壺忘了拿😅
這麼忙還跑出來拿給我們真是不好意思😂
之後還會繼續光顧",5
"選了輕食套餐組合
真的飽到不行
湯頭很甜很好吃🥳
附近不太好停車，而且很多人
建議提早前往或預約💗
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200
建議的餐點
關東煮",5
湯頭很好喝，料也很入味，而且除了烏龍麵之外都可以加麵！薯條也不錯，但鹿島豬排蠻普通的。另外店員很親切，服務態度也很好～,5
"今天大甲媽祖遶境回鑾吃到 關東煮非常美味 湯頭好喝（平常我很少喝湯的兩碗全喝光）
餐點：5",5
"超好吃的五星關東煮！！！
豬排丼飯跟烏龍麵都好吃👍
餐點：5
服務：5
氣氛：5",5
"來店多次唐揚雞必點
丼飯跟關東煮也都很好吃
學生套餐很實惠
學生套餐有些米血跟油豆腐本人不太喜歡吃，之前都更換成蘿蔔和豆皮，但今天不知道是太忙沒看到菜單註記還是現在沒辦法做更換了可能要解惑一下
但還是不影響之後會在來店消費
餐點：5
服務：5
氣氛：5",5
"使用熊貓外帶自取訂購
◾健康輕食套餐💲109
料很好吃但湯頭會充滿菜味
比較沒有原本的味道那麼香
◾鹿島牛丼💲129
如果可以打蛋+蔥花會100分~
會附一碗關東煮的湯，味道很棒👍",5
"朋友推薦我來虎尾一定要來吃看看！一吃不得了！我以為就是普通的關東煮而已！沒想到意外的好吃😋
湯頭美味可口，鮮甜不死鹹，沒有味精！甜甜的會回甘那種！
友人推薦的必吃豬排丼飯也讓我超級驚訝！炸的酥脆，肉完全不老，加上胡椒粉更好吃！
老闆娘跟員工都很客氣，大推優良店家！會再回訪👍🏻
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"價格很便宜，口味也不錯，關東煮湯頭挺好喝的
服務
內用
餐點類型
晚餐
平均每人消費金額
$1-200",5
"可愛的小店，停機車感覺還行，如果車子就要停家樂福～
食材價格跟一般的差不多，可以點套餐很優惠～
湯頭真的很棒～店員服務態度也很棒，店內座位大概二十個，整體空間給人一種很舒服的感覺～",5
"口味不錯，可是飯偏硬、肉四塊而已
關東煮好吃可惜湯少不熱
服務
內用",5
"很棒的味道，幾個年輕人開的店，感受得到用心&細節～
之前是虎科生，回來走走，能吃到這樣一間的關東煮&飯&麵的店，很幸福👍
餐點：5
服務：5
氣氛：5",5
為什麼外送不切～～～～～湯頭喝得出很好喝，可是建議加辣可以另外付辣油包，真的太辣了！,3
"湯頭帶有鮮甜味，用料實在且新鮮！用餐環境很乾淨明亮
服務人員很客氣
當地好吃的美食，下次來虎尾一定會再訪！大推",5
"湯頭好喝！但裝娃娃菜的蓋子裡有蟲蟲，紙碗裡也撈到一隻🥲 …
服務
外送",4
"當天點了關東煮，丼飯跟鍋燒意麵，口味上可以接受，可以加飯加麵也很棒。不過雞肉丼飯的cp值較低，幾塊炸雞胸肉跟醬汁煮蛋液洋蔥跟附贈的湯，這樣就要125元，在這個區域應該會有更多選擇。
餐點：3
服務：3
氣氛：3",3
真心希望店家可以把湯另外袋裝，因為平台司機各種乾濕分離技術，常常送達就沒湯了,4
"非常好吃～口味很喜歡～
是虎尾關東煮的最佳選擇
會再訪🫶🏻
餐點：5
服務：5
氣氛：5",5
"丼飯好吃 大推 關東煮的湯頭讓人想一喝再喝
還有老闆娘超漂亮❤️
餐點：5
服務：5
氣氛：5",5
