comment,rating
"位置位於台灣銀行旁邊的小路，內裝充滿各種綠色裝飾，皮蛋蛋餅推👍白醬培根麵也很讚，價位算是平價，但是點了一個美式牛肉起司的肉就很乾
餐點類型
早餐
平均每人消費金額
$1-200",4
很不錯的早午餐店，看見客人入內，馬上就關門開冷氣，非常貼心，綠色調的環境雖然不是天然，不過也頗有特色，皮蛋蛋餅是特殊的菜色，建議可以嘗試看看，飲料現調，可以調整甜度冰塊，但我覺得飲料可口味可以再加強!下次人多想試試巨人三明治、巨人貝果，似乎也都很不錯~價位上比起其他早午餐店，是親民許多的!免費wifi提供也很吸引人~,4
"XL三明治用料很大方，皮蛋蛋餅看起來有點可怕但意外好吃！
價位中等，CP值蠻高的一間店。",5
"室內空間座位比較少 戶外也有兩三桌 路邊有得停車 cp值高 口味我蠻喜歡的
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
建議的餐點
勁辣雞腿堡",5
"除了本身店面不大以外餐點好吃分量夠
推薦吃蘿蔔糕好吃不解釋
這次點蘿蔔糕 雞巨人三明治 豬排燉飯",5
蘿蔔糕有稍微炸過，外皮酥脆很好吃，紅茶珍珠少糖就沒有很甜了，茶味偏重，環境安靜舒適、客人不會很多,5
"如果不趕著用餐
出餐速度中等
不太需要人擠人
餐也是蠻好吃的
餐點：5
服務：5
氣氛：5",5
"😋蘿蔔糕口感還不錯😋🥚蛋黃芋圓口感也好..
😋蔬菜蛋餅口感特殊.很爽口.👍荷包蛋口感綿密👍
真不錯😋 …",4
出餐速度很快，漢堡的皮外酥內軟熱熱的好吃,3
"皮蛋蛋餅耶

---------不負責評論--------

整體的搭配發想很有創意，不過醬料的部分使用台式美乃滋有點太甜太膩。(最後剩兩片無法繼續入口>''<)

<提案>
①台式式美乃滋改成日式美乃滋
②現有的醬料再拌入黃芥末",4
"餐點美味還能從早吃到晚 讚讚
服務
內用
餐點類型
早午餐
平均每人消費金額
$1-200
建議的餐點
炸物拼盤",5
"超推雙層蛋餅跟咖哩燻雞厚片，好吃到下巴掉下來，炒泡麵也好吃
東西都很便宜，very 超值
服務
外帶
餐點類型
早午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：5
特殊餐點
Btw 巨人三明治真的很大不開玩笑，下巴真的會掉下來",5
每塊雞塊都沒熟，要我怎麼吃,1
"一般樸實的小早午餐店，紅茶有蜂蜜的味道，好喝
服務
內用
餐點類型
早餐",5
"還不錯 就是位子太少
服務
內用
餐點類型
午餐
平均每人消費金額
$1-200
餐點：5
服務：4
氣氛：4",5
便宜 飲料還可以調整冰涼甜度,5
"勁辣雞腿的肉質偏乾，蛋餅餅皮有點硬、韌韌的，果醬吐司給的醬很多！
服務
外送",3
"麵類料真的少的可憐
餐點：1
服務：5
氣氛：3",1
"才剛坐下點完餐結帳時
就在提醒帶進來的杯子
要帶出去不能放這邊
奇怪
我都還沒用餐你怎麼知道我不會帶出去？",1
"餐點CP值高
份量多且好吃
重點是營業時間很長
晚起的學生還能吃到這樣的早餐
真的是一大福音",5
乾酪貝果總匯，好吃且很有飽足感，CP值很高，老皮沙律蛋餅也相當有特色，蛋餅裡面加上皮蛋加沙拉醬的口味真的想當特別。,4
內用有冷氣 價格對得起食物 消費起來不會讓你覺得不值得,4
鬆餅本身調味太甜了，吃到後面變負擔。飲料可以調甜度很棒,4
"皮蛋蛋餅很厲害，忍不住想再點一個
營業時間開到4點真的超棒
喜歡中午吃早餐的人的綠洲啊啊啊",5
皮蛋蛋餅好吃～,4
好吃，最近每天都會去吃，但今天沒開，哭了，沒得吃==,5
"滿常去的店，價格也不貴
服務
內用
餐點類型
早午餐
平均每人消費金額
$1-200
餐點：5
服務：5
氣氛：4",5
"室內位置有點少
飲料不太推薦
最近越來越多熊貓跟客人搶座位的問題",3
卡啦雞腿不如肯德基，黑糖紅茶送來混錯變成“黑糖梅子綠茶”，唯一可以的是用餐的地方,2
最喜歡吃他們家的皮蛋蛋餅了 ~ 別家的吃了會想吐，這間的吃了念念不忘,5
餐點快半小時才上,1
餐點有抹布沒洗乾淨的味道🤢 …,1
環境乾淨，食物份量很多，特別推薦皮蛋蛋餅,5
不錯吃 服務態度好,5
餐點多樣、飲料甜度冰塊可調整、服務非常好！,5
好呷，真心推薦！,5
聚餐的好地方，單價偏貴了不該這樣,4
乾淨的環境，還不錯的早午餐，又有冷氣,4
座位有點少，所以不建議太多人一起來,4
焗烤厚片真材實料，起司很濃郁,5
食物非常好吃，店員態度良好,5
超值美味，十分親切，很讚,5
義大利麵 跟焗烤厚片好吃,5
習慣睡到下午起床吃早餐的好朋友😂 …,4
有奇特餐點 如皮蛋蛋餅,4
東西超好吃便宜又大,5
年輕人創業早餐店。,4
食物好吃！服務親切！,5
親切好吃,5
用餐環境很舒服,5
東西好吃有味道,4
還不錯吃的地方,4
好吃,4
中價位 好吃,5
方便好吃,5
"小孩愛吃！！
服務
內用
餐點類型
早餐",5
很棒喔,5
好吃的早午餐。,5
好吃,4
漢堡分量足,5
份量大,5
好吃,5
好吃,4
好吃,5
,5
,5
,5
,2
,4
,5
,5
,5
,4
,5
,4
,5
,4
,4
,4
,3
,5
,4
,4
,5
,3
,3
,4
,5
,5
,5
,5
,5
,5
,5
,5
,4
,5
,5
,4
,4
,5
,3
,4
,5
,5
,3
,5
,4
,5
,3
,5
,5
,3
,4
,5
,5
,4
,3
,5
,4
,4
,4
,5
,5
,5
,5
,3
,4
,5
,5
,5
,4
,5
,5
,5
,4
,5
,5
,5
