comment,rating
每週幾乎有6天上午8-9點左右，都會去麥當勞買『卡布奇諾』，風雨無阻；裡面的服務人員，不論資歷深淺，年齡大小，正職或兼職，覺得她（他們）都很客氣，就算很忙時，也是極有耐心的回覆客人；盡量讓顧客早點拿到所要的餐點，從事『服務業』的她們辛苦囉！敬業的精神十分的棒！ 全文,5
"真的很謝謝虎尾麥當勞，每個孩子都玩的很開心，很推薦大家有機會預約呦
餐點類型
午餐…
全文",5
"今天去買人一樣蠻多的
店員服務超讚 在等待餐點的同時還給飲料跟我們說不好意思 要稍等一下 ！
這間擁有了其他間麥當勞沒有的服務品質！
真心為消費者著想欸！應該幫這些優秀員工加薪！！！
服務…
全文",5
"剛到虎尾麥當勞外帶
點勁辣雞腿堡
卻給我麥香雞？
這價錢有落差餒
服務
外帶",2
"下午7點進麥當勞，點餐區明明沒人，點餐確一直在趕，服務小姐非常不耐煩，東西拿上來薯條是冷的還含油，讓人難過新牽絲雙牛寶是冷的。讓人感到不開心，照片粉諷刺。
服務…
全文",1
"吃了一輩子的麥當勞一直漲價那沒關係
吃到這個生菜不到1／2真的很扯
快過年皮在癢了吧！ … 全文",1
"這是一則失望的評論，我點了2可樂、1份勁辣g腿堡套餐+小薯、麥克g塊，1份6塊麥克g塊套餐+地瓜薯。
回來正要吃，發現男生服務生給的餐少了一份麥克g塊...。希望店員核對餐點可仔細囉！",4
"開了20幾年的店，當時開幕大概全鎮都來光顧。今天去還是老樣子，位置一樣沒變，二樓的摩鐵不知道什麼時候不見了。用餐區在三樓，但麥當勞寫二樓，要注意下。
服務…
全文",3
"旁邊的櫃檯有人也要買冰 然後說要等10-15再過去買
等等到我排隊換到我要點餐 就說冰不知道要等多久🙂接待員怎麼可以隨便亂講呢 …
餐點：1…
全文",1
"本身以前也做過麥當勞 曉得服務業很辛苦但是每次去買雙層牛肉吉事堡 都說不要加酸黃瓜了 櫃檯明明有打單 廚房人員是都沒再看嗎？ 連最基本的看單出餐都有問題嗎
餐點：2",1
"吃了好幾次...我真的不知道你們有沒有用心在炸?? 尤其是薯條又軟又難吃，沒味道，還有那個鹽巴撒的不夠均勻，請問撒的人手有問題？有時候還給我漏餐點可以用心一點嗎?
服務…
全文",1
"餐點品質不定，薯條有時候會炸的不太好吃，而且有些限時新品吃起來跟其他麥當勞差很多，品管可能要加強
餐點：4…
全文",5
"周圍不好停車 開車的希望可以注意一下路況 不要隨便停車 結帳櫃檯只有一個 可以多使用點餐機結帳 內用位置很多
服務
內用…
全文",4
"買了好幾次的汽水根本都沒啥氣。根本再喝糖水
下次知道了。直接買瓶裝的汽水來喝還比本店氣還多
餐點都不錯但汽水真的像是再喝放很久的沒氣的糖水 … 全文",1
"樓上也有點餐機很方便，但是應該要取消店員送餐服務吧？ 不然他們一天要上下爬幾趟？ 錢賺這麼多弄個餐梯固定一個員工在二樓整理收送餐不就好了 ?看到蠻無言 雖然我也知道這是工作
餐點：4…
全文",3
服務什麼的沒什麼好挑剔，但是我外帶一上車打開發現幾乎半盒薯條灑在紙袋裡面，我還以為我在吃搖搖薯條勒。,3
"每次到樓上用餐，用餐區打掃的員工都很認真清潔，值得鼓勵。
但這次遇到櫃檯的林姓女店員態度很差勁，麻煩此員工教育再加強。
服務
內用…
全文",2
店員服務親切，會提供相關餐點資訊讓人參考，樓上用餐區位置多，只是早上九點才會開放樓上的座位區，今天早餐太早去只能在1樓等候區2張2人座坐，（要看運氣才有了），不過店員看我們是三個人，還有主動拿一張椅子，讓人感覺算是貼心唷~ … 全文,4
"好久沒去虎尾了，挑個假日去虎尾走走，沒想到星巴克已經暫停營業了。
午餐就挑麥當勞，假日時光親子組合很多，加上室內空間不大所以整體聲音就顯得很吵雜。
服務…
全文",5
"我是在吃臘肉嗎 乾到狗都不吃
服務
外帶…
全文",1
"餐期時人真的太多了，取餐會等很久，另外自助點餐機有時很雷，曾發生過點到一半兩台都死當，直接傻眼
餐點：5…
全文",4
"鬧區沒有得來速，停車真的很麻煩，所以我都去虎尾肯德基，肯德基臨時停車比較方便~
服務
外帶…
全文",3
"超扯，又是汽水機故障，已經好幾次都買不到該有的餐點，窮到沒辦法買新的機器嗎?要不要乾脆別繼續營業了。
餐點：1…
全文",1
"每次買薯條都很少，大薯都變成中薯，漲價就算了還減少數量，手抖到都可以當總統了
餐點：1…
全文",2
"生意很好
可是秩序不差
主管辛苦了 … 全文",5
店員服務態度很好，只是我點的是大薯，但回去看只有中薯的份量。另外香芋派回歸了，所以迫不及待去買，好吃好吃！,4
"店內服務好，取餐快。2樓用餐區乾淨，顧客也不會覺得很擠。
服務
內用…
全文",4
"大薯應該是這裡給最少
外面超髒，雖然可能不關你們的事，但外面都是麥當勞的垃圾ㄟ
管一下外面的環境吧 … 全文",1
"店面太小了，點完餐都不知道要站在哪裡等待，常常要東閃閃西閃閃，才不會撞到人
餐點：3…
全文",3
"員工都在聊天 素質超差 有待加強
出餐超慢 東西拿到都冷的
雞塊都炸到乾掉？  （隔日回鍋重炸？
餐點：1…
全文",1
"使用電子票卷去更換餐點，因沒另外購買其他餐點，店員態度就變差臉變臭…
服務
外帶…
全文",1
"剛剛點熊貓外送 點的大薯送過來分量只有中薯的樣子
請加強員工訓練 好好注意一下
服務
外送…
全文",3
