comment,rating
"有個人鍋和共鍋的選擇，因是吃到飽的，所以
有很多火鍋料、甜點、飲料可以選擇😋😋😋
餐點：3
服務：3
氣氛：3",3
"就吃到飽來說，餐點種類不多，
但食材非常的新鮮，就我來說很足夠了。
就蔬菜來說，都是挑選等級較高的，
吃起來特別鮮甜。像是木耳非常的厚而且會脆，南瓜也是香甜軟糯，芋頭鬆軟好吃。
他們家的鴨腸脆脆的很棒呦！
蝦蝦也很新鮮唯獨肉片比較ㄧ般口感，
沒有特別喜歡，
若能再切厚ㄧ點口感可能會好些。
肉片海鮮須拿上桌上的號碼夾，
放置肉品海鮮品項籃，
店員會現切肉片端的桌上去。
還有麻辣鴨血豆腐，
跟外面不同的是他是煮好放在保溫桶裡，
撈起來就能吃到非常入味的麻辣鴨血呦！

其他的飲料、冰品種類不多，
但就我來說足夠了。
對了，甜點的波士頓派表現的非常棒，
蛋糕體很鬆軟，一不小心吃了三片，
水果也很新鮮好吃呦！
湯底湯頭也很濃郁，再搭上新鮮食材，
就很棒了！
對了，這裡連停車問題都幫你解決，
對面就有特約停車場能免費停兩個小時很方便。",5
"399加一成 不分平假日
牛肉 豬肉 蝦 蛤蠣都要去給夾子 讓店員送過來！
其他菜品都要自己去夾
食材都還蠻新鮮的
麻辣鍋還挺辣的 但沒有麻香 稍微可惜
牛奶鍋剛好可以解辣

有配合的停車場",4
3/19中午來此用餐，以前雖然經常路過這家店但都沒想過要吃，現在吃過覺得真該早幾年就來，不但價格很便宜，肉類也都不錯吃，蔬菜和鍋物種類多又新鮮，連炸物都很好吃，還有冰淇淋和各種飲料，CP值真的很高，以後有機會一定再來光顧。,5
"一人399+10%服務費
整體而言cp值高
但有些餐具沒洗乾淨 略為可惜
服務
內用
餐點類型
晚餐
平均每人消費金額
$400-600
餐點：4
服務：4
氣氛：4
停車位
很多停車位
附近的停車場
免費停車場",4
"虎尾吃到飽首選
今年生日來這裡選對了
食物差不多就那樣，價格實惠

服務生的態度太棒了！！
男女都是！都笑臉迎人、回答問題，問停車塲沒有不耐煩很有耐心回應在哪個位置，快9點我們算是最後的客人，服務生忙著收桌到一半幫我們結帳，結完還給我一個笑臉，讓人感覺太愉悅了，很舒適的消費經驗。100分服務態度
平均每人消費金額
$200-400
餐點：5
服務：5
氣氛：5",5
"麻辣風暴算是我們很常想吃的店，
通常都是去嘉義店火者斗六店，
這次順道就預約了虎尾店，
想說都連鎖店應該都差不多，
虎尾店的位置有點妙，在平交到鐵路旁邊，
附近也有配合的停車場，蠻方便的，
進去看一下，大部份該有的都有，以下照片請自己看(懶)

滷豬腳，

番茄海鮮義大利麵蠻好吃的，

豬頭皮，無骨雞爪，

雞塊，洋蔥圈，薯條，

飲料區，

小美的冰淇淋，霜淇淋，

大愛波菜跟大白菜，煮麻辣湯超好吃，還有玉米跟南瓜都好甜!!!

還有我的真愛老油條，泡麻辣湯吃真的會升天的好吃，
肚子40%都是裝老油條!!!

鴨血跟豆腐是放保溫鍋，跟其他店不一樣，要自己裝，

調味料區，

雖然我們都是麻辣湯底，但我堅持要用鴛鴦鍋分開，
有次老爺煮大腸，整鍋都臭臭很不喜歡，
然後有時候放一些我不喜歡的，湯底會變髒?
這樣我會很啊雜(強迫症患者)，各自煮，各自安好~

飲水機，茶包區，旁邊加湯區自己加湯，麻辣湯底也是自己加，

自己去保溫鍋裝的鴨血跟豆腐，溫溫的，放到鍋裡加熱一點比較好吃，

麻辣湯就是要泡滿滿的老油條啊啊啊啊~~~~
還有豆皮也是必須的!!!
就是好好吃就是好好吃就是好好吃就是好好吃!!!

來麻辣風暴一定要吃麻辣鍋，真的很讚的麻辣湯頭，煮什麼食材都覺得很搭，

霜淇淋奶味很稀...哈密瓜不甜，就搭著吃吧(淚)

每次吃水果不甜，混搭蛋糕冰淇淋也不錯，至少不會浪費食物(我好棒!)

最後有點小不滿的是，二個人只有一個夾子可以放肉片的盒子，
必須一直來回重複去放，肉片也切的太薄，導致要一直走來走去，
員工也一直不斷的來回送肉盤，這樣真的很累....

不過大致上來說都不錯，399吃到飽還不收服務費，還能免費停車!

632雲林縣虎尾鎮中山路25-12號

056361686",4
"399吃到飽(免服務費)，當月壽星還享有9折優惠，附近有特約停車場可折抵停車費。

有11種湯頭，可單點或是鴛鴦鍋形式，自助區有蔬菜火鍋料、飲品、冰品、霜淇淋、熟食類(炸物、鴨血豆腐、滷肉飯...等)，自助區的品項都有隨時補齊，看起來也新鮮美味，梅花豬、牛肩肉、雞腿肉、白蝦、蛤蜊等肉品項目，會提供夾子一隻，放在盒中店員即會幫你送上桌。缺點，蛤蜊沙沒吐乾淨，但跟店員反應後，非常客氣的說會再補。

環境整體乾淨，空間大適合聚餐， 休息時間要到之前，也會確認是否要再加點，雖然有時間限制，但後面無客人時，清場時間也不會趕你出去。",5
"附近有特約停車場
只要在店裡消費告知店員
就會給一張1.5小時停車卡還有10塊錢
等於可以停車2小時
味道還不錯
只是點肉跟蝦子要拿夾子去櫃檯
然後等店員在拿過來
有點麻煩，雖然是現切
醬料區有麻辣鴨血可以裝
假日去吃2人878
平均每人消費金額
$400-600",3
"以這價位的吃到飽來說
種類算很多

蔬菜熟食肉品飲料冰品水果甜點
應有盡有
且食材都很新鮮
蔬菜等級是優質的喔
肉片為現切
保有食材的新鮮度

湯底選擇性也很多
都是當天新鮮熬煮
非化學調料
喝了不會有口渴的感覺
且不留隔夜
本人喜好牛奶鍋

對面有特約停車場
能免費停兩個小時很方便
服務
內用
餐點類型
其他
平均每人消費金額
$400-600
餐點：5
服務：5
氣氛：5",5
"希望可以反映客人夾餐點的規矩，客人都直接用公夾將餐點夾到鍋內或是座位未拿盤子接取食物，再帶至座位。
服務
內用
餐點類型
其他
平均每人消費金額
$200-400
餐點：1
服務：3
氣氛：2
建議的餐點
麻辣鍋",1
